Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Principal lithology,Lithology classification,Lithology prefix,Lithology suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data
320-U1336A-1H-1-A,320,U1336,A,1,1-1,H,1,A,0,150,0,1.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with clay,Nannofossil ooze with clay,100,soft,10YR 5/3,,
320-U1336A-1H-2-A,320,U1336,A,1,1-2,H,2,A,0,120,1.5,2.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with clay,Nannofossil ooze with clay,100,soft,10YR 5/3,,
320-U1336A-1H-2-A,320,U1336,A,1,1-2,H,2,A,120,150,2.7,3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,
320-U1336A-1H-3-A,320,U1336,A,1,1-3,H,3,A,0,150,3,4.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,
320-U1336A-1H-4-A,320,U1336,A,1,1-4,H,4,A,0,150,4.5,6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,
320-U1336A-1H-5-A,320,U1336,A,1,1-5,H,5,A,0,150,6,7.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,
320-U1336A-1H-6-A,320,U1336,A,1,1-6,H,6,A,0,8,7.5,7.58,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 8/1,,
320-U1336A-1H-6-A,320,U1336,A,1,1-6,H,6,A,8,48,7.58,7.98,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,100,soft,10YR 7/3,,
320-U1336A-1H-CC-A,320,U1336,A,1,1-CC,H,CC,A,0,20,7.98,8.18,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,100,soft,10YR 7/3,,
320-U1336A-2H-1-A,320,U1336,A,2,2-1,H,1,A,0,150,8,9.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,30,soft,10YR 7/3,,
320-U1336A-2H-1-A,320,U1336,A,2,2-1,H,1,A,0,150,8,9.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,,
320-U1336A-2H-2-A,320,U1336,A,2,2-2,H,2,A,0,150,9.5,11,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,30,soft,10YR 7/3,,
320-U1336A-2H-2-A,320,U1336,A,2,2-2,H,2,A,0,150,9.5,11,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/1,,
