Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links,Extra Sample ID Data
351-U1438A-1H-1-A,351,U1438,A,1,1-1,H,1,A,0,30,0,0.3,,,,,tuffaceous,mud [2014],with radiolarians [2014],tuffaceous mud,tuffaceous mud with radiolarians,mud with radiolarians,,,5YR 3/2 (dark reddish brown),,silt [W22_1],2,fine sand [W22_2],4,,planar,gradational,,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,
351-U1438A-1H-1-A,351,U1438,A,1,1-1,H,1,A,30,62,0.3,0.62,,,,,tuffaceous,mud [2014],with radiolarians [2014],tuffaceous mud,tuffaceous mud with radiolarians,mud with radiolarians,,,10YR 6/4 (light yellowish brown),,silt [W22_1],2,fine sand [W22_2],4,,planar,gradational,,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,
351-U1438A-1H-1-A,351,U1438,A,1,1-1,H,1,A,62,99,0.62,0.99,,,,,tuffaceous,mud [2014],with radiolarians [2014],tuffaceous mud,tuffaceous mud with radiolarians,mud with radiolarians,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2,fine sand [W22_2],4,,planar,gradational,,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,
351-U1438A-1H-1-A,351,U1438,A,1,1-1,H,1,A,99,138,0.99,1.38,,,,,tuffaceous,mud [2014],with radiolarians [2014],tuffaceous mud,tuffaceous mud with radiolarians,mud with radiolarians,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2,fine sand [W22_2],4,,planar,gradational,,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,
351-U1438A-1H-1-A,351,U1438,A,1,1-1,H,1,A,138,139,1.38,1.39,,,,,,ash [2014],with lapilli [2014],ash,ash with lapilli,ash with lapilli,,,N 3 (very dark gray),,silt [W22_1],2,fine sand [W22_2],4,,planar,sharp,,,moderate [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,poor [2014],,,,
351-U1438A-1H-1-A,351,U1438,A,1,1-1,H,1,A,139,150,1.39,1.5,,,,,tuffaceous,mud [2014],with radiolarians [2014],tuffaceous mud,tuffaceous mud with radiolarians,mud with radiolarians,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2,fine sand [W22_2],4,,planar,gradational,,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,
351-U1438A-1H-2-A,351,U1438,A,1,1-2,H,2,A,0,19,1.5,1.69,,,,,radiolarian-rich [2014b],mud [2014],with ash [2014],radiolarian-rich mud,radiolarian-rich mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),,silt [W22_1],2,fine sand [W22_2],4,,planar,sharp,,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-1H-2-A,351,U1438,A,1,1-2,H,2,A,19,22,1.69,1.72,,,,,,ash [2014],,ash,ash,ash,,,10YR 4/2 (dark grayish brown),,silt [W22_1],2,fine sand [W22_2],4,,planar,sharp,,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-1H-2-A,351,U1438,A,1,1-2,H,2,A,22,93,1.72,2.43,,,,,radiolarian-rich [2014b],mud [2014],with ash [2014],radiolarian-rich mud,radiolarian-rich mud with ash,mud with ash,,,10YR 5/4 (yellowish brown),,silt [W22_1],2,fine sand [W22_2],4,,planar,sharp,,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438A-1H-2-A,351,U1438,A,1,1-2,H,2,A,93,96,2.43,2.46,,,,,,ash [2014],,ash,ash,ash,,,N 8 (white),,silt [W22_1],2,fine sand [W22_2],4,,planar,gradational,,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],vitric matrix [2014],,poor [2014],,,,
