Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOXCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
323-U1345D-1H-1-A,323,U1345,D,1,1-1,H,1,A,0,40.0,0.0,0.4,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,100,soft,5Y 3/2,,,,,,,,,,,,,,,,,
323-U1345D-1H-1-A,323,U1345,D,1,1-1,H,1,A,40,150.0,0.4,1.5,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1345D-1H-2-A,323,U1345,D,1,1-2,H,2,A,0,150.0,1.5,3.0,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1345D-1H-3-A,323,U1345,D,1,1-3,H,3,A,0,150.0,3.0,4.5,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1345D-1H-4-A,323,U1345,D,1,1-4,H,4,A,0,75.0,4.5,5.25,sandy silt [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1345D-1H-4-A,323,U1345,D,1,1-4,H,4,A,75,150.0,5.25,6.0,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1345D-1H-5-A,323,U1345,D,1,1-5,H,5,A,0,150.0,6.0,7.5,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1345D-1H-6-A,323,U1345,D,1,1-6,H,6,A,0,150.0,7.5,9.0,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1345D-1H-7-A,323,U1345,D,1,1-7,H,7,A,0,47.0,9.0,9.47,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
323-U1345D-1H-CC-A,323,U1345,D,1,1-CC,H,CC,A,0,24.0,9.47,9.71,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
