Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File Data
339-U1389D-1H-1-A,339,U1389,D,1,1-1,H,1,A,0,48,0.0,0.48,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,2.5Y 5/4 (light olive brown),silt ,2,medium sand ,5.0,,,,,,,,,,,,,100,color contact,,,,,,sparse_339 ,2,,,"Top sediment, brownish-reddish, slightly soupy",100,100,
339-U1389D-1H-1-A,339,U1389,D,1,1-1,H,1,A,48,150,0.48,1.5,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,2.5Y 4/1 (dark gray),silt ,2,medium sand ,5.0,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,,,Sand-filled burrows at 86-88 cm.,100,100,
339-U1389D-1H-2-A,339,U1389,D,1,1-2,H,2,A,0,45,1.5,1.95,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,2.5Y 5/1 (gray),silt ,2,medium sand ,5.0,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,Sand-filled burrows,100,100,
339-U1389D-1H-2-A,339,U1389,D,1,1-2,H,2,A,45,150,1.95,3.0,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,2.5Y 5/1 (gray),clay ,1,medium sand ,5.0,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,rare ,,Scaphopod fragment,100,100,
339-U1389D-1H-3-A,339,U1389,D,1,1-3,H,3,A,0,111,3.0,4.11,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,2.5Y 5/1 (gray),clay ,1,medium sand ,5.0,,,,,,,,,,,,,100,gradational contact,,,,,,sparse_339 ,2,rare ,,,100,100,
339-U1389D-1H-3-A,339,U1389,D,1,1-3,H,3,A,111,150,4.11,4.5,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,2.5Y 5/1 (gray),clay ,1,medium sand ,5.0,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,,,,100,100,
339-U1389D-1H-4-A,339,U1389,D,1,1-4,H,4,A,0,26,4.5,4.76,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,10Y 4/1 (dark greenish gray),clay ,1,medium sand ,5.0,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,,,,100,100,
339-U1389D-1H-4-A,339,U1389,D,1,1-4,H,4,A,26,61,4.76,5.11,calcareous ,silty sand ,,calcareous   silty sand ,calcareous  silty sand ,silty sand ,100,10Y 4/1 (dark greenish gray),very coarse sand ,7,medium sand ,5.0,,,,,,,,,,,,,100,,,,,,,absent_339 ,1,rare ,,Small shell fragments at the base,100,100,
339-U1389D-1H-4-A,339,U1389,D,1,1-4,H,4,A,61,83,5.11,5.33,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,10Y 4/1 (dark greenish gray),clay ,1,medium sand ,5.0,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,,,,100,100,
339-U1389D-1H-CC-A,339,U1389,D,1,1-CC,H,CC,A,0,17,5.33,5.5,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,10Y 4/1 (dark greenish gray),clay ,1,medium sand ,5.0,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,,,,100,100,
339-U1389D-2H-1-A,339,U1389,D,2,2-1,H,1,A,0,60,5.5,6.1,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5.0,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,few ,,Small shell fragments,100,100,
339-U1389D-2H-1-A,339,U1389,D,2,2-1,H,1,A,60,102,6.1,6.52,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5.0,,,,,,,,,,,,,100,gradational contact,,,,,,sparse_339 ,2,,,,100,100,
339-U1389D-2H-1-A,339,U1389,D,2,2-1,H,1,A,102,114,6.52,6.64,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5.0,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,sparse_339 ,2,,,,100,100,
339-U1389D-2H-1-A,339,U1389,D,2,2-1,H,1,A,114,137,6.64,6.87,calcareous ,silty sand ,,calcareous   silty sand ,calcareous  silty sand ,silty sand ,100,2.5Y 4/1 (dark gray),very fine sand ,3,medium sand ,5.0,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,sparse_339 ,2,few ,,Shell fragments,100,100,
339-U1389D-2H-1-A,339,U1389,D,2,2-1,H,1,A,137,150,6.87,7.0,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5.0,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,,,,100,100,
339-U1389D-2H-2-A,339,U1389,D,2,2-2,H,2,A,0,74,7.0,7.74,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5.0,,,,,,,,,,,,,100,gradational contact,,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1389D-2H-2-A,339,U1389,D,2,2-2,H,2,A,74,145,7.74,8.45,calcareous ,mud ,,calcareous   mud ,calcareous  mud ,mud ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5.0,,,,,,,,,,,,,100,gradational contact,,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1389D-2H-2-A,339,U1389,D,2,2-2,H,2,A,145,150,8.45,8.5,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5.0,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1389D-2H-3-A,339,U1389,D,2,2-3,H,3,A,0,150,8.5,10.0,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5.0,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,,,,100,100,
339-U1389D-2H-4-A,339,U1389,D,2,2-4,H,4,A,0,150,10.0,11.5,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5.0,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,
