Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],LITHOLOGY,REFERENCE,PREFIX,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE
323-U1340B-1H-1-A,323,U1340,B,1,1-1,H,1,A,0,90,0,0.9,diatom ooze,United States Geological Survey,foraminifer-rich,foraminifer-rich diatom ooze,100,soft,5Y 4/2,,,,,,,,,,,,
323-U1340B-1H-1-A,323,U1340,B,1,1-1,H,1,A,90,122,0.9,1.22,diatom ooze,United States Geological Survey,nannofossil-bearing,nannofossil-bearing diatom ooze,100,soft,5Y 4/2,,,,,laminated,,,,,,,
323-U1340B-1H-1-A,323,U1340,B,1,1-1,H,1,A,122,140,1.22,1.4,diatom ooze,United States Geological Survey,nannofossil-bearing,nannofossil-bearing diatom ooze,100,soft,5Y 4/3,,,,,laminated,,,,,,,
323-U1340B-1H-1-A,323,U1340,B,1,1-1,H,1,A,140,150,1.4,1.5,fine-ashy silt,Leg 323,diatom-rich,diatom-rich fine-ashy silt,100,soft,5Y 4/3,,,,,,,,,,,,
323-U1340B-1H-2-A,323,U1340,B,1,1-2,H,2,A,0,52,1.5,2.02,fine-ashy silt,Leg 323,diatom-rich,diatom-rich fine-ashy silt,100,soft,5Y 4/3,,,,,,,,,,,,
323-U1340B-1H-2-A,323,U1340,B,1,1-2,H,2,A,52,150,2.02,3,diatom ooze,United States Geological Survey,foraminifer-rich,foraminifer-rich diatom ooze,100,soft,10Y 4/1,,,,,,,,,,,,
323-U1340B-1H-3-A,323,U1340,B,1,1-3,H,3,A,0,150,3,4.5,diatom ooze,United States Geological Survey,foraminifer-rich,foraminifer-rich diatom ooze,100,soft,10Y 4/1,,,,,,,,,,,,
323-U1340B-1H-4-A,323,U1340,B,1,1-4,H,4,A,0,100,4.5,5.5,diatom ooze,United States Geological Survey,foraminifer-rich,foraminifer-rich diatom ooze,100,soft,10Y 4/1,,,,,,,,,,,,
323-U1340B-1H-5-A,323,U1340,B,1,1-5,H,5,A,0,79,5.5,6.29,diatom ooze,United States Geological Survey,foraminifer-rich,foraminifer-rich diatom ooze,100,soft,10Y 4/1,,,,,,,,,,,,
323-U1340B-2H-1-A,323,U1340,B,2,2-1,H,1,A,0,55,6.4,6.95,clay [S54] ,,diatom-rich,diatom-rich clay,100,soft,5Y 4/1 ,,,,,,,,,,,,
