Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
353-U1446C-1H-1-A,0,150,0,1.5,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,brown,5Y 4/2 (olive gray),,,,,,,,,,,,,Oxidized sediments ?,,,,353,U1446,C,1,H,1,A,,,,
353-U1446C-1H-2-A,0,150,1.5,3,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,353,U1446,C,1,H,2,A,,,,
353-U1446C-1H-3-A,0,150,3,4.5,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,353,U1446,C,1,H,3,A,,,,
353-U1446C-1H-4-A,0,150,4.5,6,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,353,U1446,C,1,H,4,A,,,,
353-U1446C-1H-5-A,0,101,6,7.01,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,brown,2.5Y 5/2 (grayish brown),,,,,,,,,mottling,,,,Many shell fragments between 59 and 81 cm.,,,,353,U1446,C,1,H,5,A,,,,
353-U1446C-1H-6-A,0,50,7.01,7.51,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,brown,2.5Y 5/2 (grayish brown),gradational,,,,,,,,mottling,,,,,,,,353,U1446,C,1,H,6,A,,,,
353-U1446C-1H-6-A,50,74,7.51,7.75,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,1,H,6,A,,,,
353-U1446C-1H-CC-A,0,24,7.75,7.99,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,1,H,CC,A,,,,
353-U1446C-2H-1-A,0,150,7.9,9.4,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to grayish brown (2.5Y 5/2).,,,,353,U1446,C,2,H,1,A,,,,
353-U1446C-2H-2-A,0,142,9.4,10.82,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to grayish brown (2.5Y 5/2).,,,,353,U1446,C,2,H,2,A,,,,
353-U1446C-2H-3-A,0,141,10.82,12.23,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to grayish brown (2.5Y 5/2).,,,,353,U1446,C,2,H,3,A,,,,
353-U1446C-2H-4-A,0,142,12.23,13.65,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Shell fragments at 48-49 cm. Faint color variations from dark gray (5Y 4/1) to grayish brown (2.5Y 5/2),,,,353,U1446,C,2,H,4,A,,,,
353-U1446C-2H-5-A,0,141,13.65,15.06,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,2,H,5,A,,,,
353-U1446C-2H-6-A,0,10,15.06,15.16,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),bioturbated,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,2,H,6,A,,,,
353-U1446C-2H-6-A,10,15.5,15.16,15.215,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,light gray,2.5Y 7/2 (light gray),erosive,sharp,horizontal,,,vitric,,,,,,,Toba ash ???,,,,353,U1446,C,2,H,6,A,,,,
353-U1446C-2H-6-A,15.5,150,15.215,16.56,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,2,H,6,A,,,,
353-U1446C-2H-7-A,0,98,16.56,17.54,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,2,H,7,A,,,,
353-U1446C-2H-CC-A,0,12,17.54,17.66,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,2,H,CC,A,,,,
353-U1446C-3H-1-A,0,150,17.4,18.9,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,3,H,1,A,,,,
353-U1446C-3H-1-A,0,151,17.4,18.91,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,3,H,1,A,,,,
353-U1446C-3H-2-A,0,146,18.91,20.37,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,3,H,2,A,,,,
353-U1446C-3H-3-A,0,147,20.37,21.84,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,3,H,3,A,,,,
353-U1446C-3H-4-A,0,145,21.84,23.29,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,3,H,4,A,,,,
353-U1446C-3H-5-A,0,146,23.29,24.75,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,3,H,5,A,,,,
353-U1446C-3H-6-A,0,146,24.75,26.21,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,3,H,6,A,,,,
353-U1446C-3H-7-A,0,70,26.21,26.91,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,3,H,7,A,,,,
353-U1446C-3H-CC-A,0,22,26.91,27.13,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,3,H,CC,A,,,,
353-U1446C-4H-1-A,0,150,26.9,28.4,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,4,H,1,A,,,,
353-U1446C-4H-2-A,0,146,28.4,29.86,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,4,H,2,A,,,,
353-U1446C-4H-3-A,0,146,29.86,31.32,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,4,H,3,A,,,,
353-U1446C-4H-4-A,0,146,31.32,32.78,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,4,H,4,A,,,,
353-U1446C-4H-5-A,0,147,32.78,34.25,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,4,H,5,A,,,,
353-U1446C-4H-6-A,0,146,34.25,35.71,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Long burrow in the top 30cm of the section. Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,4,H,6,A,,,,
353-U1446C-4H-7-A,0,89,35.71,36.6,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Gastropod at 34 cm! Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,4,H,7,A,,,,
353-U1446C-4H-CC-A,0,21,36.6,36.81,,nannofossil rich,clay,with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark greenish gray (GLEY 1 4/10Y) to more greenish (GLEY 1 4/5GY) with mottling.,,,,353,U1446,C,4,H,CC,A,,,,
353-U1446C-5H-1-A,0,150,36.4,37.9,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,gray,GLEY 1 4/10GY (dark greenish gray),,,,,,,,,mottling,,,,,,,,353,U1446,C,5,H,1,A,,,,
