Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Diagenetic constituent,Diagenetic constituent composition,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,File Data,Ship File Links,Shore File Links,Sample,Extra Sample ID Data
361,U1475,F,2,2-1,H,1,A,0,150,20,21.5,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,light gray,GLEY 1 8/N (white gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,,,,,,,,burrows,slight,1,pyrite,mineral,,,,,,,,361-U1475F-2H-1-A,
361,U1475,F,2,2-2,H,2,A,0,116,21.5,22.66,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,light gray,GLEY 1 8/N (white gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,Diagenetic stratification,,,,,,,burrows,slight,1,pyrite,mineral,,,,,,,,361-U1475F-2H-2-A,
361,U1475,F,2,2-2,H,2,A,116,150,22.66,23,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,light gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,Diagenetic stratification,,,,,,,burrows,slight,1,pyrite,mineral,,,,,,,,361-U1475F-2H-2-A,
361,U1475,F,2,2-3,H,3,A,0,80,23,23.8,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,light gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,Diagenetic stratification,,,,,,,burrows,moderate,2,pyrite,mineral,,,,,,,,361-U1475F-2H-3-A,
361,U1475,F,2,2-3,H,3,A,80,150,23.8,24.5,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,light gray,GLEY 1 8/N (white gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,Diagenetic stratification,,,,,,,burrows,moderate,2,pyrite,mineral,,,,,,,,361-U1475F-2H-3-A,
361,U1475,F,2,2-4,H,4,A,0,150,24.5,26,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,light gray,GLEY 1 8/N (white gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,Diagenetic stratification,,,,,,,burrows,moderate,2,pyrite,mineral,,,,,,,,361-U1475F-2H-4-A,
361,U1475,F,2,2-5,H,5,A,0,150,26,27.5,1,nannofossil rich,foraminiferal ooze [2014],,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,light gray,GLEY 1 8/N (white gray),unconsolidated [2014],medium sand [W22_2],5,medium sand [W22_2],5,Diagenetic stratification,,,,,,,burrows,moderate,2,pyrite,mineral,,,,,,,,361-U1475F-2H-5-A,
361,U1475,F,2,2-6,H,6,A,0,150,27.5,29,2,foraminifer rich,nannofossil ooze [2014],,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,light gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,Diagenetic stratification,,,,,,,burrows,moderate,2,pyrite,mineral,,,,,,,,361-U1475F-2H-6-A,
361,U1475,F,2,2-7,H,7,A,0,54,29,29.54,2,foraminifer rich,nannofossil ooze [2014],,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,light gray,GLEY 1 8/N (white gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,Diagenetic stratification,,,,,,,burrows,moderate,2,pyrite,mineral,,,,,,,,361-U1475F-2H-7-A,
361,U1475,F,2,2-CC,H,CC,A,0,18,29.54,29.72,2,foraminifer rich,nannofossil ooze [2014],,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,light gray,GLEY 1 8/N (white gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,Diagenetic stratification,,,,,,,burrows,moderate,2,pyrite,mineral,,,,,,,,361-U1475F-2H-CC-A,
361,U1475,F,4,4-1,H,1,A,0,150,52,53.5,2,,nannofossil ooze [2014],with fine sand,nannofossil ooze,nannofossil ooze with fine sand,nannofossil ooze with fine sand,light gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,Diagenetic stratification,,,,,,,burrows,moderate,2,pyrite,mineral,,,,,,,,361-U1475F-4H-1-A,
361,U1475,F,4,4-2,H,2,A,0,138,53.5,54.88,2,,nannofossil ooze [2014],with fine sand,nannofossil ooze,nannofossil ooze with fine sand,nannofossil ooze with fine sand,light gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,Diagenetic stratification,,,,,,,burrows,strong,3,pyrite,mineral,,,,,,,,361-U1475F-4H-2-A,
361,U1475,F,4,4-3,H,3,A,0,136,54.88,56.24,2,,nannofossil ooze [2014],with fine sand,nannofossil ooze,nannofossil ooze with fine sand,nannofossil ooze with fine sand,light gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,Diagenetic stratification,,,,,,,burrows,strong,3,pyrite,mineral,,,,,,,,361-U1475F-4H-3-A,
361,U1475,F,4,4-4,H,4,A,0,150,56.24,57.74,2,,nannofossil ooze [2014],with fine sand,nannofossil ooze,nannofossil ooze with fine sand,nannofossil ooze with fine sand,light gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,Diagenetic stratification,,,,,,,burrows,strong,3,pyrite,mineral,,,,,,,,361-U1475F-4H-4-A,
361,U1475,F,4,4-5,H,5,A,0,150,57.74,59.24,2,,nannofossil ooze [2014],with fine sand,nannofossil ooze,nannofossil ooze with fine sand,nannofossil ooze with fine sand,light gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,Diagenetic stratification,,,,,,,burrows,strong,3,pyrite,mineral,,,,,,,,361-U1475F-4H-5-A,
361,U1475,F,4,4-6,H,6,A,0,107,59.24,60.31,2,,nannofossil ooze [2014],with fine sand,nannofossil ooze,nannofossil ooze with fine sand,nannofossil ooze with fine sand,light gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,Diagenetic stratification,,,,,,,burrows,strong,3,pyrite,mineral,,,,,,,,361-U1475F-4H-6-A,
361,U1475,F,4,4-CC,H,CC,A,0,21,60.31,60.52,2,,nannofossil ooze [2014],with fine sand,nannofossil ooze,nannofossil ooze with fine sand,nannofossil ooze with fine sand,light gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,Diagenetic stratification,,,,,,,burrows,strong,3,pyrite,mineral,,,,,,,,361-U1475F-4H-CC-A,
361,U1475,F,5,5-1,H,1,A,0,150,61.5,63,2,,nannofossil ooze [2014],with fine sand,nannofossil ooze,nannofossil ooze with fine sand,nannofossil ooze with fine sand,light gray,GLEY 1 7/10Y (light greenish grey),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,Diagenetic stratification,,,,,,,burrows,strong,3,pyrite,mineral,,,,,,,,361-U1475F-5H-1-A,
