Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data
369-U1512A-1R-1-A,0,15,0,0.15,,,,,Foraminifer-rich,calcareous ooze,with sponge spicules,Foraminifer-rich calcareous ooze with sponge spicules,,,7.5YR 8/2 (pinkish white),,,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,Foraminifer-rich calcareous ooze,Foraminifer-rich calcareous ooze with sponge spicules,,,
369-U1512A-1R-1-A,15,38,0.15,0.38,,,,,Foraminifer-rich,calcareous ooze,with sponge spicules,Foraminifer-rich calcareous ooze with sponge spicules,,,10B 8/1 (light bluish gray),,,,,,clay [W22_1],1,,,none,0,,sharp boundary or contact,,,,,,,,,Foraminifer-rich calcareous ooze,Foraminifer-rich calcareous ooze with sponge spicules,,,
369-U1512A-1R-CC-A,0,17.5,0.38,0.555,,,,,Foraminifer-rich,calcareous ooze,with sponge spicules,Foraminifer-rich calcareous ooze with sponge spicules,,,10B 8/1 (light bluish gray),,,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,Foraminifer-rich calcareous ooze,Foraminifer-rich calcareous ooze with sponge spicules,,,
369-U1512A-2R-1-A,0,46,9.6,10.06,,,,,Foraminifer-rich,calcareous ooze,with sponge spicules,Foraminifer-rich calcareous ooze with sponge spicules,,,8.5/N (white),,,,,,clay [W22_1],1,,,none,0,,sharp boundary or contact,,,,,,,,,Foraminifer-rich calcareous ooze,Foraminifer-rich calcareous ooze with sponge spicules,,,
369-U1512A-2R-1-A,46,100,10.06,10.6,,,,,,silty clay,,silty clay,,,10Y 3/1 (very dark greenish gray),,,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,biosiliceous silty clay,silty clay,,,
369-U1512A-2R-2-A,0,68,10.6,11.28,,,,,,silty clay,,silty clay,,,10Y 3/1 (very dark greenish gray),,,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,biosiliceous silty clay,silty clay,,,
369-U1512A-2R-CC-A,0,20,11.28,11.48,,,,,,silty clay,,silty clay,,,10Y 3/1 (very dark greenish gray),,,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,biosiliceous silty clay,silty clay,,,
369-U1512A-3R-1-A,0,7.5,19.2,19.275,,,,,,silty clay,,silty clay,pyrite,,10Y 3/1 (very dark greenish gray),massive [BJ84],,,structureless,,silt [W22_1],2,banding,,none,0,,,,,,,,,,,biosiliceous silty clay,silty clay,,,
369-U1512A-3R-1-A,7.5,150,19.275,20.7,,,,,,silty clay,,silty clay,pyrite,,10Y 3/1 (very dark greenish gray),massive [BJ84],,,structureless,,silt [W22_1],2,banding,,none,0,,,,,,,,,,,biosiliceous silty clay,silty clay,,,
369-U1512A-3R-2-A,0,150,20.7,22.2,,,,,,silty clay,,silty clay,pyrite,,10Y 3/1 (very dark greenish gray),massive [BJ84],,,structureless,,silt [W22_1],2,nodule,,none,0,,,,,,,,,,,biosiliceous silty clay,silty clay,,,
369-U1512A-3R-3-A,0,150,22.2,23.7,,,,,,silty clay,,silty clay,pyrite,,10Y 3/1 (very dark greenish gray),massive [BJ84],,,structureless,,silt [W22_1],2,banding,,none,0,,,,,,,,,,,biosiliceous silty clay,silty clay,,,
369-U1512A-3R-4-A,0,150,23.7,25.2,,,,,,silty clay,,silty clay,pyrite,,10Y 3/1 (very dark greenish gray),massive [BJ84],,,structureless,,silt [W22_1],2,banding,,none,0,,,,,,,,,,,biosiliceous silty clay,silty clay,,,
369-U1512A-3R-5-A,0,150,25.2,26.7,,,,,,silty clay,,silty clay,pyrite,glauconite,10Y 3/1 (very dark greenish gray),massive [BJ84],,,structureless,,silt [W22_1],2,banding,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-3R-6-A,0,90,26.7,27.6,,,,,,silty clay,,silty clay,pyrite,,10Y 3/1 (very dark greenish gray),massive [BJ84],,,structureless,,silt [W22_1],2,banding,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-3R-7-A,0,64,27.7,28.34,,,,,,silty clay,,silty clay,pyrite,,10Y 3/1 (very dark greenish gray),massive [BJ84],,,structureless,,silt [W22_1],2,banding,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-3R-CC-A,0,23,28.34,28.57,,,,,,silty clay,,silty clay,pyrite,,10Y 3/1 (very dark greenish gray),massive [BJ84],,,structureless,,silt [W22_1],2,banding,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-4R-1-A,0,151,28.8,30.31,,,,,,silty clay,,silty clay,pyrite,,10Y 3/1 (very dark greenish gray),,,,,,clay [W22_1],1,nodule,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-4R-2-A,0,126,30.31,31.57,,,,,,silty clay,,silty clay,,,10Y 3/1 (very dark greenish gray),,,,,,clay [W22_1],1,nodule,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-4R-3-A,0,150,31.68,33.18,,,,,,silty clay,,silty clay,pyrite,,10Y 3/1 (very dark greenish gray),,,,,,clay [W22_1],1,banding,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-4R-4-A,0,151,33.18,34.69,,,,,,silty clay,,silty clay,pyrite,,10Y 3/1 (very dark greenish gray),,,,,,clay [W22_1],1,nodule,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-4R-5-A,0,35,34.69,35.04,,,,,,silty clay,,silty clay,pyrite,,10Y 3/1 (very dark greenish gray),,,,,,clay [W22_1],1,nodule,,none,0,,sharp boundary or contact,,,,,,,,,silty clay,silty clay,,,
369-U1512A-4R-5-A,35,38,35.04,35.07,,,,,,clayey silt,,clayey silt,,,10Y 2.5/1 (greenish black),,,,,,silt [W22_1],2,,,none,0,,sharp boundary or contact,,,,,,,,,clayey silt,clayey silt,,,
369-U1512A-4R-5-A,38,99,35.07,35.68,,,,,,silty clay,,silty clay,,,10Y 3/1 (very dark greenish gray),,,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-4R-6-A,0,80,35.68,36.48,,,,,,silty clay,,silty clay,pyrite,,10Y 3/1 (very dark greenish gray),,,,,,clay [W22_1],1,nodule,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-4R-CC-A,0,28,36.48,36.76,,,,,,silty clay,,silty clay,pyrite,,10Y 3/1 (very dark greenish gray),,,,,,clay [W22_1],1,nodule,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-5R-1-A,0,7,38.4,38.47,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,sharp inclined boundary or contact,,,,,,,,,silty clay,silty clay,,,
369-U1512A-5R-1-A,7,150,38.47,39.9,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,banding,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-5R-2-A,0,150,39.9,41.4,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,banding,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-5R-3-A,0,101,41.4,42.41,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,shell fragment,common,silty clay,silty clay,,,
369-U1512A-5R-4-A,0,86,42.41,43.27,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,shell fragment,common,silty clay,silty clay,,,
369-U1512A-5R-5-A,0,150,43.37,44.87,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,shell fragment,rare,silty clay,silty clay,,,
369-U1512A-5R-6-A,0,152,44.87,46.39,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,shell fragment,common,silty clay,silty clay,,,
369-U1512A-5R-7-A,0,71,46.39,47.1,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,shell fragment,rare,silty clay,silty clay,,,
369-U1512A-5R-CC-A,0,30,47.1,47.4,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,shell fragment,common,silty clay,silty clay,,,
369-U1512A-6R-1-A,0,109,48,49.09,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,shell fragment,common,silty clay,silty clay,,,
369-U1512A-6R-1-A,109,110,49.09,49.1,,,,,,silty clay,,silty clay,shells,,GLEY 1 2.5/N (black),massive [BJ84],,,imbrication,,clay [W22_1],1,,,none,0,Possible shell lag,sharp boundary or contact,,,,,,,shell fragment,dominant,silty clay,silty clay,,,
369-U1512A-6R-1-A,110,150,49.1,49.5,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-6R-2-A,0,150,49.5,51,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,shell fragment,common,silty clay,silty clay,,,
369-U1512A-6R-3-A,0,95,51,51.95,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,shell fragment,common,silty clay,silty clay,,,
369-U1512A-6R-4-A,0,71,52.1,52.81,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),,,,,,clay [W22_1],1,,,,,,,,,,,,,shell fragment,common,silty clay,silty clay,,,
369-U1512A-6R-4-A,71,151,52.81,53.61,,,,,,silty clay,,silty clay ,,,GLEY 1 3/10Y (very dark greenish gray),mottled,,,structureless,,clay [W22_1],1,,,sparse,1,unknown trace fossils (85 to 121 cm),gradational boundary or contact,gradational,diffuse,,,,,,,silty clay,silty clay with nannofossils,,,
369-U1512A-6R-5-A,0,151,53.61,55.12,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,shell fragment,common,silty clay,silty clay,,,
369-U1512A-6R-6-A,0,136,55.12,56.48,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,shell fragment,common,silty clay,silty clay,,,
369-U1512A-6R-7-A,0,50,56.48,56.98,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,shell fragment,common,silty clay,silty clay,,,
369-U1512A-6R-CC-A,0,29,56.98,57.27,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-7R-1-A,0,10,57.6,57.7,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,shell fragment,trace,silty clay,silty clay,,,
369-U1512A-7R-1-A,10,23,57.7,57.83,,,,,,silty clay,,silty clay,pyrite,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,sharp boundary or contact,straight-irregular,sharp,,,,,,,silty clay,silty clay,,,
369-U1512A-7R-1-A,23,137,57.83,58.97,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,shell fragment,rare,silty clay,silty clay,,,
369-U1512A-7R-2-A,0,83,58.97,59.8,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,bioturbated boundary or contact,irregular-straight,sharp,,,,,shell fragment,common,silty clay,silty clay,,,
369-U1512A-7R-2-A,83,122,59.8,60.19,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,unknown trace fossils,,,,,,,,shell fragment,rare,silty clay,silty clay,,,
369-U1512A-7R-3-A,0,17,60.19,60.36,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,,sharp boundary or contact,stepped-straight-irregular,sharp,,,,,,,silty clay,silty clay,,,
369-U1512A-7R-3-A,17,37,60.36,60.56,,,,,,silty clay,,silty clay,pyrite,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-7R-3-A,37,73,60.56,60.92,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,low,2,unknown trace fossils,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-7R-4-A,0,150,61.07,62.57,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,shell fragment,common,silty clay,silty clay,,,
369-U1512A-7R-5-A,0,150,62.57,64.07,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,shell fragment,rare,silty clay,silty clay,,,
369-U1512A-7R-6-A,0,150,64.07,65.57,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-7R-7-A,0,67,65.57,66.24,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,none,0,,bioturbated boundary or contact,sharp,sharp,,,,,,,silty clay,silty clay,,,
369-U1512A-7R-7-A,67,116,66.24,66.73,,,,,,silty clay,,silty clay,,,10G 2.5/1 (grayish black),massive [BJ84],,,structureless,,clay [W22_1],1,,,moderate,2,,,,,,,,,shell fragment,rare,silty clay,silty clay,,,
369-U1512A-7R-CC-A,0,15,66.73,66.88,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-8R-1-A,0,6,67.2,67.26,,,,,,silty clay,,silty clay,pyrite,,GLEY 1 2.5/N (black),,,,,,clay [W22_1],1,,,,,,,,sharp,,,,,,,silty clay,silty clay,,,
369-U1512A-8R-1-A,6,140,67.26,68.6,,,,,,silty clay,,silty clay,pyrite,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,mottled,clay [W22_1],1,concretion,,moderate,2,Sparse pyrite nodules up to 1 cm in diameter sparse unidentified fossils,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-8R-2-A,0,144,68.6,70.04,,,,,,silty clay,,silty clay,pyrite,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,mottled,clay [W22_1],1,,,low,2,Sparse pyrite nodules up to 1 cm in diameter sparse unidentified fossils,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-8R-3-A,0,121,70.04,71.25,,,,,,silty clay,,silty clay,pyrite,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,mottled,clay [W22_1],1,,,low,2,"Sparse pyrite nodules up to 1 cm in diameter sparse unidentified fossils sharp contact at 60 cm, without change in lithology. Below it, a 1 cm interval with parallel lamination and no bioturbation occurs, Below that interval, bioturbation is restored and lamination is not distinguished.",,,,,,,,,,silty clay,silty clay,,,
369-U1512A-8R-4-A,0,150,71.4,72.9,,,,,,silty clay,,silty clay,pyrite,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,mottled,clay [W22_1],1,nodule,,low,2,Sparse pyrite nodules up to 2 cm in diameter sparse unidentified fossils,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-8R-5-A,0,149,72.9,74.39,,,,,,silty clay,,silty clay,pyrite,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,mottled,clay [W22_1],1,concretion,,low,2,Sparse pyrite nodules up to 2 cm in diameter sparse unidentified fossils,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-8R-6-A,0,121,74.39,75.6,,,,,,silty clay,,silty clay,pyrite,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,mottled,clay [W22_1],1,concretion,,low,2,"Sparse pyrite nodules up to 2 cm in diameter at interval 54 cm and 67, pale yellow fossil fragments from inoceramus are identified, 1 cm thick on interval 54 cm.",,,,,,,,,,silty clay,silty clay,,,
369-U1512A-8R-7-A,0,51,75.6,76.11,,,,,,silty clay,,silty clay,pyrite,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,mottled,clay [W22_1],1,concretion,,low,2,Sparse pyrite nodules up to 1.5 cm in diameter,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-8R-CC-A,0,19,76.11,76.3,,,,,,silty clay,,silty clay,pyrite,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,mottled,clay [W22_1],1,concretion,,low,2,"2 cm vertical burrows on the working half, with calcite infilling.",,,,,,,,,,silty clay,silty clay,,,
369-U1512A-9R-1-A,0,7,76.8,76.87,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),,,,,,clay [W22_1],1,,,none,0,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-9R-1-A,7,90,76.87,77.7,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),mottled,,,,,clay [W22_1],1,,,moderate,2,unknown trace fossils,,,,,,,,shell fragment,rare,silty clay,silty clay,,,
369-U1512A-9R-1-A,90,112,77.7,77.92,,,,,,silty clay,,silty clay,pyrite,,GLEY 1 2.5/N (black),,,,structureless,,clay [W22_1],1,,,,,interval with soft-material presence of pyrite-enriched layers,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-9R-1-A,112,146,77.92,78.26,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,unknown trace fossils,,,,,,,,shell fragment,rare,silty clay,silty clay,,,
369-U1512A-9R-2-A,0,146,78.26,79.72,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,unknown trace fossils,,,,,,,,shell fragment,rare,silty clay,silty clay,,,
369-U1512A-9R-3-A,0,149,79.72,81.21,,,,,,silty clay,,silty clay,pyrite,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,unknown trace fossil pyrite nodule at 56 cm interval with soft material at 71 cm,,,,,,,,shell fragment,rare,silty clay,silty clay,,,
369-U1512A-9R-4-A,0,134,81.21,82.55,,,,,,silty clay,,silty clay,pyrite,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,unknown trace fossil pyrite nodules at 78 cm,,,,,,,,shell fragment,rare,silty clay,silty clay,,,
369-U1512A-9R-5-A,0,150,82.7,84.2,,,,,,silty clay,,silty clay,pyrite,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,unknown trace fossil burrows with 2 cm vertical size,,,,,,,,shell fragment,rare,silty clay,silty clay,,,
369-U1512A-9R-6-A,0,67,84.2,84.87,,,,,,silty clay,,silty clay,pyrite,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,low,2,discrete burrows,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-9R-CC-A,0,29,84.87,85.16,,,,,,silty clay,,silty clay,,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,,,,,,,,,,,silty clay,silty clay,,,
369-U1512A-10R-1-A,0,3,86.4,86.43,,,,,,silty claystone,,silty claystone,,,GLEY 1 2.5/N (black),massive [BJ84],,,structureless,,clay [W22_1],1,,,,,,,,,,,,,,,silty claystone,silty claystone,,,
369-U1512A-10R-1-A,3,150,86.43,87.9,,,,,,silty claystone,,silty claystone,pyrite,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,disseminated pyrite discrete burrows,,,,,,,,shell fragment,rare,silty claystone,silty claystone,,,
369-U1512A-10R-2-A,0,149,87.9,89.39,,,,,,silty claystone,,silty claystone,pyrite,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,disseminated pyrite discrete burrows,,,,,,,,shell fragment,rare,silty claystone,silty claystone,,,
369-U1512A-10R-3-A,0,150,89.39,90.89,,,,,,silty claystone,,silty claystone,pyrite,,GLEY 1 2.5/N (black),mottled,,,structureless,,clay [W22_1],1,,,moderate,2,disseminated pyrite discrete burrows,,,,,,,,shell fragment,rare,silty claystone,silty claystone,,,
