Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
359-U1467B-1H-1-A,0,145,0.0,1.45,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,pteropod,,foraminifera (planktic),,foraminifera (benthic),,,,,,,,absent,0,,,,"WACKESTONE to MUDSTONE very fine grained Well-sorted. Pteropods and planktic foraminifera are abundant also, pellets are common. Gradual color change from top light brownish gray to base dark greenish brown with no clear boundary",,,,359,U1467,B,1,H,1,A,,,,,
359-U1467B-1H-2-A,0,90,1.5,2.4,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,pteropod,,foraminifera (planktic),,foraminifera (benthic),,,,,,,,absent,0,,,,"WACKESTONE to MUDSTONE very fine grained Well-sorted. Pteropods and planktic foraminifera are abundant also, pellets are common. Gradual color change from top dark greenish brown to base light brownish gray with no clear boundary",,,,359,U1467,B,1,H,2,A,,,,,
359-U1467B-1H-3-A,0,86,2.4,3.26,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,,,,,,"WACKESTONE very fine grained Well-sorted. Planktic foraminifera are abundant also, benthic foraminifera are common and rare otolith are present.",,,,359,U1467,B,1,H,3,A,,,,,
359-U1467B-1H-CC-A,0,15,3.26,3.41,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,pteropod,,foraminifera (benthic),,,,,,,,,,,,,"WACKESTONE very fine grained Well-sorted. Planktic foraminifera are abundant also, benthic foraminifera and pteropods are common present",,,,359,U1467,B,1,H,CC,A,,,,,
359-U1467B-2H-1-A,0,150,3.5,5.0,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,bivalve,,pteropod,,,,,,,,,,,,,"WACKESTONE very fine grained Well-sorted. Planktic foraminifera are abundant also, Bivalve fragments, and pteropods are common and rare otolith and small gastropods",,,,359,U1467,B,2,H,1,A,,,,,
359-U1467B-2H-2-A,0,150,5.0,6.5,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,pteropod,,,,,,,,,,,,,,,"WACKESTONE very fine grained Well-sorted. Planktic foraminifera are abundant also, few pteropods are present.",,,,359,U1467,B,2,H,2,A,,,,,
359-U1467B-2H-3-A,0,48,6.5,6.98,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,,Otolith,foraminifera (planktic),,,,,,,,,,common,4,,,,WACKESTONE very fine grained Well-sorted. Otoliths and Planktic foraminifera are abundant. Mottled sediment common.,,,,359,U1467,B,2,H,3,A,,,,,
359-U1467B-2H-3-A,48,150,6.98,8.0,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 6/2 (light olive gray),very fine sand,3,bivalve,Otolith,calcareous nannofossil,,,,,,,,,,common,4,,,,"WACKESTONE very fine grained Well-sorted. Planktic foraminifera are abundant. Mottled sediment common. Smear slide analysis (359-U1467B-2H-3A, 120cm) shows abundant planktic foraminifera, coccoliths, aragonite needles, tunicates and silicoflagellates",,,,359,U1467,B,2,H,3,A,,,,,
359-U1467B-2H-4-A,0,36,8.0,8.36,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,pteropod,,,,,,,,,,common,4,,,,"WACKESTONE very fine grained Well-sorted. Planktic foraminifera are abundant also, few pteropods are present. Mottled sediment common.",,,,359,U1467,B,2,H,4,A,,,,,
359-U1467B-2H-4-A,36,86,8.36,8.86,Planktic foraminifer rich,wackestone,2,Planktic foraminifer rich wackestone,unlithified,1,5Y 6/1 (gray),very fine sand,3,foraminifera (planktic),,pteropod,,gastropod,,,,,,,,common,4,,gradational,,"WACKESTONE very fine grained Well-sorted. Planktic foraminifera are abundant also, few pteropods are present. Mottled sediment common. Smear slide analysis (359-U1467B-2H-4A, 75cm) shows abundant black grains, pteropods, planktic foraminifera, gastropods and otoliths.",,,,359,U1467,B,2,H,4,A,,,,,
