Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Principal lithology,Lithology classification,Lithology prefix,Lithology suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,
320-U1334B-1H-1-A,320,U1334,B,1,1-1,H,1,A,0,150,3.7,5.2,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,100,soft,10YR 5/2,,,
320-U1334B-1H-2-A,320,U1334,B,1,1-2,H,2,A,0,150,5.2,6.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,100,soft,10YR 5/2,,,
320-U1334B-1H-3-A,320,U1334,B,1,1-3,H,3,A,0,74,6.7,7.44,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,100,soft,10YR 5/2,,,
320-U1334B-1H-3-A,320,U1334,B,1,1-3,H,3,A,74,150,7.44,8.2,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,100,soft,10YR 3/3,,,
320-U1334B-1H-4-A,320,U1334,B,1,1-4,H,4,A,0,150,8.2,9.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,100,soft,10YR 3/3,,,
320-U1334B-1H-5-A,320,U1334,B,1,1-5,H,5,A,0,150,9.7,11.2,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,100,soft,10YR 3/3,,,
320-U1334B-1H-6-A,320,U1334,B,1,1-6,H,6,A,0,150,11.2,12.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,100,soft,10YR 3/3,,,
320-U1334B-1H-7-A,320,U1334,B,1,1-7,H,7,A,0,78,12.7,13.48,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,100,soft,10YR 3/3,,,
320-U1334B-1H-CC-A,320,U1334,B,1,1-CC,H,CC,A,0,19,13.48,13.67,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,100,soft,10YR 3/3,,,
320-U1334B-2H-1-A,320,U1334,B,2,2-1,H,1,A,0,2,13.2,13.22,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,100,soft,10YR 3/3,,,
320-U1334B-2H-1-A,320,U1334,B,2,2-1,H,1,A,2,150,13.22,14.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian Clay with nannofossils,40,soft,10YR 3/3,,,
320-U1334B-2H-1-A,320,U1334,B,2,2-1,H,1,A,2,150,13.22,14.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,
320-U1334B-2H-2-A,320,U1334,B,2,2-2,H,2,A,0,150,14.7,16.2,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian Clay with nannofossils,40,soft,10YR 3/3,,,
320-U1334B-2H-2-A,320,U1334,B,2,2-2,H,2,A,0,150,14.7,16.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,
320-U1334B-2H-3-A,320,U1334,B,2,2-3,H,3,A,0,150,16.2,17.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian Clay with nannofossils,40,soft,10YR 3/3,,,
320-U1334B-2H-3-A,320,U1334,B,2,2-3,H,3,A,0,150,16.2,17.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,
320-U1334B-2H-4-A,320,U1334,B,2,2-4,H,4,A,0,150,17.7,19.2,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian Clay with nannofossils,40,soft,10YR 3/3,,,
320-U1334B-2H-4-A,320,U1334,B,2,2-4,H,4,A,0,150,17.7,19.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,
320-U1334B-2H-5-A,320,U1334,B,2,2-5,H,5,A,0,150,19.2,20.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian Clay with nannofossils,40,soft,10YR 3/3,,,
320-U1334B-2H-5-A,320,U1334,B,2,2-5,H,5,A,0,150,19.2,20.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,
320-U1334B-2H-6-A,320,U1334,B,2,2-6,H,6,A,0,150,20.7,22.2,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian Clay with nannofossils,40,soft,10YR 3/3,,,
320-U1334B-2H-6-A,320,U1334,B,2,2-6,H,6,A,0,150,20.7,22.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,
320-U1334B-2H-7-A,320,U1334,B,2,2-7,H,7,A,0,71,22.2,22.91,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian Clay with nannofossils,40,soft,10YR 3/3,,,
320-U1334B-2H-7-A,320,U1334,B,2,2-7,H,7,A,0,71,22.2,22.91,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,60,soft,10YR 8/1,,,
