Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
359-U1470A-1H-1-A,0,134,0,1.34,foraminifer rich,grainstone,4,foraminifer rich grainstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,,,,,,"Foraminifera-rich GRAINSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifer, gastropods, and pteropods are common. Halimeda plates, bivalve fragments, organic matter are present, echinoid spines are few. Skeletal components and bioclasts are commonly orange/yellow stained.",,,,359,U1470,A,1,H,1,A,
359-U1470A-1H-2-A,0,62,1.39,2.01,foraminifer rich,grainstone,4,foraminifer rich grainstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,,,,,,"Foraminifera-rich GRAINSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifer, gastropods, and pteropods are common. Halimeda plates, bivalve fragments, organic matter are present, echinoid spines are few. Skeletal components and bioclasts are commonly orange/yellow stained.",,,,359,U1470,A,1,H,2,A,
359-U1470A-1H-CC-A,0,10,2.01,2.11,foraminifer rich,grainstone,4,foraminifer rich grainstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,,,,,,"Foraminifera-rich GRAINSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifer, gastropods, and pteropods are common. Halimeda plates, bivalve fragments, organic matter are present, echinoid spines are few. Skeletal components and bioclasts are commonly orange/yellow stained.",,,,359,U1470,A,1,H,CC,A,
359-U1470A-2H-1-A,0,115,2.1,3.25,foraminifer rich,grainstone,4,foraminifer rich grainstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,,,,,,"Foraminifera-rich GRAINSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifer, gastropods, and pteropods are common. Halimeda plates, bivalve fragments, organic matter are present, echinoid spines are few. Fish remains are rare. Skeletal components and bioclasts are commonly orange/yellow stained.",,,,359,U1470,A,2,H,1,A,
359-U1470A-2H-2-A,0,130,3.25,4.55,foraminifer rich,grainstone,4,foraminifer rich grainstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,,,,,,"Foraminifera-rich GRAINSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifer and pteropods are common. Halimeda plates, bivalve fragments, gastropods, organic matter are present, echinoid spines are few. Skeletal components and bioclasts are less stained than 1H.",,,,359,U1470,A,2,H,2,A,
359-U1470A-2H-3-A,0,140,4.55,5.95,foraminifer rich,grainstone,4,foraminifer rich grainstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,,,,,,"Foraminifera-rich GRAINSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifer and pteropods are common. Halimeda plates, bivalve fragments, gastropods, organic matter are present, echinoid spines are few. Skeletal components and bioclasts are less stained than 1H.",,,,359,U1470,A,2,H,3,A,
359-U1470A-2H-4-A,0,136,5.95,7.31,foraminifer rich,grainstone,4,foraminifer rich grainstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,,,,,,"Foraminifera-rich GRAINSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifer and pteropods are common. Halimeda plates, bivalve fragments, gastropods, organic matter are present, echinoid spines are few. Skeletal components and bioclasts are less stained than 1H. Locally grain size increases to medium to coarse-grained",,,,359,U1470,A,2,H,4,A,
359-U1470A-2H-5-A,0,39,7.36,7.75,foraminifer rich,grainstone,4,foraminifer rich grainstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,,,,gradational,horizontal,"Foraminifera-rich GRAINSTONE. Medium- to coarse-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifer and pteropods are common. Halimeda plates, bivalve fragments, gastropods, organic matter are present, echinoid spines are few. Skeletal components and bioclasts are less stained than 1H. Locally grain size increases to medium to coarse-grained. Large organic matter particles are common at the gradational color change in 2H-5, 39 cm. Pteropods also become larger and lithoclasts are present",,,,359,U1470,A,2,H,5,A,
359-U1470A-2H-5-A,39,139,7.75,8.75,foraminifer rich,grainstone,4,foraminifer rich grainstone,unlithified,1,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,,,,,,"Foraminifera-rich GRAINSTONE. Medium- to coarse-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifer bivalve fragments, gastropods, organic matter are present, echinoid spines are few.",,,,359,U1470,A,2,H,5,A,
359-U1470A-2H-6-A,0,72,8.75,9.47,foraminifer rich,grainstone,4,foraminifer rich grainstone,unlithified,1,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,,,,gradational,horizontal,"Foraminifera-rich GRAINSTONE. Medium- to coarse-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifer bivalve fragments, gastropods, organic matter are present, echinoid spines are few.",,,,359,U1470,A,2,H,6,A,
