Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data,Extra Sample ID Data
342-U1409A-1H-1-A,342,U1409,A,1,1-1,H,1,A,0.0,18.0,0.0,0.18,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,7.5YR 5/3 (brown),,,,complete_339 [DB91],6,,Gradiational color contact with underlying layer from 13-25 cm. Appears red by comparison with underlying interval.,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1409A-1H-1-A,342,U1409,A,1,1-1,H,1,A,18.0,38.0,0.18,0.38,diatomaceous [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],diatomaceous  nannofossil ooze  with foraminifers ,2.5YR 4/1 (dark reddish gray),,,,complete_339 [DB91],6,,Appears slightly greenish by comparision with the overlying layer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,diatomaceous   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,
342-U1409A-1H-1-A,342,U1409,A,1,1-1,H,1,A,38.0,63.0,0.38,0.63,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,10Y 4/1 (dark greenish gray),,,,complete_339 [DB91],6,,Appears slightly greyer than the overlying section.,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,,
342-U1409A-1H-CC-A,342,U1409,A,1,1-CC,H,CC,A,0.0,34.0,0.63,1.07,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,10Y 4/1 (dark greenish gray),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,,
342-U1409A-2H-1-A,342,U1409,A,2,2-1,H,1,A,0.0,71.0,1.1,1.81,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,7.5YR 5/3 (brown),,,,heavy_339 [DB91],5,,"The dominant color is a reddish grey-brown (7.5YR 5/3) with decimeter scale banding towards redder (7YR 5/3), more clayey intervals. Relatively rich-foraminiferal blebs or layers occur interspersed with more clay rich, red patches.",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,
342-U1409A-2H-1-A,342,U1409,A,2,2-1,H,1,A,71.0,113.0,1.81,2.23,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,10YR 5/1 (gray),,,,heavy_339 [DB91],5,,"Grey with occasional indistinct mottles and horizons, and slightly redder patches.",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,
342-U1409A-2H-1-A,342,U1409,A,2,2-1,H,1,A,113.0,150.0,2.23,2.6,nannofossil [Leg339],foraminiferal ooze [Leg339],,nannofossil  foraminiferal ooze ,5YR 6/1 (gray),,,,heavy_339 [DB91],5,,Grey with occasional indistinct mottles and horizons; texture suggests more foraminifera than in the preceding interval. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze ,,,,,,,
342-U1409A-2H-2-A,342,U1409,A,2,2-2,H,2,A,0.0,43.0,2.6,3.03,nannofossil [Leg339],foraminiferal ooze [Leg339],with foraminifers [Leg339],nannofossil  foraminiferal ooze  with foraminifers ,10YR 5/1 (gray),,,,heavy_339 [DB91],5,,Grades from a greener to redder from top to bottom. Likely that the greener color corresponds to relatively diatom rich sediments as is found in other sections in Core 2H.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with foraminifers ,,,,,,,
342-U1409A-2H-2-A,342,U1409,A,2,2-2,H,2,A,43.0,79.0,3.03,3.39,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,5Y 6/1 (gray),,,,heavy_339 [DB91],5,,"Appears more saturated than hues in the following section, with indistinct mottling from redder to greener cm-scale patches.",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,
342-U1409A-2H-2-A,342,U1409,A,2,2-2,H,2,A,79.0,119.0,3.39,3.79,,nannofossil ooze [Leg339],with foraminifers [Leg339],nannofossil ooze  with foraminifers ,5Y 6/1 (gray),,,,heavy_339 [DB91],5,,Indistinct mottles from darker to lighter grey. From 101-112cm dominant lithology is likely a nannofossil foraminiferal ooze.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,
