Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Major prefix modifier before principal,Principal lithology name,Minor suffix modifier after principal,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data
329-U1369C-1H-1-A,329,U1369,C,1,1-1,H,1,A,0,5,0.0,0.05,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-1H-1-A,329,U1369,C,1,1-1,H,1,A,15,40,0.15,0.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-1H-1-A,329,U1369,C,1,1-1,H,1,A,50,60,0.5,0.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-1H-1-A,329,U1369,C,1,1-1,H,1,A,100,110,1.0,1.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-1H-1-A,329,U1369,C,1,1-1,H,1,A,130,140,1.3,1.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-1H-2-A,329,U1369,C,1,1-2,H,2,A,0,40,1.5,1.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-1H-2-A,329,U1369,C,1,1-2,H,2,A,50,60,2.0,2.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-1H-2-A,329,U1369,C,1,1-2,H,2,A,75,90,2.25,2.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-1H-2-A,329,U1369,C,1,1-2,H,2,A,100,110,2.5,2.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-1H-2-A,329,U1369,C,1,1-2,H,2,A,130,140,2.8,2.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-1H-3-A,329,U1369,C,1,1-3,H,3,A,0,40,3.0,3.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-1H-3-A,329,U1369,C,1,1-3,H,3,A,50,60,3.5,3.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-1H-3-A,329,U1369,C,1,1-3,H,3,A,75,90,3.75,3.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-1H-3-A,329,U1369,C,1,1-3,H,3,A,100,140,4.0,4.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-1H-4-A,329,U1369,C,1,1-4,H,4,A,0,90,4.5,5.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-1H-4-A,329,U1369,C,1,1-4,H,4,A,100,110,5.5,5.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-1H-CC-A,329,U1369,C,1,1-CC,H,CC,A,0,21,5.82,6.03,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-1-A,329,U1369,C,2,2-1,H,1,A,0,60,6.0,6.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-1-A,329,U1369,C,2,2-1,H,1,A,75,140,6.75,7.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-2-A,329,U1369,C,2,2-2,H,2,A,0,60,7.5,8.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-2-A,329,U1369,C,2,2-2,H,2,A,75,140,8.25,8.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-3-A,329,U1369,C,2,2-3,H,3,A,0,120,9.0,10.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-4-A,329,U1369,C,2,2-4,H,4,A,0,60,10.5,11.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-4-A,329,U1369,C,2,2-4,H,4,A,75,140,11.25,11.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-5-A,329,U1369,C,2,2-5,H,5,A,0,40,12.0,12.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-5-A,329,U1369,C,2,2-5,H,5,A,50,60,12.5,12.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-5-A,329,U1369,C,2,2-5,H,5,A,100,110,13.0,13.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-5-A,329,U1369,C,2,2-5,H,5,A,130,140,13.3,13.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-6-A,329,U1369,C,2,2-6,H,6,A,0,40,13.5,13.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-6-A,329,U1369,C,2,2-6,H,6,A,50,60,14.0,14.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-6-A,329,U1369,C,2,2-6,H,6,A,75,90,14.25,14.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-6-A,329,U1369,C,2,2-6,H,6,A,100,110,14.5,14.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-6-A,329,U1369,C,2,2-6,H,6,A,130,140,14.8,14.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-7-A,329,U1369,C,2,2-7,H,7,A,0,35,15.0,15.35,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-7-A,329,U1369,C,2,2-7,H,7,A,45,54,15.45,15.54,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1369C-2H-CC-A,329,U1369,C,2,2-CC,H,CC,A,0,27,15.79,16.06,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
,,,,,,,,,,,,,,,,,,,,,,
