Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Diagenetic constituent,Diagenetic constituent composition,Biogenic material,Lithologic accessories,Contact or boundary type,Contact geometry,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
374-U1523E-1H-1-A,0,25,0,0.25,diatom rich,interbedded sand(stone) and mud(stone) [McKW53],,diatom rich interbedded sand(stone) and mud(stone),,,moderate [DB86],2,,,,,,,,,,,,,374,U1523,E,1,H,1,A,
374-U1523E-1H-1-A,0,42,0,0.42,,,,,,2.5Y 5/3 (light olive brown),,,,,,,,,sharp boundary or contact,,Sharp color contact at 42 cm.,,,,374,U1523,E,1,H,1,A,
374-U1523E-1H-1-A,25,30,0.25,0.3,foraminifer bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,,moderate [DB86],2,,,,,,,,,,,,,374,U1523,E,1,H,1,A,
374-U1523E-1H-1-A,30,72,0.3,0.72,foraminifer bearing,interbedded sand(stone) and mud(stone) [McKW53],,foraminifer bearing interbedded sand(stone) and mud(stone),,,moderate [DB86],2,,,,,,,,,,,,,374,U1523,E,1,H,1,A,
374-U1523E-1H-1-A,42,100,0.42,1,,,,,,GLEY 1 6/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,Sharp color contact at 100 cm.,,,,374,U1523,E,1,H,1,A,
374-U1523E-1H-1-A,49,49,0.49,0.49,,,,,,,,,,,,,,,sharp boundary or contact,,Sharp color contact,,,,374,U1523,E,1,H,1,A,
374-U1523E-1H-1-A,49,88,0.49,0.88,,,,,,,,,,,,,foraminifer,,,,,,,,374,U1523,E,1,H,1,A,
374-U1523E-1H-1-A,72,74,0.72,0.74,foraminifer bearing,clast-rich sandy diamict [M89m],,diatom bearing clast-rich sandy diamict,,,moderate [DB86],2,,,,,,,,,,,,,374,U1523,E,1,H,1,A,
374-U1523E-1H-1-A,74,88,0.74,0.88,foraminifer bearing,interbedded sand(stone) and mud(stone) [McKW53],,foraminifer bearing interbedded sand(stone) and mud(stone),,,moderate [DB86],2,,,,,foraminifer,,,,,,,,374,U1523,E,1,H,1,A,
374-U1523E-1H-1-A,79,86,0.79,0.86,,,,,,,,,,,,,,,undulating or wavy boundary or contact [BJ80],bioturbated,,,,,374,U1523,E,1,H,1,A,
374-U1523E-1H-1-A,79,150,0.79,1.5,,,,,lamination,,,,,,,,,,,,,,,,374,U1523,E,1,H,1,A,
374-U1523E-1H-1-A,88,150,0.88,1.5,diatom bearing,interbedded sand(stone) and mud(stone) [McKW53],,diatom bearing interbedded sand(stone) and mud(stone),,,moderate [DB86],2,,,,,,lonestone,,,Lonestone at 140 and 150 cm.,,,,374,U1523,E,1,H,1,A,
374-U1523E-1H-1-A,100,137,1,1.37,,,,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,374,U1523,E,1,H,1,A,
374-U1523E-1H-1-A,110,150,1.1,1.5,,,,,,,,,,,,,,mud clast,,,,,,,374,U1523,E,1,H,1,A,
374-U1523E-1H-1-A,137,150,1.37,1.5,,,,,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,,374,U1523,E,1,H,1,A,
374-U1523E-1H-2-A,0,24,1.5,1.74,diatom bearing,interbedded sand(stone) and mud(stone) [McKW53],,diatom bearing interbedded sand(stone) and mud(stone),,,moderate [DB86],2,,,,,,lonestone,,,Lonestone at 2-5 cm.,,,,374,U1523,E,1,H,2,A,
374-U1523E-1H-2-A,0,28,1.5,1.78,,,,,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,,374,U1523,E,1,H,2,A,
374-U1523E-1H-2-A,24,32,1.74,1.82,foraminifer bearing,clast-poor sandy diamict [M89m],,foraminifer bearing clast-poor sandy diamict,,,moderate [DB86],2,,,,,,,,,,,,,374,U1523,E,1,H,2,A,
374-U1523E-1H-2-A,28,32,1.78,1.82,,,,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,,,,,,374,U1523,E,1,H,2,A,
