Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,Lithology classification,Lithology Prefix,Lithology Suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,Unnamed: 23,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
320-U1334C-2H-5-A,320,U1334,C,2,2-5,H,5,A,8,150,15.04,16.46,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,50,soft,10YR 3/3,,,,,,
320-U1334C-2H-6-A,320,U1334,C,2,2-6,H,6,A,0,150,16.46,17.96,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,50,soft,10YR 4/2,,,,,,
320-U1334C-2H-6-A,320,U1334,C,2,2-6,H,6,A,0,150,16.46,17.96,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,50,soft,10YR 3/3,,,,,,
320-U1334C-2H-7-A,320,U1334,C,2,2-7,H,7,A,0,56,17.96,18.52,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,50,soft,10YR 4/2,,,,,,
320-U1334C-2H-7-A,320,U1334,C,2,2-7,H,7,A,0,56,17.96,18.52,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,50,soft,10YR 3/3,,,,,,
320-U1334C-2H-CC-A,320,U1334,C,2,2-CC,H,CC,A,0,15,18.52,18.67,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,50,soft,10YR 4/2,,,,,,
320-U1334C-2H-CC-A,320,U1334,C,2,2-CC,H,CC,A,0,15,18.52,18.67,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,50,soft,10YR 3/3,,,,,,
320-U1334C-3H-1-A,320,U1334,C,3,3-1,H,1,A,0,80,19.0,19.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,50,soft,10YR 4/3,,,,,,
320-U1334C-3H-1-A,320,U1334,C,3,3-1,H,1,A,0,80,19.0,19.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,50,soft,10YR 3/3,,,,,,
320-U1334C-3H-2-A,320,U1334,C,3,3-2,H,2,A,0,150,19.8,21.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,50,soft,10YR 4/3,,,,,,
320-U1334C-3H-2-A,320,U1334,C,3,3-2,H,2,A,0,150,19.8,21.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,50,soft,10YR 3/3,,,,,,
320-U1334C-3H-3-A,320,U1334,C,3,3-3,H,3,A,0,80,21.3,22.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey nannofossil,with radiolarians,Clayey nannofossil ooze with radiolarians,50,soft,10YR 4/3,,,,,,
320-U1334C-3H-3-A,320,U1334,C,3,3-3,H,3,A,0,80,21.3,22.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,50,soft,10YR 3/3,,,,,,
320-U1334C-3H-3-A,320,U1334,C,3,3-3,H,3,A,80,150,22.1,22.8,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,30,soft,10YR 3/3,,,,,,
320-U1334C-3H-3-A,320,U1334,C,3,3-3,H,3,A,80,150,22.1,22.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 7/3,"Pumice (0.5 cm) in section 4, 138 cm ",,,,,
320-U1334C-3H-4-A,320,U1334,C,3,3-4,H,4,A,0,150,22.8,24.3,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,30,soft,10YR 3/3,,,,,,
320-U1334C-3H-4-A,320,U1334,C,3,3-4,H,4,A,0,150,22.8,24.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 7/3,"Pumice (0.5 cm) in section 4, 138 cm ",,,,,
320-U1334C-3H-5-A,320,U1334,C,3,3-5,H,5,A,0,150,24.3,25.8,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,30,soft,10YR 3/3,,,,,,
320-U1334C-3H-5-A,320,U1334,C,3,3-5,H,5,A,0,150,24.3,25.8,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 7/3,"Pumice (0.5 cm) in section 4, 138 cm ",,,,,
320-U1334C-3H-6-A,320,U1334,C,3,3-6,H,6,A,0,150,25.8,27.3,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,30,soft,10YR 3/3,,,,,,
320-U1334C-3H-6-A,320,U1334,C,3,3-6,H,6,A,0,150,25.8,27.3,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 7/3,"Pumice (0.5 cm) in section 4, 138 cm ",,,,,
320-U1334C-3H-7-A,320,U1334,C,3,3-7,H,7,A,0,65,27.3,27.95,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,30,soft,10YR 3/3,,,,,,
320-U1334C-3H-7-A,320,U1334,C,3,3-7,H,7,A,0,65,27.3,27.95,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 7/3,"Pumice (0.5 cm) in section 4, 138 cm ",,,,,
320-U1334C-3H-CC-A,320,U1334,C,3,3-CC,H,CC,A,0,13,27.95,28.08,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,30,soft,10YR 3/3,,,,,,
320-U1334C-3H-CC-A,320,U1334,C,3,3-CC,H,CC,A,0,13,27.95,28.08,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 7/3,"Pumice (0.5 cm) in section 4, 138 cm ",,,,,
320-U1334C-4H-1-A,320,U1334,C,4,4-1,H,1,A,0,150,28.5,30.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,60,soft,10YR 3/3,,,,,,
320-U1334C-4H-1-A,320,U1334,C,4,4-1,H,1,A,0,150,28.5,30.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 7/3,,,,,,
320-U1334C-4H-2-A,320,U1334,C,4,4-2,H,2,A,0,150,30.0,31.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,60,soft,10YR 3/3,,,,,,
320-U1334C-4H-2-A,320,U1334,C,4,4-2,H,2,A,0,150,30.0,31.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 7/3,,,,,,
320-U1334C-4H-3-A,320,U1334,C,4,4-3,H,3,A,0,150,31.5,33.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,60,soft,10YR 3/3,,,,,,
320-U1334C-4H-3-A,320,U1334,C,4,4-3,H,3,A,0,150,31.5,33.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 7/3,,,,,,
320-U1334C-4H-4-A,320,U1334,C,4,4-4,H,4,A,0,150,33.0,34.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,60,soft,10YR 3/3,,,,,,
320-U1334C-4H-4-A,320,U1334,C,4,4-4,H,4,A,0,150,33.0,34.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 7/3,,,,,,
320-U1334C-4H-5-A,320,U1334,C,4,4-5,H,5,A,0,150,34.5,36.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,60,soft,10YR 3/3,,,,,,
320-U1334C-4H-5-A,320,U1334,C,4,4-5,H,5,A,0,150,34.5,36.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 7/3,,,,,,
320-U1334C-4H-6-A,320,U1334,C,4,4-6,H,6,A,0,150,36.0,37.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,60,soft,10YR 3/3,,,,,,
320-U1334C-4H-6-A,320,U1334,C,4,4-6,H,6,A,0,150,36.0,37.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 7/3,,,,,,
320-U1334C-4H-7-A,320,U1334,C,4,4-7,H,7,A,0,56,37.5,38.06,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,60,soft,10YR 3/3,,,,,,
320-U1334C-4H-7-A,320,U1334,C,4,4-7,H,7,A,0,56,37.5,38.06,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 7/3,,,,,,
320-U1334C-4H-CC-A,320,U1334,C,4,4-CC,H,CC,A,0,22,38.06,38.28,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,60,soft,10YR 3/3,,,,,,
320-U1334C-4H-CC-A,320,U1334,C,4,4-CC,H,CC,A,0,22,38.06,38.28,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,40,soft,10YR 7/3,,,,,,
320-U1334C-5H-1-A,320,U1334,C,5,5-1,H,1,A,0,65,38.0,38.65,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Clayey radiolarian,with nannofossils,Clayey radiolarian ooze with nannofossils,60,soft,10YR 4/3,,,,,,
320-U1334C-5H-1-A,320,U1334,C,5,5-1,H,1,A,0,65,38.0,38.65,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians and clay,Nannofossil ooze with radiolarians and clay,40,soft,10YR 7/2,,,,,,
320-U1334C-5H-1-A,320,U1334,C,5,5-1,H,1,A,65,150,38.65,39.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/2,,,,,,
320-U1334C-5H-1-A,320,U1334,C,5,5-1,H,1,A,65,150,38.65,39.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,Black streaks in very pale brown nannofossil ooze,,,,,
320-U1334C-5H-2-A,320,U1334,C,5,5-2,H,2,A,0,150,39.5,41.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/2,,,,,,
320-U1334C-5H-2-A,320,U1334,C,5,5-2,H,2,A,0,150,39.5,41.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,Black streaks in very pale brown nannofossil ooze,,,,,
320-U1334C-5H-3-A,320,U1334,C,5,5-3,H,3,A,0,150,41.0,42.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/2,,,,,,
320-U1334C-5H-3-A,320,U1334,C,5,5-3,H,3,A,0,150,41.0,42.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,Black streaks in very pale brown nannofossil ooze,,,,,
320-U1334C-5H-4-A,320,U1334,C,5,5-4,H,4,A,0,150,42.5,44.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/2,,,,,,
320-U1334C-5H-4-A,320,U1334,C,5,5-4,H,4,A,0,150,42.5,44.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,70,soft,10YR 8/2,Black streaks in very pale brown nannofossil ooze,,,,,
320-U1334C-5H-5-A,320,U1334,C,5,5-5,H,5,A,0,150,44.0,45.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,30,soft,10YR 7/2,,,,,,
