Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
341-U1418D-2H-1-A,0,150,3,4.5,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],3,,,,,,,,,,"green color bands (2mm to 1cm thick);
sand patches: 15-21(N 3), 67-68, 135-138 (N 3)cm",,,,,,341,U1418,D,2,H,1,A,,,,
341-U1418D-2H-2-A,0,25,4.5,4.75,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"thinly laminated clay @ 14, 15, 20, 24cm",gradational contact,,,,,341,U1418,D,2,H,2,A,,,,
341-U1418D-2H-2-A,25,150,4.75,6,,mud [Leg210],,mud ,,,color banding,10Y 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,"gray color bands (2mm to 4 cm thick);
thinly laminated silt @ 66, 72cm (likley more but too much drilling disturbance)",,,,,,341,U1418,D,2,H,2,A,,,,
341-U1418D-2H-3-A,0,65,6,6.65,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"green color bands (2mm to 2cm thick);
sparse thin laminae, likely silt, but too much drilling disturbance",gradational contact,,,,,341,U1418,D,2,H,3,A,,,,
341-U1418D-2H-3-A,65,99,6.65,6.99,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"~15 silt beds, thinly laminated, @ 1mm to 5cm intervals;
green color bands (2mm to 2cm thick);
",gradational contact,,,,,341,U1418,D,2,H,3,A,,,,
341-U1418D-2H-3-A,99,150,6.99,7.5,,mud [Leg210],,mud ,,,color banding,10Y 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,"gray color bands (mm to 2cm thick);
silt @ 143, 148 cm",,,,,,341,U1418,D,2,H,3,A,,,,
341-U1418D-2H-4-A,0,95,7.5,8.45,,mud [Leg210],,mud ,,,,N 5 (gray),,,,,,,,,,,,,,faintly laminated N 5 with N 4,,,,,,341,U1418,D,2,H,4,A,,,,
341-U1418D-2H-4-A,95,150,8.45,9,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 5 (gray),,,,,,,,,,,,,,"14 silt laminae, mud 6 cm or less;",,,,,,341,U1418,D,2,H,4,A,,,,
341-U1418D-2H-5-A,0,150,9,10.5,calcareous bearing,mud [Leg210],with silt [Leg339],calcareous bearing mud  with silt ,,,,N 5 (gray),,,,,,,,,,,,,,faintly laminated N 5 with N 4; 4 silt laminae,,,,,,341,U1418,D,2,H,5,A,,,,
341-U1418D-2H-6-A,0,118,10.5,11.68,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 5 (gray),,,,,,,,,,,,,,"13 silt laminae, mud 16 cm or less; faintly laminated N 5 with N 4",,,,,,341,U1418,D,2,H,6,A,,,,
341-U1418D-2H-7-A,0,64,11.68,12.32,,mud [Leg210],,mud ,,,,N 5 (gray),,,,,,,,,,,,,,faintly laminated N 5 with N 4,,,,,,341,U1418,D,2,H,7,A,,,,
341-U1418D-2H-CC-A,0,7,12.32,12.39,,mud [Leg210],,mud ,,,,N 5 (gray),,,,,,,,,,,,,,,,,,,,341,U1418,D,2,H,CC,A,,,,
341-U1418D-2H-CC-A,7,12,12.39,12.44,,mud [Leg210],,mud ,,,,N 5 (gray),,,,,,,,,,,,,,,,,,,,341,U1418,D,2,H,CC,A,,,,
341-U1418D-3H-1-A,0,150,12.5,14,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 5 (gray),,,present [A79],1,,,,,granule [W22_2],subrounded,,,,"39 silt laminae, mud 8 cm or less; faintly laminated N 5 with N 4; 1 clast granule, argillite, at 143 cm",,,,,,341,U1418,D,3,H,1,A,,,,
341-U1418D-3H-2-A,0,150,14,15.5,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 5 (gray),,,,,,,,,,,,,,"33 silt laminae, mud 8 cm or less; faintly laminated N 5 with N 4",,,,,,341,U1418,D,3,H,2,A,,,,
341-U1418D-3H-3-A,0,150,15.5,17,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 5 (gray),,,,,,,,,,,,,,"19 silt laminae, mud 9 cm or less; faintly laminated N 5 with N 4",,,,,,341,U1418,D,3,H,3,A,,,,
341-U1418D-3H-4-A,0,51,17,17.51,,mud [Leg210],,mud ,,,,N 5 (gray),,,,,,,,,,,,,,,,,,,,341,U1418,D,3,H,4,A,,,,
341-U1418D-3H-4-A,51,53,17.51,17.53,,silt [Leg210],,silt ,,,normal grading,5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,,,,341,U1418,D,3,H,4,A,,,,
341-U1418D-3H-4-A,53,150,17.53,18.5,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 5 (gray),,,,,,,,,,,,,,"21 silt laminae, mud 20 cm or less; faintly laminated N 5 with N 4",,,,,,341,U1418,D,3,H,4,A,,,,
341-U1418D-3H-5-A,0,95,18.5,19.45,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,,,,,,"green color bands (mm to 3cm thick);
thin silt laminae @ 37, 48, 83, 93cm with patches between",gradational contact,,,,,341,U1418,D,3,H,5,A,,,,
341-U1418D-3H-5-A,95,150,19.45,20,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],2,,,,,,,,,,"green color bands (mm to 3cm thick);
thin silt lamination @137cm",,,,,,341,U1418,D,3,H,5,A,,,,
341-U1418D-3H-6-A,0,71,20,20.71,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,green color bands (mm to 1cm thick),gradational contact,,,,,341,U1418,D,3,H,6,A,,,,
341-U1418D-3H-6-A,71,125,20.71,21.25,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"green color bands (mm to 1cm thick);
thin silt laminae @ 72, 99, 100, 111cm",,,,,,341,U1418,D,3,H,6,A,,,,
341-U1418D-3H-7-A,0,70,21.25,21.95,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"green color bands (mm to 1cm thick);
thin silt laminae @ 20, 37, 42, 55, 64cm;",,,,,,341,U1418,D,3,H,7,A,,,,
341-U1418D-3H-CC-A,0,14,21.95,22.09,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,341,U1418,D,3,H,CC,A,,,,
341-U1418D-3H-CC-A,14,19,22.09,22.14,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,D,3,H,CC,A,,,,
341-U1418D-4H-1-A,0,27,22,22.27,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,faintly laminated N 4 with N 5,,,,,,341,U1418,D,4,H,1,A,,,,
341-U1418D-4H-1-A,27,111,22.27,23.11,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,"29 silt laminae, mud 5 cm or less; faintly laminated N 4 with 10Y 4/1",,,,,,341,U1418,D,4,H,1,A,,,,
341-U1418D-4H-1-A,111,150,23.11,23.5,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,5 silt laminae,,,,,,341,U1418,D,4,H,1,A,,,,
341-U1418D-4H-2-A,0,32,23.5,23.82,,mud [Leg210],,mud ,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,massive mud; 11 silt laminae; faintly laminated 10Y 4/1 with N 4,,,,,,341,U1418,D,4,H,2,A,,,,
341-U1418D-4H-2-A,32,78,23.82,24.28,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,11 silt laminae; faintly laminated 10Y 4/1 with N 4,,,,,,341,U1418,D,4,H,2,A,,,,
341-U1418D-4H-2-A,78,150,24.28,25,diatom rich,mud [Leg210],,mud ,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,"massive mud; faintly laminated 10Y 4/1 with N 4 and black (N 2.5; FeO), often mottled",,,,,,341,U1418,D,4,H,2,A,,,,
341-U1418D-4H-3-A,0,77,25,25.77,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,"massive mud; black (FeO) mottles, few; faintly laminated, a few N 4 laminae in a 10Y 4/1 matrix",,,,,,341,U1418,D,4,H,3,A,,,,
341-U1418D-4H-3-A,77,150,25.77,26.5,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,massive mud,,,,,,341,U1418,D,4,H,3,A,,,,
341-U1418D-4H-4-A,0,66,26.5,27.16,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"thin laminated silt @ 11, 20, 41, 64cm and patches;
might have been more beds but too much drilling disturbance",gradational contact,,,,,341,U1418,D,4,H,4,A,,,,
341-U1418D-4H-4-A,66,150,27.16,28,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,341,U1418,D,4,H,4,A,,,,
341-U1418D-4H-5-A,0,150,28,29.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"drilling disturbed silt @ 26, 105, 107, 110cm",,,,,,341,U1418,D,4,H,5,A,,,,
341-U1418D-4H-6-A,0,71,29.5,30.21,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"bands of black mottling @28, 44, 69cm;
thin laminae of silt @51, 56, 67cm",gradational contact,,,,,341,U1418,D,4,H,6,A,,,,
341-U1418D-4H-6-A,71,135,30.21,30.85,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,extensive black mottling,,,,,,341,U1418,D,4,H,6,A,,,,
341-U1418D-4H-CC-A,0,19,30.85,31.04,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,present [A79],1,,,,,,,,,,black mottling,,,,,,341,U1418,D,4,H,CC,A,,,,
341-U1418D-4H-CC-A,19,24,31.04,31.09,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1418,D,4,H,CC,A,,,,
341-U1418D-5H-1-A,0,56,31.5,32.06,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,present [A79],1,,,,,pebble [W22_2],subangular,,,,"0-16cm: black mottling;
29-31cm: sandstone clast;
51-52cm: black band",gradational contact,,,,,341,U1418,D,5,H,1,A,,,,
341-U1418D-5H-1-A,56,150,32.06,33,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"sparse black mottling (bands @ 110, 121, 144cm);
green color bands (mm to 2cm thick);
~8 silt laminae",,,,,,341,U1418,D,5,H,1,A,,,,
341-U1418D-5H-2-A,0,28,33,33.28,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,10 thin laminated silt,gradational contact,,,,,341,U1418,D,5,H,2,A,,,,
341-U1418D-5H-2-A,28,39,33.28,33.39,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,extensive black mottling,gradational contact,,,,,341,U1418,D,5,H,2,A,,,,
341-U1418D-5H-2-A,39,150,33.39,34.5,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,5Y 4/1 (dark gray),none [DB86],0,present [A79],1,,,,,,,,,,"green and gray color bands (~1cm);
thin laminated silt @ 57, 97, 138, 140cm",,,,,,341,U1418,D,5,H,2,A,,,,
341-U1418D-5H-3-A,0,61,34.5,35.11,,mud [Leg210],with silt [Leg339],mud  with silt ,,,color banding,5Y 4/1 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"green color bands (mm to 2cm thick);
silt @ 21, 27, 54cm",gradational contact,,,,,341,U1418,D,5,H,3,A,,,,
341-U1418D-5H-3-A,61,116,35.11,35.66,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,color banding,5Y 4/1 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"~12 thinly laminated to laminated silt, some N 5, some normally graded, mud up to 10 cm thick, ;
77-80: disturbed sand",,,,,,341,U1418,D,5,H,3,A,,,,
341-U1418D-5H-3-A,116,150,35.66,36,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,341,U1418,D,5,H,3,A,,,,
341-U1418D-5H-4-A,0,52,36,36.52,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,gradational contact,,,,,341,U1418,D,5,H,4,A,,,,
341-U1418D-5H-4-A,52,57,36.52,36.57,,sand [Leg210],,sand ,,,normal grading,N 3 (very dark gray),none [DB86],0,absent [A79],,,,,,,,,,,medium sand,,irregular,,,,341,U1418,D,5,H,4,A,,,,
341-U1418D-5H-4-A,57,91,36.57,36.91,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"silt laminae @ 74, 80,82cm",gradational contact,,,,,341,U1418,D,5,H,4,A,,,,
