Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
354-U1449B-1H-1-A,50,60,0.5,0.6,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,bioturbated,,,,,,,mottling [BJ80],,,,,,,,354,U1449,B,1,H,1,A,
354-U1449B-1H-1-A,70,80,0.7,0.8,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,bioturbated,,,,,,,mottling [BJ80],,,,,,,,354,U1449,B,1,H,1,A,
354-U1449B-1H-1-A,90,100,0.9,1,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,bioturbated,,,,,,,mottling [BJ80],,,,,,,,354,U1449,B,1,H,1,A,
354-U1449B-1H-1-A,110,120,1.1,1.2,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,bioturbated,,,,,,,mottling [BJ80],,,,,,,,354,U1449,B,1,H,1,A,
354-U1449B-1H-1-A,130,140,1.3,1.4,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,bioturbated,,,,,,,mottling [BJ80],,,,,,,,354,U1449,B,1,H,1,A,
354-U1449B-1H-2-A,0,20,1.5,1.7,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,bioturbated,,,,,,,mottling [BJ80],,,,,,,,354,U1449,B,1,H,2,A,
354-U1449B-1H-2-A,0,20,1.5,1.7,,,,,,,,,,,,,,,,,burrows,,,,,,,,354,U1449,B,1,H,2,A,
354-U1449B-1H-2-A,20,40,1.7,1.9,,,volcanic ash [MMK88],,volcanic ash,volcanic ash,volcanic ash,,light brown,,,,,,,,,,,,,,,,354,U1449,B,1,H,2,A,
354-U1449B-1H-2-A,50,65,2,2.15,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,gradational,,,,,,,,,,,,,,,354,U1449,B,1,H,2,A,
354-U1449B-1H-2-A,65,90,2.15,2.4,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,,,mottling [BJ80],,,,,,,,354,U1449,B,1,H,2,A,
354-U1449B-1H-2-A,65,90,2.15,2.4,,,,,,,,,,,,,,,,,burrows,,,,,,,,354,U1449,B,1,H,2,A,
354-U1449B-1H-2-A,100,140,2.5,2.9,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,,,,,,,,mottling [BJ80],,,,,,,,354,U1449,B,1,H,2,A,
354-U1449B-1H-2-A,100,140,2.5,2.9,,,,,,,,,,,,,,,,,burrows,,,,,,,,354,U1449,B,1,H,2,A,
354-U1449B-1H-3-A,0,4,3,3.04,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,,,,,,,,mottling [BJ80],Greenish colored layers,,,,,,,354,U1449,B,1,H,3,A,
354-U1449B-1H-3-A,4,40,3.04,3.4,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,greenish gray,,,,,,,,mottling [BJ80],,,,,,,,354,U1449,B,1,H,3,A,
354-U1449B-1H-3-A,4,40,3.04,3.4,,,,,,,,,,,,,,,,,burrows,,,,,,,,354,U1449,B,1,H,3,A,
354-U1449B-1H-3-A,50,90,3.5,3.9,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,greenish gray,,,,,,,,mottling [BJ80],Greenish colored layers,,,,,,,354,U1449,B,1,H,3,A,
354-U1449B-1H-3-A,50,90,3.5,3.9,,,,,,,,,,,,,,,,,burrows,,,,,,,,354,U1449,B,1,H,3,A,
354-U1449B-1H-3-A,100,140,4,4.4,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,greenish gray,,,,,,,,mottling [BJ80],Greenish colored layers,,,,,,,354,U1449,B,1,H,3,A,
354-U1449B-1H-3-A,100,140,4,4.4,,,,,,,,,,,,,,,,,burrows,,,,,,,,354,U1449,B,1,H,3,A,
354-U1449B-1H-4-A,0,22,4.5,4.72,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,greenish gray,bioturbated,,,,,,,mottling [BJ80],,,,,,,,354,U1449,B,1,H,4,A,
354-U1449B-1H-4-A,0,22,4.5,4.72,,,,,,,,,,,,,,,,,burrows,,,,,,,,354,U1449,B,1,H,4,A,
354-U1449B-1H-4-A,22,40,4.72,4.9,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,,,,,,,,mottling [BJ80],,,,,,,,354,U1449,B,1,H,4,A,
