Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
363-U1482A-1H-1-A,0,5,0,0.05,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,10YR 5/3 (brown),slight [DB86],,,,,,These should be clay bearing,,,,,,,,,,,,,363,U1482,A,1,H,1,A,
363-U1482A-1H-1-A,5,11,0.05,0.11,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,10YR 7/3 (very pale brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1482,A,1,H,1,A,
363-U1482A-1H-1-A,11,145,0.11,1.45,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 7/1 (light gray),moderate [DB86],,pteropod,,,,,,,,,,,,,,,,,363,U1482,A,1,H,1,A,
363-U1482A-1H-2-A,0,47,1.5,1.97,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 6/1 (gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,A,1,H,2,A,
363-U1482A-1H-2-A,47,134,1.97,2.84,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 7/1 (light gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1482,A,1,H,2,A,
363-U1482A-1H-CC-A,0,9,2.84,2.93,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 6/1 (gray),,,,,,,,,,,,,,,,,,,,363,U1482,A,1,H,CC,A,
363-U1482A-2H-1-A,0,58,2.9,3.48,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 7/1 (light gray),moderate [DB86],,pteropod,,,,,,,,,,,,,,,,,363,U1482,A,2,H,1,A,
363-U1482A-2H-1-A,58,150,3.48,4.4,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 6/1 (gray),none [DB86],,pteropod,,,,,,,,,,,,,,,,,363,U1482,A,2,H,1,A,
363-U1482A-2H-2-A,0,31,4.4,4.71,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 7/1 (light gray),complete [DB86],,,,,,,,,,,,,,,,,,,363,U1482,A,2,H,2,A,
363-U1482A-2H-2-A,31,130,4.71,5.7,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 7/1 (light gray),moderate [DB86],,pteropod,,,,,,,,,,,,,,,,,363,U1482,A,2,H,2,A,
363-U1482A-2H-2-A,130,150,5.7,5.9,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 5/1 (gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1482,A,2,H,2,A,
363-U1482A-2H-3-A,0,38,5.9,6.28,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 6/1 (gray),heavy [DB86],,pteropod,,,,,,,,,,,,,,,,,363,U1482,A,2,H,3,A,
363-U1482A-2H-3-A,38,42,6.28,6.32,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 7/1 (light gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1482,A,2,H,3,A,
363-U1482A-2H-3-A,42,98,6.32,6.88,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 6/1 (gray),moderate [DB86],,pteropod,,,,,,,,,,,,,,,,,363,U1482,A,2,H,3,A,
363-U1482A-2H-3-A,98,145,6.88,7.35,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 7/1 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1482,A,2,H,3,A,
363-U1482A-2H-4-A,0,30,7.4,7.7,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 7/1 (light gray),moderate [DB86],,pteropod,,,,,,,,,,,,,,,,,363,U1482,A,2,H,4,A,
363-U1482A-2H-4-A,30,150,7.7,8.9,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,2.5Y 6/1 (gray),heavy [DB86],,,,,,,,,,,,,,,,,,,363,U1482,A,2,H,4,A,
363-U1482A-2H-5-A,0,150,8.9,10.4,clay-bearing foraminiferal-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminiferal-rich nannofossil ooze,,5Y 6/1 (gray),moderate [DB86],,pteropod,,,,,,,,,,,,,,,,,363,U1482,A,2,H,5,A,
363-U1482A-2H-6-A,0,92,10.4,11.32,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 6/1 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1482,A,2,H,6,A,
363-U1482A-2H-6-A,92,103,11.32,11.43,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 5/1 (gray),heavy [DB86],,pteropod,,,,,,,,,,,,,,,,,363,U1482,A,2,H,6,A,
363-U1482A-2H-7-A,0,78,11.45,12.23,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 5/1 (gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1482,A,2,H,7,A,
363-U1482A-2H-7-A,78,108,12.23,12.53,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,10GY 6/1 (greenish gray),moderate [DB86],,pteropod,,,,,,,,,,,,,,,,,363,U1482,A,2,H,7,A,
363-U1482A-2H-CC-A,0,17,12.53,12.7,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,10GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1482,A,2,H,CC,A,
363-U1482A-3H-1-A,0,18,12.4,12.58,,nannofossil ooze [Leg339],nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,pteropod,,,,,,,,,,,,,,,,,363,U1482,A,3,H,1,A,
363-U1482A-3H-1-A,18,150,12.58,13.9,,nannofossil ooze [Leg339],nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1482,A,3,H,1,A,
363-U1482A-3H-2-A,0,24,13.9,14.14,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,pteropod,,,,,,,,,,,,,,,,,363,U1482,A,3,H,2,A,
363-U1482A-3H-2-A,24,150,14.14,15.4,,nannofossil ooze [Leg339],nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1482,A,3,H,2,A,
363-U1482A-3H-3-A,0,25,15.4,15.65,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,pteropod,,,,,,,,,,,,,,,,,363,U1482,A,3,H,3,A,
363-U1482A-3H-3-A,25,53,15.65,15.93,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1482,A,3,H,3,A,
363-U1482A-3H-3-A,53,145,15.93,16.85,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,5Y 6/1 (gray),heavy [DB86],,pteropod,,,,,,,,,,,,,,,,,363,U1482,A,3,H,3,A,
