Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
317-U1353B-1H-1-A,317,U1353,B,1,1-1,H,1,A,0,150,0.0,1.5,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,
317-U1353B-1H-2-A,317,U1353,B,1,1-2,H,2,A,0,26,1.5,1.76,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,
317-U1353B-1H-2-A,317,U1353,B,1,1-2,H,2,A,26,150,1.76,3.0,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,
317-U1353B-1H-3-A,317,U1353,B,1,1-3,H,3,A,0,50,3.0,3.5,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,
317-U1353B-1H-3-A,317,U1353,B,1,1-3,H,3,A,0,150,3.0,4.5,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-1H-4-A,317,U1353,B,1,1-4,H,4,A,0,150,4.5,6.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-1H-5-A,317,U1353,B,1,1-5,H,5,A,0,100,6.0,7.0,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-1H-6-A,317,U1353,B,1,1-6,H,6,A,0,10,7.0,7.1,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-1H-6-A,317,U1353,B,1,1-6,H,6,A,10,70,7.1,7.7,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,
317-U1353B-1H-CC-A,317,U1353,B,1,1-CC,H,CC,A,0,23,7.7,7.93,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,,,
317-U1353B-2H-1-A,317,U1353,B,2,2-1,H,1,A,0,45,8.0,8.45,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,,,
317-U1353B-2H-1-A,317,U1353,B,2,2-1,H,1,A,45,80,8.45,8.8,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,,,
317-U1353B-2H-1-A,317,U1353,B,2,2-1,H,1,A,80,97,8.8,8.97,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,,,
