Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File data,Extra Sample ID Data
339-U1387A-1H-1-A,339,U1387,A,1,1-1,H,1,A,0,20,0,0.2,,silty mud [Leg339],with biogenic carbonate [Leg339],silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,5Y 4/1 (dark gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 [DB91],3,few [A48],,Shell fragments.,100,100,,
339-U1387A-1H-1-A,339,U1387,A,1,1-1,H,1,A,20,150,0.2,1.5,,silty mud [Leg339],with biogenic carbonate [Leg339],silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,5Y 4/1 (dark gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,sparse_339 [DB91],2,common [A48],,Scaphopod at 87 cm; shell fragments elsewhere.,100,100,,
339-U1387A-1H-2-A,339,U1387,A,1,1-2,H,2,A,0,53,1.5,2.03,,silty mud [Leg339],with biogenic carbonate [Leg339],silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,5Y 4/1 (dark gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,sparse_339 [DB91],2,common [A48],,Shell fragments.,100,100,,
339-U1387A-1H-2-A,339,U1387,A,1,1-2,H,2,A,53,77,2.03,2.27,,sandy silt [Leg339],with biogenic carbonate [Leg339],sandy silt ,sandy silt  with biogenic carbonate ,sandy silt   with biogenic carbonate ,100,5Y 4/1 (dark gray),fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,,100,irregular contact,,,,,,sparse_339 [DB91],2,common [A48],,"Lower contact is highly irregular; possible combination of scouring, loading, and bioturbation. Shell fragments.",100,100,,
339-U1387A-1H-2-A,339,U1387,A,1,1-2,H,2,A,77,125,2.27,2.75,,silty mud [Leg339],with biogenic carbonate [Leg339],silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,5Y 4/1 (dark gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,sparse_339 [DB91],2,rare [A48],,Shell fragments.,100,100,,
339-U1387A-1H-2-A,339,U1387,A,1,1-2,H,2,A,125,138,2.75,2.88,,silty mud [Leg339],with biogenic carbonate [Leg339],silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,5Y 4/1 (dark gray),clay [W22_1],1,medium sand [W22_2],5,,,,,,,,,,,,,100,irregular contact,,,,,,slight_339 [DB91],3,,,,100,100,,
339-U1387A-1H-2-A,339,U1387,A,1,1-2,H,2,A,138,150,2.88,3,,silty mud [Leg339],with biogenic carbonate [Leg339],silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,5Y 4/1 (dark gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,,,,,,,slight_339 [DB91],3,rare [A48],,Shell fragments,100,100,,
339-U1387A-1H-3-A,339,U1387,A,1,1-3,H,3,A,0,71,3,3.71,,silty mud [Leg339],with biogenic carbonate [Leg339],silty mud ,silty mud  with biogenic carbonate ,silty mud   with biogenic carbonate ,100,5Y 4/1 (dark gray),clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 [DB91],3,rare [A48],,Shell fragments,100,100,,
339-U1387A-1H-3-A,339,U1387,A,1,1-3,H,3,A,71,103,3.71,4.03,,sandy silt [Leg339],with biogenic carbonate [Leg339],sandy silt ,sandy silt  with biogenic carbonate ,sandy silt   with biogenic carbonate ,100,5Y 4/1 (dark gray),silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,sparse_339 [DB91],2,rare [A48],,Shell fragments.,100,100,,
339-U1387A-1H-4-A,339,U1387,A,1,1-4,H,4,A,0,75,4.03,4.78,,sandy silt [Leg339],with biogenic carbonate [Leg339],sandy silt ,sandy silt  with biogenic carbonate ,sandy silt   with biogenic carbonate ,100,5Y 4/1 (dark gray),silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,,100,,,,,,,sparse_339 [DB91],2,rare [A48],,Shell fragments.,100,100,,
339-U1387A-1H-CC-A,339,U1387,A,1,1-CC,H,CC,A,0,29,4.78,5.07,,sandy silt [Leg339],with biogenic carbonate [Leg339],sandy silt ,sandy silt  with biogenic carbonate ,sandy silt   with biogenic carbonate ,100,5Y 4/1 (dark gray),silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,,100,contact not recovered,,,,,,sparse_339 [DB91],2,rare [A48],,Shell fragments.,100,100,,
339-U1387A-2H-1-A,339,U1387,A,2,2-1,H,1,A,0,150,5,6.5,,sandy silt [Leg339],with biogenic carbonate [Leg339],sandy silt ,sandy silt  with biogenic carbonate ,sandy silt   with biogenic carbonate ,100,2.5Y 4/1 (dark gray),silt [W22_1],2,very fine sand [W22_2],3,,,,,,,,,,,,,100,,,,,,,sparse_339 [DB91],2,few [A48],,Shell fragments (scaphopoda),100,100,,
339-U1387A-2H-2-A,339,U1387,A,2,2-2,H,2,A,0,21,6.5,6.71,,sandy silt [Leg339],with biogenic carbonate [Leg339],sandy silt ,sandy silt  with biogenic carbonate ,sandy silt   with biogenic carbonate ,100,2.5Y 4/1 (dark gray),silt [W22_1],2,very fine sand [W22_2],3,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,sparse_339 [DB91],2,few [A48],,Shell fragments (scaphopoda),100,100,,
339-U1387A-2H-2-A,339,U1387,A,2,2-2,H,2,A,21,42,6.71,6.92,nannofossil [Leg339],mud [Leg339],,nannofossil   mud ,nannofossil  mud ,mud ,100,10YR 4/1 (dark gray),clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,sparse_339 [DB91],2,few [A48],,Shell fragments (scaphopoda),100,100,,
339-U1387A-2H-2-A,339,U1387,A,2,2-2,H,2,A,42,94,6.92,7.44,,sandy silt [Leg339],with biogenic carbonate [Leg339],sandy silt ,sandy silt  with biogenic carbonate ,sandy silt   with biogenic carbonate ,100,2.5Y 4/1 (dark gray),silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,,100,sharp contact,,,,,,sparse_339 [DB91],2,few [A48],,A 1.5 cm thick sand layer at the bottom (turbidite?),100,100,,
