Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File data
339-U1386B-1H-1-A,339,U1386,B,1,1-1,H,1,A,0,26,0.0,0.26,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,sharp contact,,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1386B-1H-1-A,339,U1386,B,1,1-1,H,1,A,26,150,0.26,1.5,nannofossil ,mud ,,nannofossil   mud ,nannofossil  mud ,mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1386B-1H-2-A,339,U1386,B,1,1-2,H,2,A,0,87,1.5,2.37,nannofossil ,mud ,,nannofossil   mud ,nannofossil  mud ,mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1386B-1H-2-A,339,U1386,B,1,1-2,H,2,A,87,102,2.37,2.52,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1386B-1H-2-A,339,U1386,B,1,1-2,H,2,A,102,121,2.52,2.71,,silty sand ,with biogenic carbonate ,silty sand ,silty sand  with biogenic carbonate ,silty sand   with biogenic carbonate ,100,5Y 4/1 (dark gray),very fine sand ,3,medium sand ,5,,,,,,,,,,,,,100,irregular contact,,,,,,absent_339 ,1,rare ,,Shell fragments,100,100,
339-U1386B-1H-2-A,339,U1386,B,1,1-2,H,2,A,121,150,2.71,3.0,nannofossil ,mud ,,nannofossil   mud ,nannofossil  mud ,mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1386B-1H-3-A,339,U1386,B,1,1-3,H,3,A,0,59,3.0,3.59,nannofossil ,mud ,,nannofossil   mud ,nannofossil  mud ,mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1386B-1H-3-A,339,U1386,B,1,1-3,H,3,A,59,72,3.59,3.72,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,irregular contact,,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1386B-1H-3-A,339,U1386,B,1,1-3,H,3,A,72,78,3.72,3.78,nannofossil ,mud ,,nannofossil   mud ,nannofossil  mud ,mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1386B-1H-3-A,339,U1386,B,1,1-3,H,3,A,78,86,3.78,3.86,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,irregular contact,,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1386B-1H-3-A,339,U1386,B,1,1-3,H,3,A,86,150,3.86,4.5,nannofossil ,mud ,,nannofossil   mud ,nannofossil  mud ,mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1386B-1H-4-A,339,U1386,B,1,1-4,H,4,A,0,150,4.5,6.0,nannofossil ,mud ,,nannofossil   mud ,nannofossil  mud ,mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1386B-1H-5-A,339,U1386,B,1,1-5,H,5,A,0,105,6.0,7.05,nannofossil ,mud ,,nannofossil   mud ,nannofossil  mud ,mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1386B-1H-CC-A,339,U1386,B,1,1-CC,H,CC,A,0,27,7.05,7.32,nannofossil ,mud ,,nannofossil   mud ,nannofossil  mud ,mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,contact not recovered,,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1386B-2H-1-A,339,U1386,B,2,2-1,H,1,A,0,16,7.3,7.46,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,irregular contact,massive ,,,,,absent_339 ,1,rare ,,,100,100,
339-U1386B-2H-1-A,339,U1386,B,2,2-1,H,1,A,16,150,7.46,8.8,nannofossil ,mud ,,nannofossil   mud ,nannofossil  mud ,mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,massive ,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1386B-2H-2-A,339,U1386,B,2,2-2,H,2,A,0,120,8.8,10.0,nannofossil ,mud ,,nannofossil   mud ,nannofossil  mud ,mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,gradational contact,massive ,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
339-U1386B-2H-2-A,339,U1386,B,2,2-2,H,2,A,120,143,10.0,10.23,calcareous ,silty mud ,,calcareous   silty mud ,calcareous  silty mud ,silty mud ,100,5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,irregular contact,massive ,,,,,sparse_339 ,2,rare ,,Shell fragments,100,100,
