Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
363-U1485B-1H-1-A,0,101.0,0.0,1.01,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,1,H,1,A,,,,
363-U1485B-1H-2-A,0,79.0,1.01,1.8,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,1,H,2,A,,,,
363-U1485B-1H-CC-A,0,15.0,1.8,1.95,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,1,H,CC,A,,,,
363-U1485B-2H-1-A,0,150.0,1.9,3.4,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,1,A,,,,
363-U1485B-2H-2-A,0,150.0,3.4,4.9,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,2,A,,,,
363-U1485B-2H-3-A,0,150.0,4.9,6.4,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,3,A,,,,
363-U1485B-2H-4-A,0,141.0,6.4,7.81,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,4,A,,,,
363-U1485B-2H-5-A,0,56.0,7.81,8.37,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,5,A,,,,
363-U1485B-2H-5-A,56,58.0,8.37,8.39,,silty sand [S54],silty sand,,10GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,5,A,,,,
363-U1485B-2H-5-A,58,74.0,8.39,8.55,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,5,A,,,,
363-U1485B-2H-5-A,74,79.0,8.55,8.6,,silty sand [S54],silty sand,,10GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,5,A,,,,
363-U1485B-2H-5-A,79,99.0,8.6,8.8,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,5,A,,,,
363-U1485B-2H-5-A,99,104.0,8.8,8.85,,silty sand [S54],silty sand,,10GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,5,A,,,,
363-U1485B-2H-5-A,104,108.0,8.85,8.89,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,5,A,,,,
363-U1485B-2H-5-A,108,112.0,8.89,8.93,,silty sand [S54],silty sand,,10GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,5,A,,,,
363-U1485B-2H-5-A,112,117.0,8.93,8.98,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,5,A,,,,
363-U1485B-2H-5-A,117,121.0,8.98,9.02,,silty sand [S54],silty sand,,10GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,5,A,,,,
363-U1485B-2H-5-A,121,126.0,9.02,9.07,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,5,A,,,,
363-U1485B-2H-5-A,126,129.0,9.07,9.1,,silty sand [S54],silty sand,,10GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,5,A,,,,
363-U1485B-2H-5-A,129,132.0,9.1,9.13,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,5,A,,,,
363-U1485B-2H-5-A,132,137.0,9.13,9.18,,silty sand [S54],silty sand,,10GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,5,A,,,,
363-U1485B-2H-5-A,137,141.0,9.18,9.22,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,5,A,,,,
363-U1485B-2H-6-A,0,15.0,9.22,9.37,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,6,A,,,,
363-U1485B-2H-6-A,15,18.0,9.37,9.4,,silty sand [S54],silty sand,,10GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,6,A,,,,
363-U1485B-2H-6-A,18,53.0,9.4,9.75,nannofossil-bearing [X363],clay [Leg210],nannofossil-bearing clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,6,A,,,,
363-U1485B-2H-6-A,53,62.0,9.75,9.84,,silty sand [S54],silty sand,,10GY 2.5/1 (greenish black),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1485,B,2,H,6,A,,,,
