Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology prefix,Principal lithology,Lithology suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,Unnamed: 24
317-U1354C-2H-1-A,317,U1354,C,2,2-1,H,1,A,0,45,65.0,65.45,,Marl [Leg210],,Marl,,,,,Leg 210,"micaceous, homogeneous v.f. sandy marl; partly mottled with mud color (5GY 4/1)",,
317-U1354C-2H-1-A,317,U1354,C,2,2-1,H,1,A,45,150,65.45,66.5,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision","micaceous, homogeneous marly v.f. sand.",,
317-U1354C-2H-2-A,317,U1354,C,2,2-2,H,2,A,0,20,66.5,66.7,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision","micaceous, homogeneous marly v.f. sand.",,
317-U1354C-2H-2-A,317,U1354,C,2,2-2,H,2,A,20,150,66.7,68.0,,Marl [Leg210],,Marl,,,,,Leg 210,"v.f. sandy marl; micaceous, homogeneous, color-mottled, coarsens-up & sandier-up from the bottom.  ",,
317-U1354C-2H-3-A,317,U1354,C,2,2-3,H,3,A,0,150,68.0,69.5,,Marl [Leg210],,Marl,,,,,Leg 210,"micaceous, homogeneous marl (silty); mottled,  with a few v.f. sand.",,
317-U1354C-2H-4-A,317,U1354,C,2,2-4,H,4,A,0,110,69.5,70.6,,Marl [Leg210],,Marl,,,,,Leg 210,"micaceous, homogeneous marl (silty); mottled,  with a few v.f. sand.",,
317-U1354C-2H-4-A,317,U1354,C,2,2-4,H,4,A,110,150,70.6,71.0,,Marl [Leg210],,Marl,,,,,Leg 210,v.f. sandy marl,,
317-U1354C-2H-5-A,317,U1354,C,2,2-5,H,5,A,0,133,71.0,72.33,,Marl [Leg210],,Marl,,,,,Leg 210,v.f. sandy marl,,
317-U1354C-2H-CC-A,317,U1354,C,2,2-CC,H,CC,A,0,21,72.34,72.55,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision","marly, shelly f. sand; homogeneous with abundant shell fragments. ",,
317-U1354C-3H-1-A,317,U1354,C,3,3-1,H,1,A,0,49,72.5,72.99,,Mud [S54-Leg210],,Mud,,soupy,,,"Shepard, 1954 - Leg 210 revision",Mud with a few percent v f sand,,
317-U1354C-3H-2-A,317,U1354,C,3,3-2,H,2,A,14,66,73.14,73.66,,Mud [S54-Leg210],,Mud,,soft,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354C-3H-2-A,317,U1354,C,3,3-2,H,2,A,66,129,73.66,74.29,,Marl [Leg210],,Marl,,soft,,,Leg 210,Shelly sandy marl,,
317-U1354C-3H-3-A,317,U1354,C,3,3-3,H,3,A,0,66,74.29,74.95,,Marl [Leg210],,Marl,,soft,,,Leg 210,Shelly sandy marl,,
317-U1354C-3H-3-A,317,U1354,C,3,3-3,H,3,A,66,111,74.95,75.4,,Medium-coarse sand [S54-W22],,Medium-coarse sand,,soft,,,"Shepard, 1954; Wentworth, 1922",poorly sorted v f to medium mostly f shelly sand.,,
317-U1354C-3H-3-A,317,U1354,C,3,3-3,H,3,A,111,150,75.4,75.79,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
