Label ID,Exp,Site,Hole,Core,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Color(name),Prefix,Principal lithology,Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Dominant grain size rank,Clastic grain roundness,Lithification,Lithology comments,File Data
330-U1374A-1R-1-A,330,U1374,A,1,R,1,A,0,132,0,1.32,brownish yellow,sandy foraminiferal,ooze [MMK88],,sandy foraminiferal ooze,,medium sand [U14W22],4,,unlithified,,
330-U1374A-1R-1-A,330,U1374,A,1,R,1,A,132,144,1.32,1.44,dark yellowish brown,sandy foraminiferal,ooze [MMK88],,sandy foraminiferal ooze,,medium sand [U14W22],4,,unlithified,,
330-U1374A-1R-1-A,330,U1374,A,1,R,1,A,144,150,1.44,1.5,brownish yellow,sandy foraminiferal,ooze [MMK88],,sandy foraminiferal ooze,,medium sand [U14W22],4,,unlithified,,
330-U1374A-1R-2-A,330,U1374,A,1,R,2,A,0,150,1.5,3,brownish yellow,sandy foraminiferal,ooze [MMK88],,sandy foraminiferal ooze,,medium sand [U14W22],4,,unlithified,,
330-U1374A-1R-3-A,330,U1374,A,1,R,3,A,0,150,3,4.5,brownish yellow,sandy foraminiferal,ooze [MMK88],,sandy foraminiferal ooze,,medium sand [U14W22],4,,unlithified,,
330-U1374A-1R-4-A,330,U1374,A,1,R,4,A,0,150,4.5,6,brownish yellow,sandy foraminiferal,ooze [MMK88],,sandy foraminiferal ooze,,medium sand [U14W22],4,,unlithified,,
330-U1374A-1R-5-A,330,U1374,A,1,R,5,A,0,49,6,6.49,brownish yellow,sandy foraminiferal,ooze [MMK88],,sandy foraminiferal ooze,,medium sand [U14W22],4,,unlithified,,
330-U1374A-1R-5-A,330,U1374,A,1,R,5,A,49,63.5,6.49,6.635,brown,pumiceous,gravel [USGS-F54],,pumiceous gravel,,pebble [U14W22],5,subangular[330],unlithified,,
330-U1374A-1R-5-A,330,U1374,A,1,R,5,A,63.5,71,6.635,6.71,multicolor,volcanic,Sandstone [MMK88],,volcanic Sandstone,,pebble [U14W22],5,angular[330],lithified,"Mn encrustment at top; 1R-6, 48.5-55 poorly consolidated; ",
330-U1374A-1R-6-A,330,U1374,A,1,R,6,A,0,55,6.71,7.26,multicolor,volcanic,Sandstone [MMK88],,volcanic Sandstone,,pebble [U14W22],5,angular[330],lithified,"Mn encrustment at top; 1R-6, 48.5-55 poorly consolidated; ",
330-U1374A-2R-1-A,330,U1374,A,2,R,1,A,0,112,9.6,10.72,multicolor,volcanic,Sandstone [MMK88],,volcanic Sandstone,,pebble [U14W22],5,angular[330],lithified,"Mn encrustment at top; 1R-6, 48.5-55 poorly consolidated; ",
330-U1374A-2R-2-A,330,U1374,A,2,R,2,A,0,136,10.72,12.08,multicolor,volcanic,Sandstone [MMK88],,volcanic Sandstone,,pebble [U14W22],5,angular[330],lithified,"Mn encrustment at top; 1R-6, 48.5-55 poorly consolidated; ",
330-U1374A-2R-3-A,330,U1374,A,2,R,3,A,0,135,12.08,13.43,multicolor,volcanic,Sandstone [MMK88],,volcanic Sandstone,,pebble [U14W22],5,angular[330],lithified,"Mn encrustment at top; 1R-6, 48.5-55 poorly consolidated; ",
330-U1374A-2R-4-A,330,U1374,A,2,R,4,A,0,15.5,13.43,13.585,multicolor,volcanic,Sandstone [MMK88],,volcanic Sandstone,,pebble [U14W22],5,angular[330],lithified,"Mn encrustment at top; 1R-6, 48.5-55 poorly consolidated; ",
330-U1374A-2R-4-A,330,U1374,A,2,R,4,A,15.5,35,13.585,13.78,multicolor,volcanic,Sandstone [MMK88],,volcanic Sandstone,,granule [U14W22],,,lithified,cobble size intraclasts; bivalve and gastropod; bioturbated ; with foraminifer containing micrite,
330-U1374A-2R-4-A,330,U1374,A,2,R,4,A,15.5,35,13.585,13.78,,,,,,,,5,very angular[330],,,
330-U1374A-2R-4-A,330,U1374,A,2,R,4,A,35,92,13.78,14.35,multicolor,volcanic,Sandstone [MMK88],,volcanic Sandstone,,granule [U14W22],5,very angular[330],lithified,"ammonite fragments, bioturbated",
330-U1374A-3R-1-A,330,U1374,A,3,R,1,A,0,64.5,14.4,15.045,multicolor,volcanic,Sandstone [MMK88],,volcanic Sandstone,,granule [U14W22],5,very angular[330],lithified,"ammonite fragments, bioturbated",
330-U1374A-3R-1-A,330,U1374,A,3,R,1,A,64.5,91,15.045,15.31,yellow,foraminiferal,limestone [MMK88],,foraminiferal limestone,,pebble [U14W22],5,very angular (Default),lithified,multi generation of Mn encrustments; many bivalve fragments,
