Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
341-U1418B-1H-1-A,0.0,3.0,0.0,0.03,diatom rich,mud [Leg210],,diatom rich mud ,,,,10YR 3/2 (very dark grayish brown),,,,,,,,,,,,,,,,,,,,341,U1418,B,1,H,1,A,,,
341-U1418B-1H-1-A,3.0,145.0,0.03,1.45,diatom rich,mud [Leg210],,diatom rich mud ,,,color banding,N 5 (gray),,,,,,,,,,,,,,colour banding light grey (N 5) - dark grey (N 4),,,,,,341,U1418,B,1,H,1,A,,,
341-U1418B-1H-2-A,0.0,34.0,1.5,1.84,diatom rich,mud [Leg210],,diatom rich mud ,,,color banding,N 5 (gray),,,,,,,,,,,,,,colour banding light grey (N 5) - dark grey (N 4),,,,,,341,U1418,B,1,H,2,A,,,
341-U1418B-1H-2-A,34.0,150.0,1.84,3.0,diatom rich,mud [Leg210],,diatom rich mud ,,,,5Y 5/2 (olive gray),,,,,,,,,,,,,,"at bottom of section black patches, FeO",,,,,,341,U1418,B,1,H,2,A,,,
341-U1418B-1H-3-A,0.0,77.5,3.0,3.775,,mud [Leg210],,mud ,,,,5Y 5/2 (olive gray),,,present [A79],1.0,,,,,pebble [W22_2],subrounded,,,,argillite clast 1.5 cm at 67 cm,,,,,,341,U1418,B,1,H,3,A,,,
341-U1418B-1H-3-A,77.5,84.0,3.775,3.84,,silt [Leg210],,silt ,,,normal grading,,,,,,,,,,,,,,,,,,,,,341,U1418,B,1,H,3,A,,,
341-U1418B-1H-3-A,84.0,115.0,3.84,4.15,,mud [Leg210],,mud ,,,,5Y 5/2 (olive gray),,,present [A79],1.0,,,,,pebble [W22_2],subrounded,,,,sandstone clast 3 cm at 93 cm,,,,,,341,U1418,B,1,H,3,A,,,
341-U1418B-1H-3-A,115.0,145.0,4.15,4.45,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,colour banding light grey (N 4) - dark grey (N 2.5),,,,,,341,U1418,B,1,H,3,A,,,
341-U1418B-1H-3-A,145.0,150.0,4.45,4.5,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1418,B,1,H,3,A,,,
341-U1418B-1H-4-A,0.0,20.0,4.5,4.7,,mud [Leg210],,mud ,,,,N 4 (dark gray),none [DB86],0.0,present [A79],1.0,pebble [W22_2],subangular,,,,,,,,11-14cm: yellow basalt clast,,,,,,341,U1418,B,1,H,4,A,,,
