Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
359-U1471A-1H-1-W,0,128,0,1.28,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifer, spines and pteropods are common. Organic matter are present.",,,,359,U1471,A,1,H,1,W,
359-U1471A-1H-2-A,0,138,1.28,2.66,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifera, spines, otoliths and pteropods are common. Organic matter are present. Coarser horizons at 39-40, 95-94, 126-127",,,,359,U1471,A,1,H,2,A,
359-U1471A-1H-3-A,0,101,2.71,3.72,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifera, spines, otoliths and pteropods are common. Organic matter are present.",,,,359,U1471,A,1,H,3,A,
359-U1471A-1H-4-A,0,70,3.72,4.42,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifera, spines, otoliths and pteropods are common. Organic matter are present.",,,,359,U1471,A,1,H,4,A,
359-U1471A-1H-CC-A,0,15,4.42,4.57,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 4/2 (dark grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,pteropod,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifera, spines, otoliths and pteropods are common. Organic matter are present.",,,,359,U1471,A,1,H,CC,A,
359-U1471A-2H-1-A,0,100,4.6,5.6,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 4/2 (dark grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifera, echinoid spines, mollusk fragments, otoliths and pteropods are common. Organic matter is present. Black infill in some foraminifera.",,,,359,U1471,A,2,H,1,A,
359-U1471A-2H-1-A,100,150,5.6,6.1,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifera, echinoid spines, mollusk fragments, otoliths and pteropods are common. Organic matter is present. Black infill in some foraminifera.",,,,359,U1471,A,2,H,1,A,
359-U1471A-2H-2-A,0,150,6.1,7.6,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifera, echinoid spines, mollusk fragments, otoliths and pteropods are common. Organic matter is present. Black infill in some foraminifera.",,,,359,U1471,A,2,H,2,A,
359-U1471A-2H-3-A,0,150,7.6,9.1,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifera, echinoid spines, mollusk fragments, otoliths and pteropods are common. Organic matter is present. Black infill in some foraminifera.",,,,359,U1471,A,2,H,3,A,
359-U1471A-2H-4-A,0,72,9.1,9.82,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,shell fragment,,,,,,,,complete,6,,,,"Planktic foraminifera-rich PACKSTONE. Fine- to medium-grained, grayish brown. Planktic foraminifer are abundant. Benthic foraminifera, echinoid spines, mollusk fragments, otoliths and pteropods are common. Organic matter is present. Black infill in some foraminifera.",,,,359,U1471,A,2,H,4,A,
