Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
375-U1526B-1H-1-A,0,140,0,1.4,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud with bands of darker green and scattered layers of foraminifer-rich silt. Ash layers at 95 and 124 cm. Top 10 cm is brown mud.,,,,375,U1526,B,1,H,1,A,,,,
375-U1526B-1H-2-A,0,140,1.5,2.9,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mud with bands of darker green and scattered layers of foraminifer-rich silt. Dark gray silt layers at 41, 90, and 102 cm.",,,,375,U1526,B,1,H,2,A,,,,
375-U1526B-1H-3-A,0,140,3.01,4.41,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud with bands of darker green and scattered layers of foraminifer-rich silt. Ash layer at 118 cm.,,,,375,U1526,B,1,H,3,A,,,,
375-U1526B-1H-4-A,0,110,4.51,5.61,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud with bands of darker green and scattered layers of foraminifer-rich silt.,,,,375,U1526,B,1,H,4,A,,,,
375-U1526B-2H-1-A,0,149,5.8,7.29,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud with bands of darker green and scattered layers of foraminifer-rich silt. Section is soupy for the most part.,,,,375,U1526,B,2,H,1,A,,,,
375-U1526B-2H-2-A,0,140,7.29,8.69,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mud with bands of darker green and scattered layers of foraminifer-rich silt. Gray ash pods at 33, 100 and 120 cm.",,,,375,U1526,B,2,H,2,A,,,,
375-U1526B-2H-3-A,0,150,8.79,10.29,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mud with bands of darker green and scattered layers of foraminifer-rich silt. Ash layers at 86, 103, 127 cm whitish to pink in color. Scattered ash pods at 56 cm.",,,,375,U1526,B,2,H,3,A,,,,
375-U1526B-2H-4-A,0,140,10.29,11.69,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mud with bands of darker green and scattered layers of foraminifer-rich silt. Ash pods at 14, 16 cm. Ash layer at 122 cm.",,,,375,U1526,B,2,H,4,A,,,,
375-U1526B-2H-5-A,0,150,11.79,13.29,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud with bands of darker green and scattered layers of foraminifer-rich silt.,,,,375,U1526,B,2,H,5,A,,,,
375-U1526B-2H-6-A,0,91,13.29,14.2,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud with bands of darker green and scattered layers of foraminifer-rich silt. Ash layer at 89 cm.,,,,375,U1526,B,2,H,6,A,,,,
375-U1526B-3H-1-A,0,151,15.3,16.81,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud. Section is soupy.,,,,375,U1526,B,3,H,1,A,,,,
375-U1526B-3H-2-A,0,140,16.81,18.21,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mud with bands of darker green and scattered layers of foraminifer-rich silt. Section is soupy until 42 cm. Ash layers at 66, 91, 108 cm. Ash pods at 48, 50, 94 cm.",,,,375,U1526,B,3,H,2,A,,,,
375-U1526B-3H-3-A,0,150,18.31,19.81,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud with bands of darker green and scattered layers of foraminifer-rich silt. Layers of concentrated ash pods between 46-48 cm and ash layer at 128-139 cm.,,,,375,U1526,B,3,H,3,A,,,,
375-U1526B-3H-4-A,0,150,19.81,21.31,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mud with bands of darker green and scattered layers of foraminifer-rich silt. Black ash pods at 46, 64 cm. Ash layer from 147 to end of section(continues on next section).",,,,375,U1526,B,3,H,4,A,,,,
375-U1526B-3H-5-A,0,140,21.31,22.71,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Greenish gray mud with bands of darker green and scattered layers of foraminifer-rich silt. Ash layer from previous section at 0-4 cm interval. Other ash layers at 11, 54 cm. Ash pods at 17, 47, 85 cm.",,,,375,U1526,B,3,H,5,A,,,,
375-U1526B-3H-6-A,0,109,22.81,23.9,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud with bands of darker green and scattered layers of foraminifer-rich silt.,,,,375,U1526,B,3,H,6,A,,,,
375-U1526B-3H-CC-A,0,21,23.9,24.11,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud with bands of darker green and scattered layers of foraminifer-rich silt.,,,,375,U1526,B,3,H,CC,A,,,,
375-U1526B-4H-1-A,0,140,24.8,26.2,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud. Section is soupy but some scattered ash pods or dismembered ash layers are visible.,,,,375,U1526,B,4,H,1,A,,,,
375-U1526B-4H-2-A,0,27,26.3,26.57,,,mud [USGS],,mud,mud,mud,5GY 5/1 (greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray mud. Section is soupy. Dispersed are dismemebered layers of the ooze below in section.,,,,375,U1526,B,4,H,2,A,,,,
375-U1526B-4H-2-A,27,149,26.57,27.79,,calcareous,mud [USGS],,calcareous mud,calcareous mud,mud,7.5YR 8/2 (pinkish white),,,,,,consolidated,,,,,,,,,,,,,,"Light green calcareous mudstone, rich in nannofossils, with ash pod at 65 cm.",,,,375,U1526,B,4,H,2,A,,,,
375-U1526B-4H-3-A,0,91,27.79,28.7,,calcareous,mud [USGS],,calcareous mud,calcareous mud,mud,7.5YR 8/2 (pinkish white),,,,,,consolidated,,,,,,,,,,,,,,"Light green calcareous mudstone, rich in nannofossils,",,,,375,U1526,B,4,H,3,A,,,,
375-U1526B-4H-3-A,91,140,28.7,29.19,,nannofossil-rich,ooze [MMK88],with foraminifers,nannofossil-rich ooze,nannofossil-rich ooze with foraminifers,ooze with foraminifers,7.5YR 8/1 (white),,,,,,consolidated,,,,,,,,,,,,,,Light pink to whitish nannofossil-rich ooze. Two rounded clasts of white chalk at 103 and 125 cm.,,,,375,U1526,B,4,H,3,A,,,,
375-U1526B-4H-4-A,0,94,29.29,30.23,,nannofossil-rich,ooze [MMK88],with foraminifers,nannofossil-rich ooze,nannofossil-rich ooze with foraminifers,ooze with foraminifers,7.5YR 8/1 (white),,,,,,consolidated,,,,,,,,,,,,,,Light pink to whitish nannofossil-rich ooze.,,,,375,U1526,B,4,H,4,A,,,,
375-U1526B-4H-4-A,94,113,30.23,30.42,,,silt [S54],,silt,silt,silt,7.5YR 2.5/1 (black),,,,,,unconsolidated,,,,,,,,,,,,,,Black unconsolidated silt with 5 cm thick clast of layered concretion of manganese (possibly at the espenses of a basalt clast?),,,,375,U1526,B,4,H,4,A,,,,
