Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
355-U1456A-1H,0,454,0,4.54,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-U1456A-1H-1-A,0,28,0,0.28,,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,,,brown,10YR 7/3 (very pale brown),,,,,,,,,,,,,,,,,,,,,,irregular,,sub-horizontal,medium bedded,,,,,,,,,,,,
355-U1456A-1H-1-A,28,150,0.28,1.5,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,gray,10YR 6/1 (gray),,,,,,,,,,,,,,,,,,,,,,,,,thickly bedded,,,,,,,,shell,,,,
355-U1456A-1H-2-A,0,66,1.5,2.16,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light green,GLEY 1 6/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,planar,,horizontal,thickly bedded,,,,,,,,,,,,
355-U1456A-1H-2-A,66,76,2.16,2.26,,,calcareous ooze,with foraminifers,calcareous ooze with foraminifers,,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,planar,,horizontal,medium bedded,,,,,,,,,,,,
355-U1456A-1H-2-A,76,120,2.26,2.7,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,light green,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,gradational,,sub-horizontal,thickly bedded,normally graded,,,,,,,,,,,
355-U1456A-1H-2-A,120,136,2.7,2.86,,,calcareous ooze,with foraminifers,calcareous ooze with foraminifers,,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,planar,,horizontal,medium bedded,,,,,,,,,,,,
355-U1456A-1H-2-A,136,140,2.86,2.9,,foraminifer rich,nannofossil ooze,with clay,foraminifer rich nannofossil ooze with clay,,,dark gray,GLEY 1 7/5GY (light greenish grey),,,,,,,,,,,,,,,,,,,,,,,,,thickly bedded,,,,,,,,,,,,
355-U1456A-1H-3-A,0,35,3,3.35,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,light gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,gradational,,horizontal,thickly bedded,,,,,,,,,,,,
355-U1456A-1H-3-A,35,50,3.35,3.5,,,calcareous ooze,with foraminifers,calcareous ooze with foraminifers,,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,
