Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data
366-U1492B-1H-1-A,0,40,0,0.4,I,,,,irregular,gradational,horizontal,sandy,breccia-conglomerate,,sandy breccia-conglomerate,7.5YR 5/4 (brown),massive,unconsolidated,very coarse sand,7,pebble,9,,poor,,,,lithic,30,granule,8,pebble,9,angular,,,,,,,,,,,,Sandy silt,,,
366-U1492B-1H-1-A,40,49,0.4,0.49,IIA,,,,irregular,gradational,horizontal,serpentinite,pebbly mud,,serpentinite pebbly mud,10BG 6/1 (greenish gray),massive,unconsolidated,clay,1,granule,8,,poor,,,,lithic,10,granule,8,granule,8,angular,,,,,,,,,serpentine clay matrix,,,,,,
366-U1492B-1H-1-A,49,80,0.49,0.8,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,7.5YR 7/2 (pinkish gray),massive,unconsolidated,clay,1,pebble,9,,poor,,,,lithic,10,pebble,10,pebble,9,angular,,,,,,,,,serpentine clay matrix,,,Oxidized,,,
366-U1492B-1H-1-A,80,135,0.8,1.35,,,,,,,,,,,,,,,,,,,microbiology,poor,,,,,,,,,,,,,,,,,,,,,,,,,
366-U1492B-1H-2-A,0,58,1.35,1.93,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,7.5YR 6/3 (light brown),massive,consolidated,clay,1,pebble,9,,poor,,,concretion,lithic,5,granule,8,pebble,9,angular,,,,,,,,,serpentine clay matrix,,with aragonite crystals,radiating aragonite crystal concretions (acicular),,,
366-U1492B-1H-3-A,0,29,1.93,2.22,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,7.5YR 7/2 (pinkish gray),massive,consolidated,clay,1,pebble,9,,poor,,,concretion,lithic,5,granule,8,pebble,9,angular,,,,,,,,,serpentine clay matrix,,with aragonite crystals,radiating aragonite crystal concretions (acicular),,,
366-U1492B-1H-3-A,29,85,2.22,2.78,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,7.5YR 5/3 (brown),massive,consolidated,clay,1,pebble,9,,poor,,,,lithic,5,granule,8,pebble,9,angular,,,,,,,,,serpentine clay matrix,,with aragonite crystals,radiating aragonite crystal concretions (acicular),,,
366-U1492B-1H-3-A,85,100,2.78,2.93,,,,,,,,,,,,,,,,,,,microbiology,,,,,,,,,,,,,,,,,,,,,,,,,,
366-U1492B-1H-4-A,0,25,2.93,3.18,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,7.5YR 7/2 (pinkish gray),massive,consolidated,clay,1,pebble,9,,poor,,,,lithic,5,granule,8,pebble,9,angular,,,,,,,,,serpentine clay matrix,,with aragonite crystals,radiating aragonite crystal concretions (acicular),,,
366-U1492B-1H-4-A,25,67,3.18,3.6,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10Y 7/2 (pale green),massive,consolidated,clay,1,pebble,9,,poor,,,,lithic,5,granule,8,pebble,9,angular,,,,,,,,,serpentine clay matrix,,with aragonite crystals,radiating aragonite crystal concretions (acicular),,,
