Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
346-U1427C-1H-1-A,0.0,150.0,0.0,1.5,,clayey silt ,with nannofossils ,clayey silt  with nannofossils ,,,,,5Y 3/1 (very dark gray),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt   with nannofossils ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,C,1,H,1,A,
346-U1427C-1H-1-A,143.0,144.0,1.43,1.44,,,,,pumice,trace amount,1,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,C,1,H,1,A,
346-U1427C-1H-2-A,0.0,150.0,1.5,3.0,,clayey silt ,with nannofossils ,clayey silt  with nannofossils ,,,,structureless,5Y 3/1 (very dark gray),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt   with nannofossils ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,C,1,H,2,A,
346-U1427C-1H-3-A,0.0,150.0,3.0,4.5,,clayey silt ,with nannofossils ,clayey silt  with nannofossils ,,,,structureless,5Y 3/1 (very dark gray),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt   with nannofossils ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,C,1,H,3,A,
346-U1427C-1H-4-A,0.0,150.0,4.5,6.0,,clayey silt ,with diatoms ,clayey silt  with diatoms ,,,,structureless,5GY 5/1 (greenish gray),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt   with diatoms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,C,1,H,4,A,
346-U1427C-1H-5-A,0.0,53.0,6.0,6.53,,clayey silt ,,clayey silt ,,,,structureless,5GY 5/1 (greenish gray),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,C,1,H,5,A,
346-U1427C-1H-5-A,53.0,57.0,6.53,6.57,,tephra ,,tephra ,pumice,,,,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,C,1,H,5,A,
346-U1427C-1H-5-A,57.0,126.0,6.57,7.26,,clayey silt ,,clayey silt ,,,,structureless,5GY 5/1 (greenish gray),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,C,1,H,5,A,
346-U1427C-1H-6-A,0.0,64.0,7.26,7.9,,clayey silt ,,clayey silt ,,,,structureless,5GY 5/1 (greenish gray),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,C,1,H,6,A,
346-U1427C-1H-CC-A,0.0,15.0,7.9,8.05,,clayey silt ,,clayey silt ,,,,structureless,5GY 5/1 (greenish gray),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,C,1,H,CC,A,
