Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1423A-1H-1-A,0.0,4.0,0.0,0.04,diatom bearing,silty clay ,,diatom bearing silty clay ,,,,,5YR 4/4 (reddish brown),,,,,,,,,,,,,,,,,diatom bearing  silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1423,A,1,H,1,A
346-U1423A-1H-1-A,4.0,150.0,0.04,1.5,,silty clay ,,silty clay ,,,,,10YR 3/1 (very dark gray),heavy ,3,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1423,A,1,H,1,A
346-U1423A-1H-2-A,0.0,6.0,1.5,1.56,,silty clay ,,silty clay ,,,,,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1423,A,1,H,2,A
346-U1423A-1H-2-A,6.0,9.0,1.56,1.59,,silty clay ,,silty clay ,,,,lamination,N 2.5 (black),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1423,A,1,H,2,A
346-U1423A-1H-2-A,9.0,79.0,1.59,2.29,diatom bearing,silty clay ,with foraminifers ,diatom bearing silty clay  with foraminifers ,,,,bioturbation,5Y 5/1 (gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  silty clay ,silty clay   with foraminifers ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1423,A,1,H,2,A
346-U1423A-1H-2-A,69.0,70.0,2.19,2.2,,,,,scoria,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,1,H,2,A
346-U1423A-1H-2-A,76.0,77.0,2.26,2.27,,,,,scoria,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,1,H,2,A
346-U1423A-1H-2-A,79.0,89.0,2.29,2.39,,silty clay ,,silty clay ,,,,lamination,10Y 3/1 (very dark greenish gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,346,U1423,A,1,H,2,A
346-U1423A-1H-2-A,84.0,85.0,2.34,2.35,,,,,scoria,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,1,H,2,A
346-U1423A-1H-2-A,86.0,87.0,2.36,2.37,,,,,scoria,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1423,A,1,H,2,A
