Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
363-U1486B-1H-1-A,0,9,0.0,0.09,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10YR 6/4 (light yellowish brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,1,A
363-U1486B-1H-1-A,9,48,0.09,0.48,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10GY 7/1 (light greenish gray),moderate [DB86],,,,,,Pteropod at 22 cm,,,,,,,,,,,,,363,U1486,B,1,H,1,A
363-U1486B-1H-1-A,48,65,0.48,0.65,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,1,A
363-U1486B-1H-1-A,65,145,0.65,1.45,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,1,A
363-U1486B-1H-2-A,0,70,1.5,2.2,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,2,A
363-U1486B-1H-2-A,70,145,2.2,2.95,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,2,A
363-U1486B-1H-3-A,0,45,3.0,3.45,foraminifer-bearing [X363],nannofossil clay [X363],foraminifer-bearing nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,3,A
363-U1486B-1H-3-A,45,140,3.45,4.4,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,3,A
363-U1486B-1H-4-A,0,10,4.5,4.6,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,4,A
363-U1486B-1H-4-A,10,126,4.6,5.76,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,4,A
363-U1486B-1H-CC-A,0,18,5.76,5.94,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,CC,A
363-U1486B-2H-1-A,0,43,6.0,6.43,clay-bearing foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-bearing nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,1,A
363-U1486B-2H-1-A,43,54,6.43,6.54,,silty clay [S54],silty clay,,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,1,A
363-U1486B-2H-1-A,54,145,6.54,7.45,clay-rich foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-rich foraminifer-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,1,A
363-U1486B-2H-2-A,0,145,7.5,8.95,clay-rich foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-rich foraminifer-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,2,A
363-U1486B-2H-3-A,0,10,9.0,9.1,,ash(tuff) [MMK88m],ash(tuff),,5GY 5/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,3,A
363-U1486B-2H-3-A,10,40,9.1,9.4,clay-rich foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-rich foraminifer-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,3,A
363-U1486B-2H-3-A,40,102,9.4,10.02,clay-rich foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-rich foraminifer-bearing nannofossil ooze,,5G 8/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,3,A
363-U1486B-2H-3-A,102,140,10.02,10.4,clay-rich foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-rich foraminifer-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,3,A
363-U1486B-2H-4-A,0,60,10.5,11.1,clay-rich foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-rich foraminifer-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,4,A
363-U1486B-2H-4-A,60,150,11.1,12.0,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 5/1 (greenish gray),moderate [DB86],,,,,,Sea urchin 129 - 136 cm,,,,,,,,,,,,,363,U1486,B,2,H,4,A
363-U1486B-2H-5-A,0,145,12.0,13.45,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,5,A
363-U1486B-2H-6-A,0,64,13.5,14.14,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,6,A
363-U1486B-2H-6-A,64,140,14.14,14.9,clay-rich foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-rich foraminifer-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,6,A
363-U1486B-2H-7-A,0,15,15.0,15.15,clay-rich foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-rich foraminifer-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,7,A
363-U1486B-2H-7-A,15,22,15.15,15.22,,silty clay [S54],silty clay,,7.5YR 4/2 (brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,7,A
363-U1486B-2H-7-A,22,78,15.22,15.78,clay-rich foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-rich foraminifer-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,7,A
363-U1486B-2H-CC-A,0,22,15.78,16.0,clay-rich foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-rich foraminifer-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,CC,A
363-U1486B-3H-1-A,0,28,15.5,15.78,clay-rich foraminifer-bearing [X363],nannofossil ooze [Leg339],clay-rich foraminifer-bearing nannofossil ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,1,A
363-U1486B-3H-1-A,28,86,15.78,16.36,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,1,A
363-U1486B-3H-1-A,86,87,16.36,16.37,,ash(tuff) [MMK88m],ash(tuff),,7.5YR 4/2 (brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,1,A
363-U1486B-3H-1-A,87,145,16.37,16.95,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,1,A
363-U1486B-3H-2-A,0,47,17.0,17.47,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,2,A
363-U1486B-3H-2-A,47,49,17.47,17.49,,ash(tuff) [MMK88m],ash(tuff),,N 7 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,2,A
