Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
359-U1472A-20H-4-A,0,117,180.7,181.87,planktic foraminifer rich,PACKSTONE,3,planktic foraminifer rich PACKSTONE,partially lithified,3,2.5y 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich PACKSTONE. Fine-grained. Planktic foraminifera are abundant. Benthic foraminifera. Moderately- to poorly-sorted.,,,,359,U1472,A,20,H,4,A,,,,
359-U1472A-20H-4-A,117,139,181.87,182.09,planktic foraminifer rich,PACKSTONE,3,planktic foraminifer rich PACKSTONE,unlithified,1,2.5y 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,Unlithified planktic foraminifera-rich PACKSTONE to WACKESTONE. Fine-grained. Planktic foraminifera are abundant. Benthic foraminifera.,,,,359,U1472,A,20,H,4,A,,,,
359-U1472A-20H-5-A,0,150,182.2,183.7,planktic foraminifer rich,PACKSTONE,3,planktic foraminifer rich PACKSTONE,partially lithified,3,2.5y 7/2 (light gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera. Moderately- to poorly-sorted.,,,,359,U1472,A,20,H,5,A,,,,
359-U1472A-20H-6-A,0,96,183.7,184.66,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained. Planktic foraminifera are abundant. Benthic foraminifera. Moderately- to poorly-sorted.,,,,359,U1472,A,20,H,6,A,,,,
359-U1472A-20H-6-A,96,150,184.66,185.2,planktic foraminifer rich,PACKSTONE,3,planktic foraminifer rich PACKSTONE,partially lithified,3,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich PACKSTONE. Very fine-grained. Planktic foraminifera are abundant. Benthic foraminifera. Moderately- to poorly-sorted.,,,,359,U1472,A,20,H,6,A,,,,
359-U1472A-20H-7-A,0,67,185.2,185.87,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained. Planktic foraminifera are abundant. Benthic foraminifera. Moderately- to poorly-sorted.,,,,359,U1472,A,20,H,7,A,,,,
359-U1472A-20H-CC-A,0,9,185.87,185.96,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained. Planktic foraminifera are abundant. Benthic foraminifera. Moderately- to poorly-sorted.,,,,359,U1472,A,20,H,CC,A,,,,
359-U1472A-21H-1-A,0,74,185.7,186.44,planktic foraminifer rich,PACKSTONE,3,planktic foraminifer rich PACKSTONE,partially lithified,3,2.5y 8/1 (white),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,Partially lithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera. Overgrowth.,,,,359,U1472,A,21,H,1,A,,,,
359-U1472A-21H-1-A,74,150,186.44,187.2,planktic foraminifer rich,PACKSTONE,3,planktic foraminifer rich PACKSTONE,unlithified,1,2.5y 8/1 (white),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,,,,,,,complete,6.0,,,,Unlithified planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera.,,,,359,U1472,A,21,H,1,A,,,,
359-U1472A-21H-2-A,0,150,187.2,188.7,planktic foraminifer rich,PACKSTONE,3,planktic foraminifer rich PACKSTONE,unlithified,1,2.5y 9/1 (white),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,,,aggregate,,,,,,complete,6.0,,,,Unlithified to slightly indurated planktic foraminifera-rich PACKSTONE. Medium-grained. Planktic foraminifera are abundant. Benthic foraminifera and aggregates.,,,,359,U1472,A,21,H,2,A,,,,
