Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data,Extra Sample ID Data
342-U1406C-1H-1-A,342,U1406,C,1,1-1,H,1,A,0,150,0,1.5,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,10YR 6/3 (pale brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,,
342-U1406C-1H-2-A,342,U1406,C,1,1-2,H,2,A,0,11,1.5,1.61,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,7.5YR 6/4 (light brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,,
342-U1406C-1H-2-A,342,U1406,C,1,1-2,H,2,A,11,150,1.61,3,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,
342-U1406C-1H-3-A,342,U1406,C,1,1-3,H,3,A,0,150,3,4.5,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,
342-U1406C-1H-4-A,342,U1406,C,1,1-4,H,4,A,0,150,4.5,6,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,
342-U1406C-1H-5-A,342,U1406,C,1,1-5,H,5,A,0,150,6,7.5,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,
342-U1406C-1H-6-A,342,U1406,C,1,1-6,H,6,A,0,131,7.5,8.81,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,
342-U1406C-1H-7-A,342,U1406,C,1,1-7,H,7,A,0,60,8.81,9.41,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,
342-U1406C-1H-CC-A,342,U1406,C,1,1-CC,H,CC,A,,,9.41,9.46,clayey [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],clayey  nannofossil ooze  with foraminifers ,2.5Y 8/2 (pale yellow),,,,complete_339 [DB91],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,
342-U1406C-3H-1-A,342,U1406,C,3,3-1,H,1,A,7,150,12.4,13.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,2.5Y 8/2 (pale yellow),,,,heavy_339 [DB91],5,,fall-in at the top,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-3H-2-A,342,U1406,C,3,3-2,H,2,A,0,150,13.9,15.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,2.5Y 8/2 (pale yellow),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-3H-3-A,342,U1406,C,3,3-3,H,3,A,0,150,15.4,16.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,2.5Y 8/2 (pale yellow),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-3H-4-A,342,U1406,C,3,3-4,H,4,A,0,50,16.9,17.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,2.5Y 8/2 (pale yellow),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-3H-4-A,342,U1406,C,3,3-4,H,4,A,50,150,17.4,18.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-3H-5-A,342,U1406,C,3,3-5,H,5,A,0,150,18.4,19.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-3H-6-A,342,U1406,C,3,3-6,H,6,A,0,150,19.9,21.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-3H-7-A,342,U1406,C,3,3-7,H,7,A,0,68,21.4,22.08,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-3H-CC-A,342,U1406,C,3,3-CC,H,CC,A,0,21,22.08,22.34,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-4H-1-A,342,U1406,C,4,4-1,H,1,A,0,150,21.9,23.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-4H-1-A,342,U1406,C,4,4-1,H,1,A,100,125,22.9,23.15,,,,,,,mineral,sulfide,,,,fracture filled with monosulfide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406C-4H-2-A,342,U1406,C,4,4-2,H,2,A,0,150,23.4,24.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-4H-2-A,342,U1406,C,4,4-2,H,2,A,33,38,23.73,23.78,,,,,,,mineral,glauconite,,,,glauconite beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406C-4H-3-A,342,U1406,C,4,4-3,H,3,A,0,150,24.9,26.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-4H-4-A,342,U1406,C,4,4-4,H,4,A,0,150,26.4,27.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-4H-5-A,342,U1406,C,4,4-5,H,5,A,0,150,27.9,29.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-4H-6-A,342,U1406,C,4,4-6,H,6,A,0,150,29.4,30.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-4H-6-A,342,U1406,C,4,4-6,H,6,A,76,77,30.16,30.17,,,,,,,nodule,sulfide,,,,monosulfide bleb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406C-4H-6-A,342,U1406,C,4,4-6,H,6,A,93,100,30.33,30.4,,,,,,,nodule,glauconite,,,,glauconite nodule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406C-4H-7-A,342,U1406,C,4,4-7,H,7,A,0,63,30.9,31.53,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-4H-CC-A,342,U1406,C,4,4-CC,H,CC,A,0,15,31.53,31.73,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,10GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-5H-1-A,342,U1406,C,5,5-1,H,1,A,5,150,31.4,32.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-5H-2-A,342,U1406,C,5,5-2,H,2,A,0,150,32.9,34.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-5H-2-A,342,U1406,C,5,5-2,H,2,A,22,26,33.12,33.16,,,,,,,nodule,glauconite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1406C-5H-3-A,342,U1406,C,5,5-3,H,3,A,0,150,34.4,35.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-5H-4-A,342,U1406,C,5,5-4,H,4,A,0,150,35.9,37.4,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-5H-5-A,342,U1406,C,5,5-5,H,5,A,0,150,37.4,38.9,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1406C-5H-6-A,342,U1406,C,5,5-6,H,6,A,0,131,38.9,40.21,clayey [Leg339],nannofossil ooze [Leg339],,clayey  nannofossil ooze ,5GY 7/1 (light greenish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   nannofossil ooze ,nannofossil ooze ,,,,,,,
