Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Major prefix modifier before principal,Principal lithology name,Minor suffix modifier after principal,Lithology name,Lithology classification,Lithology (%),Grain Size max (mm),Lithification,Comment,File Data
329-U1366B-1H-1-A,329.0,U1366,B,1.0,1-1,H,1,A,0.0,150.0,0.0,1.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366B-1H-2-A,329.0,U1366,B,1.0,1-2,H,2,A,0.0,150.0,1.5,3.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366B-1H-3-A,329.0,U1366,B,1.0,1-3,H,3,A,0.0,140.0,3.0,4.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366B-1H-4-A,329.0,U1366,B,1.0,1-4,H,4,A,0.0,150.0,4.4,5.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366B-1H-5-A,329.0,U1366,B,1.0,1-5,H,5,A,0.0,53.0,5.9,6.43,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366B-1H-6-A,329.0,U1366,B,1.0,1-6,H,6,A,0.0,107.0,6.43,7.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366B-1H-CC-A,329.0,U1366,B,1.0,1-CC,H,CC,A,0.0,18.0,7.5,7.68,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366B-2H-1-A,329.0,U1366,B,2.0,2-1,H,1,A,0.0,150.0,7.7,9.2,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366B-2H-2-A,329.0,U1366,B,2.0,2-2,H,2,A,0.0,30.0,9.2,9.5,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366B-2H-2-A,329.0,U1366,B,2.0,2-2,H,2,A,30.0,70.0,9.5,9.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",50.0,,,,
329-U1366B-2H-2-A,329.0,U1366,B,2.0,2-2,H,2,A,70.0,150.0,9.9,10.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366B-2H-3-A,329.0,U1366,B,2.0,2-3,H,3,A,0.0,150.0,10.7,12.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366B-2H-4-A,329.0,U1366,B,2.0,2-4,H,4,A,0.0,150.0,12.2,13.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
329-U1366B-2H-5-A,329.0,U1366,B,2.0,2-5,H,5,A,0.0,150.0,13.7,15.2,,interlayered pelagic clay and porcellanite [Exp329],,interlayered pelagic clay and porcellanite,Expedition 329,,,,,
329-U1366B-2H-6-A,329.0,U1366,B,2.0,2-6,H,6,A,0.0,150.0,15.2,16.7,,interlayered pelagic clay and porcellanite [Exp329],,interlayered pelagic clay and porcellanite,Expedition 329,,,,,
329-U1366B-2H-7-A,329.0,U1366,B,2.0,2-7,H,7,A,0.0,35.0,16.7,17.05,,interlayered pelagic clay and porcellanite [Exp329],,interlayered pelagic clay and porcellanite,Expedition 329,,,,,
329-U1366B-2H-CC-A,329.0,U1366,B,2.0,2-CC,H,CC,A,0.0,17.0,17.05,17.22,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,
,,,,,,,,,,,,,,,,,,,,,,
