Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
363-U1489B-1H-1-A,0,32,0.0,0.32,foraminifer-bearing diatom-rich [X363],nannofossil clay [X363],foraminifer-bearing diatom-rich nannofossil clay,,7.5YR 5/3 (brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,1,A,,,,,
363-U1489B-1H-1-A,32,64,0.32,0.64,foraminifer-bearing diatom-rich [X363],nannofossil clay [X363],foraminifer-bearing diatom-rich nannofossil clay,,2.5Y 5/3 (light olive brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,1,A,,,,,
363-U1489B-1H-1-A,64,128,0.64,1.28,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,1,A,,,,,
363-U1489B-1H-1-A,128,146,1.28,1.46,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,1,A,,,,,
363-U1489B-1H-2-A,0,6,1.51,1.57,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,2,A,,,,,
363-U1489B-1H-2-A,6,37,1.57,1.88,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,2,A,,,,,
363-U1489B-1H-2-A,37,105,1.88,2.56,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,2,A,,,,,
363-U1489B-1H-2-A,105,128,2.56,2.79,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,2,A,,,,,
363-U1489B-1H-2-A,128,146,2.79,2.97,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,5Y 6/2 (light olive gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,2,A,,,,,
363-U1489B-1H-3-A,0,103,3.02,4.05,foraminifer-rich [X363],nannofossil clay [X363],foraminifer-rich nannofossil clay,,10Y 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,3,A,,,,,
363-U1489B-1H-3-A,103,128,4.05,4.3,clay-rich [X363],nannofossil ooze [Leg339],clay-rich nannofossil ooze,,10Y 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,3,A,,,,,
363-U1489B-1H-3-A,128,141,4.3,4.43,nannofossil-rich [X363],clay [Leg210],nannofossil-rich clay,,10Y 6/1 (greenish gray),slight [DB86],,,,,,,,,,,,,,,,,,,363,U1489,B,1,H,3,A,,,,,
