Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data,Extra Sample ID Data
342-U1404B-1H-1-A,342,U1404,B,1,1-1,H,1,A,0,54,0,0.54,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,10YR 8/2 (very pale brown),,,,,,,"Large igneous or metamorphic dropstones at the top (0 to 10 cm).  Top of the core is soupy (0-36 cm) and relatively consolidated from 36-54 cm, where a lithological and color changes is noted.  A large ?Mn-nodule (or possibly dropstone) occurs between 80-90 cm and mildly disturbs the surrounding sediment. 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1404B-1H-1-A,342,U1404,B,1,1-1,H,1,A,54,150,0.54,1.5,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,10YR 5/3 (brown),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1404B-1H-2-A,342,U1404,B,1,1-2,H,2,A,0,83,1.5,2.33,,nannofossil ooze [Leg339],,nannofossil ooze ,10YR 8/2 (very pale brown),,,,,,,Section 2 contains distinct flecks or possible sandstone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1404B-1H-CC-A,342,U1404,B,1,1-CC,H,CC,A,0,10,2.33,2.43,,nannofossil ooze [Leg339],,nannofossil ooze ,10YR 8/2 (very pale brown),,,,,,,A distinct yellowish brown colored ( 10YR 5/4) layer of possible ?sand is situated between 5 to 7 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1404B-2H-1-A,342,U1404,B,2,2-1,H,1,A,0,150,2.4,3.9,,clay [Leg339],with silt [Leg339],clay  with silt ,7.5YR 6/2 (pinkish gray),,nodule,manganese,moderate_339 [DB91],4,,"Mn concentrations from 7 to 15cm, 34-38cm, 92-104cm and at 140cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1404B-2H-2-A,342,U1404,B,2,2-2,H,2,A,0,150,3.9,5.4,,clay [Leg339],with silt [Leg339],clay  with silt ,7.5YR 6/2 (pinkish gray),,nodule,manganese,moderate_339 [DB91],4,,"Mn concentrations from 0-12cm, 30-41cm, and 112-121cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1404B-2H-3-A,342,U1404,B,2,2-3,H,3,A,0,150,5.4,6.9,,clay [Leg339],with silt [Leg339],clay  with silt ,7.5YR 6/2 (pinkish gray),,nodule,manganese,moderate_339 [DB91],4,,Nodule between 55 and 60cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1404B-2H-4-A,342,U1404,B,2,2-4,H,4,A,0,150,6.9,8.4,,clay [Leg339],with silt [Leg339],clay  with silt ,7.5YR 6/2 (pinkish gray),,nodule,manganese,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1404B-2H-5-A,342,U1404,B,2,2-5,H,5,A,0,150,8.4,9.9,,clay [Leg339],with silt [Leg339],clay  with silt ,7.5YR 6/2 (pinkish gray),,nodule,manganese,moderate_339 [DB91],4,,"Mn concentration 32-35cm, 45-48cm, 84-132cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1404B-2H-6-A,342,U1404,B,2,2-6,H,6,A,0,150,9.9,11.4,,clay [Leg339],with silt [Leg339],clay  with silt ,7.5YR 6/2 (pinkish gray),,nodule,manganese,moderate_339 [DB91],4,,"Mn concentration 17-31cm, 44-48cm, 54-59cm, 73-83cm, 99-111cm. One nodule at 63-65cm. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1404B-2H-7-A,342,U1404,B,2,2-7,H,7,A,0,66,11.4,12.06,,clay [Leg339],with silt [Leg339],clay  with silt ,7.5YR 6/2 (pinkish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1404B-2H-CC-A,342,U1404,B,2,2-CC,H,CC,A,0,19,12.06,12.3,,clay [Leg339],with silt [Leg339],clay  with silt ,7.5YR 6/2 (pinkish gray),,nodule,manganese,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay   with silt ,,,,,,,
342-U1404B-3H-1-A,342,U1404,B,3,3-1,H,1,A,47,150,11.9,13.4,,clay [Leg339],,clay ,5GY 5/1 (greenish gray),,nodule,manganese,moderate_339 [DB91],4,,There are 'fresh' Mn nodules in the top section of the core and green 'ghosts' of Mn nodules which appear to concentrate glauconite and chlorite. With a notably large one at 140 to 145cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1404B-3H-2-A,342,U1404,B,3,3-2,H,2,A,0,150,13.4,14.9,,clay [Leg339],,clay ,10Y 4/2 (grayish green),layering,,,moderate_339 [DB91],4,,Layering colors alternate between 5GY 5/1 (greenish grey) and 10Y 4/2 grayish green).,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1404B-3H-3-A,342,U1404,B,3,3-3,H,3,A,0,150,14.9,16.4,,clay [Leg339],,clay ,5GY 5/1 (greenish gray),layering,,,moderate_339 [DB91],4,,Layering colors alternate between 5GY 5/1 (greenish grey) and 10Y 4/2 grayish green).,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1404B-3H-4-A,342,U1404,B,3,3-4,H,4,A,0,150,16.4,17.9,,clay [Leg339],,clay ,10Y 4/2 (grayish green),layering,,,slight_339 [DB91],3,,Layering colors alternate between 5GY 5/1 (greenish grey) and 10Y 4/2 grayish green).,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1404B-3H-5-A,342,U1404,B,3,3-5,H,5,A,0,150,17.9,19.4,,clay [Leg339],,clay ,5GY 5/1 (greenish gray),layering,,,slight_339 [DB91],3,,Layering colors alternate between 5GY 5/1 (greenish grey) and 10Y 4/2 grayish green).,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1404B-3H-6-A,342,U1404,B,3,3-6,H,6,A,0,150,19.4,20.9,,clay [Leg339],,clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,Green nodules from 116-138cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1404B-3H-7-A,342,U1404,B,3,3-7,H,7,A,0,81,20.9,21.71,,clay [Leg339],,clay ,10GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,One green nodule at 3-5cm. The rest is uniform and mottled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1404B-3H-CC-A,342,U1404,B,3,3-CC,H,CC,A,0,20,21.71,21.96,,clay [Leg339],,clay ,10GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
342-U1404B-4H-1-A,342,U1404,B,4,4-1,H,1,A,0,150,21.4,22.9,,clay [Leg339],,clay ,5GY 5/1 (greenish gray),,,,moderate_339 [DB91],4,,"Disturbed, possible Methane Hydrate",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,
