Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
369-U1514C-2R-1-A,0,150,195.6,197.1,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10GY (light greenish grey),mottled,,,structureless,,clay,1,,,moderate,2,Parallel laminations are present at 16-25 cm.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1514,C,2,R,1,A,,,,
369-U1514C-2R-2-A,0,150,197.1,198.6,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10GY (light greenish grey),mottled,,,structureless,,clay,1,,,moderate,2,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1514,C,2,R,2,A,,,,
369-U1514C-2R-3-A,0,111,198.6,199.71,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10GY (light greenish grey),mottled,,,structureless,,clay,1,,,moderate,2,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1514,C,2,R,3,A,,,,
369-U1514C-2R-4-A,0,66,199.71,200.37,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10GY (light greenish grey),mottled,,,structureless,,clay,1,,,moderate,2,,uncertain boundary or contact,curved,sharp,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1514,C,2,R,4,A,,,,
369-U1514C-2R-4-A,66,81,200.37,200.52,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 5/N (gray),,parallel lamination,,,,clay,1,,,low,2,"Color banding is present from 66 cm to the bottom of the core (gray, beige, and green).",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1514,C,2,R,4,A,,,,
369-U1514C-2R-CC-A,0,16,200.52,200.68,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/10GY (light greenish grey),mottled,,,structureless,,clay,1,,,moderate,2,A pale brown infilled zoophycus burrow is present at 15 cm.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1514,C,2,R,CC,A,,,,
369-U1514C-3R-1-A,0,150,203.6,205.1,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/5GY (light greenish grey),mottled,,,structureless,,clay,1,,,moderate,2,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1514,C,3,R,1,A,,,,
369-U1514C-3R-2-A,0,150,205.1,206.6,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/5GY (light greenish grey),mottled,,,structureless,,clay,1,,,moderate,2,Black color band is present at 102 cm.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1514,C,3,R,2,A,,,,
369-U1514C-3R-3-A,0,150,206.6,208.1,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/5GY (light greenish grey),mottled,,,structureless,,clay,1,,,moderate,2,Zoophycus burrows are present between 58-74 cm.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1514,C,3,R,3,A,,,,
369-U1514C-3R-4-A,0,150,208.1,209.6,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/5GY (light greenish grey),mottled,,,structureless,,clay,1,,,moderate,2,Zoophycus burrows are present between 53-61 cm.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1514,C,3,R,4,A,,,,
369-U1514C-3R-5-A,0,150,209.6,211.1,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/5GY (light greenish grey),mottled,,,structureless,,clay,1,,,moderate,2,Zoophycus burrows are present between 10-21 cm.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1514,C,3,R,5,A,,,,
369-U1514C-3R-6-A,0,101,211.1,212.11,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/5GY (light greenish grey),mottled,,,structureless,,clay,1,,,moderate,2,Zoophycus burrows are present between 52-58 cm.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1514,C,3,R,6,A,,,,
369-U1514C-3R-7-A,0,57,212.11,212.68,,,,,clayey,nannofossil chalk,,clayey nannofossil chalk,,,GLEY 1 7/5GY (light greenish grey),mottled,,,structureless,,clay,1,,,moderate,2,Zoophycus burrows are present between 10-34 cm.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,369,U1514,C,3,R,7,A,,,,
