Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
366-U1493B-1F-1-A,0.0,59.0,0.0,0.59,IA,,,,,,,sandy,silt,with foraminifers,sandy silt with foraminifers,10YR 4/2 (dark grayish brown),,unconsolidated,silt,2,fine sand,4,,moderate,,,,,,,,,,,,,,,,,,,,,,abundant microfossils,,,,366,U1493,B,1,F,1,A
366-U1493B-1F-CC-A,0.0,9.0,0.59,0.68,IA,,,,,,,sandy,silt,with foraminifers,sandy silt with foraminifers,10YR 4/2 (dark grayish brown),,unconsolidated,silt,2,fine sand,4,,moderate,,,,,,,,,,,,,,,,,,,,,,abundant microfossils,,,,366,U1493,B,1,F,CC,A
366-U1493B-2X-1-A,0.0,9.0,0.7,0.79,IA,,,,irregular,scoured,,sandy,siltstone,,sandy siltstone,10YR 3/3 (dark brown),,lithified,silt,2,fine sand,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1493,B,2,X,1,A
366-U1493B-2X-1-A,9.0,33.0,0.79,1.03,IB,,,,irregular,scoured,,"matrix-supported, polymict",mud,with lithic clasts,"matrix-supported, polymict mud with lithic clasts",10YR 7/6 (yellow),,unconsolidated,granule,8,pebble,9,,poor,,,,,20,pebble,10,pebble,9,subangular,,,,,,,,,lithic matrix,,with carbonates,,,,,366,U1493,B,2,X,1,A
366-U1493B-2X-1-A,33.0,48.0,1.03,1.18,IB,,,,,,,sandy,mud,with lithic clasts,sandy mud with lithic clasts,7.5YR 5/8 (strong brown),,unconsolidated,fine sand,4,pebble,9,,poor,,,,,3,granule,8,pebble,9,subangular,ultramafic rock,3.0,fine sand,4,fine sand,4,subangular,,lithic matrix,,with aragonite crystals,,,,,366,U1493,B,2,X,1,A
366-U1493B-3F-1-A,0.0,141.0,10.4,11.81,IC,,,,,,,"matrix-supported, polymict",breccia-conglomerate,with lithic clasts,"matrix-supported, polymict breccia-conglomerate with lithic clasts",10YR 7/3 (very pale brown),,unconsolidated,fine sand,4,pebble,9,,poor,,,,sandstone,8,granule,8,pebble,9,subangular,ultramafic rock,1.0,pebble,10,pebble,9,subangular,,lithic matrix,poor,with aragonite crystals,,,,,366,U1493,B,3,F,1,A
366-U1493B-3F-2-A,0.0,12.0,11.81,11.93,IC,,,,,,,"matrix-supported, polymict",breccia-conglomerate,with lithic clasts,"matrix-supported, polymict breccia-conglomerate with lithic clasts",10YR 7/3 (very pale brown),,unconsolidated,fine sand,4,pebble,9,,poor,,,,ultramafic rock,2,pebble,10,pebble,9,subangular,sandstone,1.0,medium sand,5,granule,8,subangular,,lithic matrix,poor,with aragonite crystals,,,,,366,U1493,B,3,F,2,A
366-U1493B-3F-2-A,12.0,51.0,11.93,12.32,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10GY 7/2 (pale yellowish green),,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,2,granule,8,pebble,9,sub-rounded,,,,,,,,,serpentine clay matrix,poor,with aragonite crystals,,,,,366,U1493,B,3,F,2,A
366-U1493B-3F-3-A,0.0,60.0,12.32,12.92,IIA,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10GY 7/2 (pale yellowish green),,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,2,granule,8,pebble,9,sub-rounded,,,,,,,,,serpentine clay matrix,poor,with aragonite crystals,,,,,366,U1493,B,3,F,3,A
366-U1493B-3F-4-A,0.0,25.0,12.92,13.17,IIB,,,,irregular,scoured,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,10B 5/1 (bluish gray),,unconsolidated,silt,2,pebble,9,,poor,,,,ultramafic rock,2,granule,8,pebble,9,sub-rounded,,,,,,,,,serpentine clay matrix,poor,,,,,,366,U1493,B,3,F,4,A
