Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File data,Unnamed: 52
339-U1385E-1H-1-A,339,U1385,E,1,1-1,H,1,A,0,11,0.0,0.11,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 5/3 (light olive brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,color contact,color banding,thick lamina ,,,,absent_339 ,1,,,,100,100,,
339-U1385E-1H-1-A,339,U1385,E,1,1-1,H,1,A,11,96,0.11,0.96,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 5/2 (grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-1H-CC-A,339,U1385,E,1,1-CC,H,CC,A,0,17,0.96,1.13,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 5/2 (grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,contact not recovered,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-2H-1-A,339,U1385,E,2,2-1,H,1,A,0,151,1.0,2.51,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/2 (dark grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,Section 1 completely disturbed by flow-in.,100,100,,
339-U1385E-2H-2-A,339,U1385,E,2,2-2,H,2,A,0,151,2.51,4.02,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/2 (dark grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-2H-3-A,339,U1385,E,2,2-3,H,3,A,0,151,4.02,5.53,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/2 (dark grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,present ,,Shell fragment at 100 cm.,100,100,,
339-U1385E-2H-4-A,339,U1385,E,2,2-4,H,4,A,0,151,5.53,7.04,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/2 (dark grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-2H-5-A,339,U1385,E,2,2-5,H,5,A,0,150,7.04,8.54,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/2 (dark grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,present ,,Shell fragment at 34 cm.  Gastropod shell at 84 cm.,100,100,,
339-U1385E-2H-6-A,339,U1385,E,2,2-6,H,6,A,0,151,8.54,10.05,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/2 (dark grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-2H-7-A,339,U1385,E,2,2-7,H,7,A,0,71,10.05,10.76,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/2 (dark grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-2H-CC-A,339,U1385,E,2,2-CC,H,CC,A,0,23,10.76,10.99,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/2 (dark grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,contact not recovered,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-3H-1-A,339,U1385,E,3,3-1,H,1,A,0,151,10.5,12.01,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-3H-2-A,339,U1385,E,3,3-2,H,2,A,0,151,12.01,13.52,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,present ,,Shell fragments at 67 and 72 cm.,100,100,,
339-U1385E-3H-3-A,339,U1385,E,3,3-3,H,3,A,0,151,13.52,15.03,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-3H-4-A,339,U1385,E,3,3-4,H,4,A,0,80,15.03,15.83,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,color contact,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-3H-4-A,339,U1385,E,3,3-4,H,4,A,80,151,15.83,16.54,,nannofossil ooze ,with mud ,nannofossil ooze ,nannofossil ooze  with mud ,nannofossil ooze   with mud ,100,2.5Y 5/1 (gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-3H-5-A,339,U1385,E,3,3-5,H,5,A,0,81,16.54,17.35,,nannofossil ooze ,with mud ,nannofossil ooze ,nannofossil ooze  with mud ,nannofossil ooze   with mud ,100,2.5Y 5/1 (gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-3H-5-A,339,U1385,E,3,3-5,H,5,A,81,151,17.35,18.05,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-3H-6-A,339,U1385,E,3,3-6,H,6,A,0,121,18.05,19.26,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-3H-7-A,339,U1385,E,3,3-7,H,7,A,0,57,19.26,19.83,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-3H-CC-A,339,U1385,E,3,3-CC,H,CC,A,0,34,19.83,20.17,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-4H-1-A,339,U1385,E,4,4-1,H,1,A,0,114,20.0,21.14,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-4H-1-A,339,U1385,E,4,4-1,H,1,A,114,151,21.14,21.51,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 5/2 (grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-4H-2-A,339,U1385,E,4,4-2,H,2,A,0,146,21.51,22.97,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 5/2 (grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,color contact,,,,,,slight_339 ,3,,fault,"Subvertical fault at 53-73 cm, with offset of ~1 cm.",100,100,,
339-U1385E-4H-2-A,339,U1385,E,4,4-2,H,2,A,146,150,22.97,23.01,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-4H-3-A,339,U1385,E,4,4-3,H,3,A,0,124,23.01,24.25,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-4H-3-A,339,U1385,E,4,4-3,H,3,A,124,137,24.25,24.38,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 5/1 (gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-4H-3-A,339,U1385,E,4,4-3,H,3,A,137,151,24.38,24.52,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-4H-4-A,339,U1385,E,4,4-4,H,4,A,0,10,24.52,24.62,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,color contact,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-4H-4-A,339,U1385,E,4,4-4,H,4,A,10,37,24.62,24.89,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/2 (dark grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,gradational contact,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-4H-4-A,339,U1385,E,4,4-4,H,4,A,37,100,24.89,25.52,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 3/1 (very dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-4H-4-A,339,U1385,E,4,4-4,H,4,A,100,150,25.52,26.02,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,,100,100,,
339-U1385E-4H-5-A,339,U1385,E,4,4-5,H,5,A,0,125,26.02,27.27,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 4/1 (dark gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,color contact,,,,,,slight_339 ,3,,,,100,100,,
