Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
352-U1441A-1R-1-A,0,17,0.0,0.17,IA,,,,silty,mud,with medium to coarse sand,silty mud,silty mud with medium to coarse sand,mud with medium to coarse sand,,7.5YR 5/3 (brown),,unconsolidated,silt,2,coarse sand,6,,poor,non-graded,,slight,1,,,,C,,,,,calcareous matrix,,,,,,352,U1441,A,1,R,1,A
352-U1441A-1R-1-A,17,19,0.17,0.19,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 7/3 (very pale brown),,unconsolidated,clay,1,silt,2,Between 17 and 100 mingeled with brownish material from top,moderate,non-graded,mottled layer,,2,,,foraminifer,C,,,,,calcareous matrix,,,,,,352,U1441,A,1,R,1,A
352-U1441A-1R-1-A,19,50,0.19,0.5,IB,,,,,ash,,ash,ash,ash,,7.5YR 5/1 (gray),,unconsolidated,fine sand,4,fine sand,4,disseminated over that interval. Primary ash layer ca. 4 cm thick,well,,mottled layer,,,,,,,,,,,,,,,,,352,U1441,A,1,R,1,A
352-U1441A-1R-1-A,50,53,0.5,0.53,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 7/3 (very pale brown),,unconsolidated,clay,1,silt,2,Between 17 and 100 mingeled with brownish material from top,moderate,non-graded,mottled layer,,2,,,foraminifer,C,,,,,calcareous matrix,,,,,,352,U1441,A,1,R,1,A
352-U1441A-1R-1-A,53,82,0.53,0.82,IB,,,,,ash,,ash,ash,ash,,10YR 5/2 (grayish brown),,unconsolidated,fine sand,4,fine sand,4,disseminated over that interval. Primary ash layer ca. 4 cm thick,well,,mottled layer,,,,,,,,,,,,,,,,,352,U1441,A,1,R,1,A
352-U1441A-1R-1-A,82,127,0.82,1.27,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 7/3 (very pale brown),,unconsolidated,clay,1,silt,2,Between 17 and 100 mingeled with brownish material from top,moderate,non-graded,mottled layer,,2,,,foraminifer,C,,,,,calcareous matrix,,,,,,352,U1441,A,1,R,1,A
352-U1441A-1R-CC-A,0,14,1.27,1.41,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 7/3 (very pale brown),,unconsolidated,clay,1,silt,2,Between 17 and 100 mingeled with brownish material from top,moderate,non-graded,mottled layer,,2,,,foraminifer,C,,,,,calcareous matrix,,,,,,352,U1441,A,1,R,CC,A
352-U1441A-2R-1-A,0,6,5.0,5.06,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 7/3 (very pale brown),,unconsolidated,clay,1,silt,2,Between 17 and 100 mingeled with brownish material from top,moderate,non-graded,mottled layer,,2,,,foraminifer,C,,,,,calcareous matrix,,,,,,352,U1441,A,2,R,1,A
352-U1441A-2R-1-A,6,7,5.06,5.07,IB,irregular,scoured,sub-horizontal,,ash,,ash,ash,ash,,10YR 3/1 (very dark gray),thin bed,unconsolidated,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,,,,,352,U1441,A,2,R,1,A
352-U1441A-2R-1-A,7,53,5.07,5.53,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 7/3 (very pale brown),,unconsolidated,clay,1,silt,2,Between 17 and 100 mingeled with brownish material from top,moderate,non-graded,mottled layer,,2,,,foraminifer,C,,,,,calcareous matrix,,,,,,352,U1441,A,2,R,1,A
352-U1441A-2R-CC-A,0,5,5.53,5.58,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 7/3 (very pale brown),,unconsolidated,clay,1,silt,2,Between 17 and 100 mingeled with brownish material from top,moderate,non-graded,mottled layer,,2,,,foraminifer,C,,,,,calcareous matrix,,,,,,352,U1441,A,2,R,CC,A
352-U1441A-3R-1-A,0,30,14.7,15.0,IB,,,,silty,nannofossil ooze,with foraminifers,silty nannofossil ooze,silty nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 7/3 (very pale brown),,unconsolidated,clay,1,silt,2,Between 17 and 100 mingeled with brownish material from top,moderate,non-graded,mottled layer,,2,,,foraminifer,C,,,,,calcareous matrix,,,,,,352,U1441,A,3,R,1,A
352-U1441A-3R-1-A,30,32,15.0,15.02,IB,irregular,scoured,sub-horizontal,,ash,,ash,ash,ash,,10YR 5/1 (gray),thin bed,unconsolidated,silt,2,fine sand,4,,,,,,,,,,,,,,,,,,,,,352,U1441,A,3,R,1,A
352-U1441A-3R-1-A,32,150,15.02,16.2,II,,,,muddy,volcanic breccia-conglomerate,with gravel,muddy volcanic breccia-conglomerate,muddy volcanic breccia-conglomerate with gravel,volcanic breccia-conglomerate with gravel,,2.5YR 6/3 (light reddish brown),,unconsolidated,fine sand,4,granule,8,matrix-supported texture,poor,,,slight,1,,,,,,,,some 0.5 to 1 cm sized pumice clasts disseminated throughout the section,,,,,,,352,U1441,A,3,R,1,A
352-U1441A-3R-2-A,0,150,16.2,17.7,II,,,,muddy,volcanic breccia-conglomerate,with gravel,muddy volcanic breccia-conglomerate,muddy volcanic breccia-conglomerate with gravel,volcanic breccia-conglomerate with gravel,,2.5YR 6/3 (light reddish brown),,unconsolidated,fine sand,4,granule,8,matrix-supported texture,poor,non-graded,,slight,1,,,,,,,,some 0.5 to 1 cm sized pumice clasts disseminated throughout the section,,,,,,,352,U1441,A,3,R,2,A
352-U1441A-3R-3-A,0,150,17.7,19.2,II,,,,muddy,volcanic breccia-conglomerate,with gravel,muddy volcanic breccia-conglomerate,muddy volcanic breccia-conglomerate with gravel,volcanic breccia-conglomerate with gravel,,2.5YR 6/3 (light reddish brown),,unconsolidated,fine sand,4,granule,8,matrix-supported texture,poor,non-graded,,slight,1,,,,,,,,some 0.5 to 1 cm sized pumice clasts disseminated throughout the section,,,,,,,352,U1441,A,3,R,3,A
352-U1441A-3R-4-A,0,47,19.2,19.67,II,,,,muddy,volcanic breccia-conglomerate,with gravel,muddy volcanic breccia-conglomerate,muddy volcanic breccia-conglomerate with gravel,volcanic breccia-conglomerate with gravel,,2.5YR 6/3 (light reddish brown),,unconsolidated,fine sand,4,granule,8,matrix-supported texture,poor,non-graded,,slight,1,,,,,,,,some 0.5 to 1 cm sized pumice clasts disseminated throughout the section,,,,,,,352,U1441,A,3,R,4,A
352-U1441A-3R-4-A,47,62,19.67,19.82,II,,,,volcaniclastic,fine sand,,volcaniclastic fine sand,volcaniclastic fine sand,fine sand,,7.5YR 3/1 (very dark gray),,unconsolidated,fine sand,4,fine sand,4,dispersed ash by drilling,,,,,,,,,,,,,,,,,,,,352,U1441,A,3,R,4,A
