Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Diagenetic constituent,Diagenetic constituent composition,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,File Data,Ship File Links,Shore File Links,Sample,Extra Sample ID Data
361,U1478,C,1,1-1,H,1,A,0,137,0,1.37,1,,sand [2014],with foraminifers,sand,sand with foraminifers,sand with foraminifers,light grayish green,5Y 3/2 (dark olive gray),unconsolidated [2014],fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,mineral,pyrite,shell fragment,abundant [A79],,,,,361-U1478C-1H-1-A,
361,U1478,C,1,1-CC,H,CC,A,0,17,1.37,1.54,1,,sand [2014],with foraminifers,sand,sand with foraminifers,sand with foraminifers,light grayish green,5Y 3/2 (dark olive gray),unconsolidated [2014],fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,mineral,pyrite,shell fragment,abundant [A79],,,,,361-U1478C-1H-CC-A,
361,U1478,C,3,3-1,H,1,A,0,150,3,4.5,1,,sand [2014],with foraminifers,sand,sand with foraminifers,sand with foraminifers,dark greenish gray,GLEY 1 4/10Y (dark greenish gray),unconsolidated [2014],fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,mineral,pyrite,shell fragment,abundant [A79],,,,,361-U1478C-3H-1-A,
361,U1478,C,3,3-2,H,2,A,0,150,4.5,6,1,,sand [2014],with foraminifers,sand,sand with foraminifers,sand with foraminifers,dark greenish gray,GLEY 1 4/10Y (dark greenish gray),unconsolidated [2014],fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,mineral,pyrite,shell fragment,abundant [A79],,,,,361-U1478C-3H-2-A,
361,U1478,C,3,3-3,H,3,A,0,16,6,6.16,1,,sand [2014],with foraminifers,sand,sand with foraminifers,sand with foraminifers,dark greenish gray,GLEY 1 4/10Y (dark greenish gray),unconsolidated [2014],fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,mineral,pyrite,shell fragment,abundant [A79],,,,,361-U1478C-3H-3-A,
361,U1478,C,3,3-3,H,3,A,16,97,6.16,6.97,1,sandy,silt [2014],with nannofossils,sandy silt,sandy silt with nannofossils,silt with nannofossils,dark greenish gray,GLEY 1 4/10Y (dark greenish gray),unconsolidated [2014],silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,mineral,pyrite,shell fragment,abundant [A79],,,,,361-U1478C-3H-3-A,
361,U1478,C,3,3-3,H,3,A,97,150,6.97,7.5,1,,sand [2014],with foraminifers,sand,sand with foraminifers,sand with foraminifers,dark greenish gray,GLEY 1 4/10Y (dark greenish gray),unconsolidated [2014],fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,mineral,pyrite,shell fragment,abundant [A79],,,,,361-U1478C-3H-3-A,
361,U1478,C,3,3-4,H,4,A,0,63,7.5,8.13,1,,sand [2014],with foraminifers,sand,sand with foraminifers,sand with foraminifers,dark greenish gray,GLEY 1 4/10Y (dark greenish gray),unconsolidated [2014],fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,mineral,pyrite,shell fragment,abundant [A79],,,,,361-U1478C-3H-4-A,
361,U1478,C,3,3-4,H,4,A,63,150,8.13,9,1,sandy,silt [2014],with nannofossils,sandy silt,sandy silt with nannofossils,silt with nannofossils,dark greenish gray,GLEY 1 4/10Y (dark greenish gray),unconsolidated [2014],silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,mineral,pyrite,shell fragment,abundant [A79],,,,,361-U1478C-3H-4-A,
361,U1478,C,3,3-5,H,5,A,0,108,9,10.08,1,sandy,silt [2014],with nannofossils,sandy silt,sandy silt with nannofossils,silt with nannofossils,dark greenish gray,GLEY 1 4/10Y (dark greenish gray),unconsolidated [2014],silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,mineral,pyrite,shell fragment,abundant [A79],,,,,361-U1478C-3H-5-A,
361,U1478,C,3,3-5,H,5,A,108,150,10.08,10.5,1,,sand [2014],with foraminifers,sand,sand with foraminifers,sand with foraminifers,dark greenish gray,GLEY 1 4/10Y (dark greenish gray),unconsolidated [2014],fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,mineral,pyrite,shell fragment,abundant [A79],,,,,361-U1478C-3H-5-A,
361,U1478,C,3,3-6,H,6,A,0,65,10.5,11.15,1,sandy,silt [2014],with nannofossils,sandy silt,sandy silt with nannofossils,silt with nannofossils,dark greenish gray,GLEY 1 4/10Y (dark greenish gray),unconsolidated [2014],silt [W22_1],2,medium sand [W22_2],5,,,,,,,,,,,,mineral,pyrite,shell fragment,abundant [A79],,,,,361-U1478C-3H-6-A,
361,U1478,C,3,3-6,H,6,A,65,81,11.15,11.31,1,,sand [2014],with foraminifers,sand,sand with foraminifers,sand with foraminifers,dark greenish gray,GLEY 1 4/10Y (dark greenish gray),unconsolidated [2014],fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,mineral,pyrite,shell fragment,abundant [A79],,,,,361-U1478C-3H-6-A,
361,U1478,C,3,3-CC,H,CC,A,0,10,11.31,11.41,1,,sand [2014],with foraminifers,sand,sand with foraminifers,sand with foraminifers,dark greenish gray,GLEY 1 4/10Y (dark greenish gray),unconsolidated [2014],fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,mineral,pyrite,shell fragment,abundant [A79],,,,,361-U1478C-3H-CC-A,
361,U1478,C,4,4-1,H,1,A,0,118,12.5,13.68,1,,sand [2014],with foraminifers,sand,sand with foraminifers,sand with foraminifers,dark greenish gray,GLEY 1 4/10Y (dark greenish gray),unconsolidated [2014],fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,,,,,,mineral,pyrite,shell fragment,abundant [A79],,,,,361-U1478C-4H-1-A,
