Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1429C-1H-1-A,0,150,0.0,1.5,,nannofossil ooze ,with diatoms ,nannofossil ooze  with diatoms ,,,,,10Y 4/1 (dark greenish gray),heavy ,3.0,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with diatoms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,C,1,H,1,A
346-U1429C-1H-2-A,0,45,1.5,1.95,,nannofossil ooze ,with diatoms ,nannofossil ooze  with diatoms ,,,,,10Y 4/1 (dark greenish gray),heavy ,3.0,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with diatoms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,C,1,H,2,A
346-U1429C-1H-2-A,45,124,1.95,2.74,volcanic glass rich,nannofossil ooze ,,volcanic glass rich nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3.0,,,,,,,,,,,,,,,volcanic glass rich  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,C,1,H,2,A
346-U1429C-1H-2-A,124,145,2.74,2.95,,tephra ,,tephra ,vitric,,,,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,C,1,H,2,A
346-U1429C-1H-2-A,145,150,2.95,3.0,,nannofossil ooze ,with diatoms ,nannofossil ooze  with diatoms ,,,,,10Y 4/1 (dark greenish gray),heavy ,3.0,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with diatoms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,C,1,H,2,A
346-U1429C-1H-3-A,0,96,3.0,3.96,,nannofossil ooze ,with diatoms ,nannofossil ooze  with diatoms ,,,,,10Y 4/1 (dark greenish gray),heavy ,3.0,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with diatoms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,C,1,H,3,A
346-U1429C-1H-CC-A,0,20,3.96,4.16,,nannofossil ooze ,with diatoms ,nannofossil ooze  with diatoms ,,,,,10Y 4/1 (dark greenish gray),heavy ,3.0,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with diatoms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,C,1,H,CC,A
346-U1429C-2H,0,995,4.1,14.05,,nannofossil ooze ,with volcanic ash ,nannofossil ooze  with volcanic ash ,vitric,,,structureless,10Y 4/1 (dark greenish gray),heavy ,3.0,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,C,2,H,,
346-U1429C-2H-1-A,30,40,4.4,4.5,,tephra ,,tephra ,vitric,,,,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,C,2,H,1,A
346-U1429C-3H,0,981,13.6,23.41,,nannofossil ooze ,with volcanic ash ,nannofossil ooze  with volcanic ash ,vitric,,,,10Y 4/1 (dark greenish gray),heavy ,3.0,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,C,3,H,,
346-U1429C-3H-3-A,12,60,16.72,17.2,sandy ,tephra ,,sandy  tephra ,,,,normal grading,N 5 (gray),,,,,,,,,,,,,,,,,sandy   tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,C,3,H,3,A
346-U1429C-4H,0,975,23.1,32.85,,nannofossil ooze ,,nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3.0,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,C,4,H,,
346-U1429C-5H,0,962,32.6,42.22,,nannofossil ooze ,,nannofossil ooze ,,,,,10Y 4/1 (dark greenish gray),heavy ,3.0,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,C,5,H,,
346-U1429C-5H-5-A,120,122,39.8,39.82,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,C,5,H,5,A
346-U1429C-6H,0,488,42.1,46.98,diatom bearing,nannofossil ooze ,with foraminifers ,diatom bearing nannofossil ooze  with foraminifers ,,,,,10Y 4/1 (dark greenish gray),heavy ,3.0,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,C,6,H,,
346-U1429C-6H-2-A,110,150,44.7,45.1,sandy ,tephra ,,sandy  tephra ,,,,normal grading,N 5 (gray),,,,,,,,,,,,,,,,,sandy   tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1429,C,6,H,2,A
