Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links,Extra Sample ID Data
351-U1438E-4R-1-A,351,U1438,E,4,4-1,R,1,A,0,27,867.3,867.57,,,,,tuffaceous,siltstone [2014],with sand [2014],tuffaceous siltstone,tuffaceous siltstone with sand,siltstone with sand,,,10G 4/2 (grayish green),consolidated [2014],silt [W22_1],2,fine sand [W22_2],4,red silt and green fine sand irregularly intercalated,irregular,,,,,,wavy bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-4R-1-A,351,U1438,E,4,4-1,R,1,A,27,84,867.57,868.14,,,,,tuffaceous,sandstone [2014],with gravel [2014b],tuffaceous sandstone,tuffaceous sandstone with gravel,sandstone with gravel,,,5G 4/1 (dark greenish gray),consolidated [2014],medium sand [W22_2],5,pebble [W22_2],9,pebbles up to 10 mm; large intercalated deformed microfaulted irregular clast.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-4R-1-A,351,U1438,E,4,4-1,R,1,A,84,116,868.14,868.46,,,,,tuffaceous,sandstone [2014],with gravel [2014b],tuffaceous sandstone,tuffaceous sandstone with gravel,sandstone with gravel,,,5G 4/1 (dark greenish gray),consolidated [2014],medium sand [W22_2],5,pebble [W22_2],9,pebbles up to 35 mm,irregular,,,,moderate [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-4R-1-A,351,U1438,E,4,4-1,R,1,A,103,116,868.33,868.46,,,,,,,,,,,,,,,,,,,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-4R-1-A,351,U1438,E,4,4-1,R,1,A,116,128,868.46,868.58,,,,,tuffaceous,sandstone [2014],with gravel [2014b],tuffaceous sandstone,tuffaceous sandstone with gravel,sandstone with gravel,,,5YR 3/2 (dark reddish brown),consolidated [2014],fine sand [W22_2],4,granule [W22_2],8,,,,,,,,wavy bedding,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-4R-1-A,351,U1438,E,4,4-1,R,1,A,128,137,868.58,868.67,,,,,tuffaceous,siltstone [2014],with gravel [2014b],tuffaceous siltstone,tuffaceous siltstone with gravel,siltstone with gravel,,,5G 4/1 (dark greenish gray),consolidated [2014],silt [W22_1],2,granule [W22_2],8,granule up to 4 mm,,,,,poor [2014],,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-4R-2-A,351,U1438,E,4,4-2,R,2,A,0,86,868.67,869.53,,,,,tuffaceous,siltstone [2014],with gravel [2014b],tuffaceous siltstone,tuffaceous siltstone with gravel,siltstone with gravel,,,5BG 5/2 (grayish blue green),consolidated [2014],silt [W22_1],2,pebble [W22_2],9,red and green silt irregularly intercalated; pebbles up to 16 mm with mudstone composition.,,,,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-4R-2-A,351,U1438,E,4,4-2,R,2,A,9,19,868.76,868.86,,,,,,,,,,,,,,,,,,,,,,,,,,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-4R-2-A,351,U1438,E,4,4-2,R,2,A,86,111,869.53,869.78,,,,,tuffaceous,sandstone [2014],with gravel [2014b],tuffaceous sandstone,tuffaceous sandstone with gravel,sandstone with gravel,,,5G 4/1 (dark greenish gray),consolidated [2014],fine sand [W22_2],4,pebble [W22_2],9,pebble up to 10 mm,irregular,gradational,inclined,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-4R-2-A,351,U1438,E,4,4-2,R,2,A,111,125,869.78,869.92,,,,,tuffaceous,siltstone [2014],with gravel [2014b],tuffaceous siltstone,tuffaceous siltstone with gravel,siltstone with gravel,,,5YR 3/2 (dark reddish brown),consolidated [2014],silt [W22_1],2,granule [W22_2],8,,planar,sharp,horizontal,,poor [2014],,wavy bedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-4R-2-A,351,U1438,E,4,4-2,R,2,A,125,141,869.92,870.08,,,,,tuffaceous,sandstone [2014],with gravel [2014b],tuffaceous sandstone,tuffaceous sandstone with gravel,sandstone with gravel,,,5G 4/1 (dark greenish gray),consolidated [2014],fine sand [W22_2],4,pebble [W22_2],9,pebble up to 40 mm,,,,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-4R-3-A,351,U1438,E,4,4-3,R,3,A,0,81,870.08,870.89,,,,,tuffaceous,sandstone [2014],with gravel [2014b],tuffaceous sandstone,tuffaceous sandstone with gravel,sandstone with gravel,,,5G 4/1 (dark greenish gray),consolidated [2014],fine sand [W22_2],4,pebble [W22_2],9,pebble up to 60 mm,planar,gradational,horizontal,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-4R-3-A,351,U1438,E,4,4-3,R,3,A,81,89,870.89,870.97,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5BG 5/2 (grayish blue green),consolidated [2014],silt [W22_1],2,coarse sand [W22_2],6,red and green silt irregularly intercalated; pebbles up to 16 mm with mudstone composition.,,,,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-4R-CC-A,351,U1438,E,4,4-CC,R,CC,A,0,20,870.97,871.17,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5BG 5/2 (grayish blue green),consolidated [2014],silt [W22_1],2,medium sand [W22_2],5,red and green silt irregularly intercalated; pebbles up to 16 mm with mudstone composition.,,,,,poor [2014],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-5R-1-A,351,U1438,E,5,5-1,R,1,A,0,36,876.8,877.16,,,,,tuffaceous,siltstone [2014],with sand [2014],tuffaceous siltstone,tuffaceous siltstone with sand,siltstone with sand,,,N 3 (very dark gray),consolidated [2014],silt [W22_1],2,medium sand [W22_2],5,cross cutting med sand injection,,,,,moderate [2014],,clastic dike,strong,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-5R-1-A,351,U1438,E,5,5-1,R,1,A,36,66,877.16,877.46,,,,,tuffaceous,mudstone [2014],with sand [2014],tuffaceous mudstone,tuffaceous mudstone with sand,mudstone with sand,,,5YR 4/1 (dark gray),consolidated [2014],clay [W22_1],1,coarse sand [W22_2],6,cross cutting coarse sand injection,irregular,scoured,horizontal,,well [2014],,clastic dike,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-5R-1-A,351,U1438,E,5,5-1,R,1,A,66,104,877.46,877.84,,,,,tuffaceous,siltstone [2014],with sand [2014],tuffaceous siltstone,tuffaceous siltstone with sand,siltstone with sand,,,N 3 (very dark gray),consolidated [2014],silt [W22_1],2,medium sand [W22_2],5,,planar,sharp,inclined,,moderate [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-5R-1-A,351,U1438,E,5,5-1,R,1,A,104,131,877.84,878.11,,,,,tuffaceous,siltstone [2014],with sand [2014],tuffaceous siltstone,tuffaceous siltstone with sand,siltstone with sand,,,5G 4/1 (dark greenish gray),consolidated [2014],silt [W22_1],2,fine sand [W22_2],4,numerous normal microfaults; discontinuous red/green silt intercalated layers,,,,,moderate [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-5R-2-A,351,U1438,E,5,5-2,R,2,A,0,110,878.11,879.21,,,,,tuffaceous,siltstone [2014],with sand [2014],tuffaceous siltstone,tuffaceous siltstone with sand,siltstone with sand,,,5YR 4/1 (dark gray),consolidated [2014],silt [W22_1],2,fine sand [W22_2],4,numerous normal microfaults; discontinuous red/green silt intercalated layers,,,,,moderate [2014],,zoophycos,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438E-5R-3-A,351,U1438,E,5,5-3,R,3,A,0,150,879.26,880.76,,,,,tuffaceous,siltstone [2014],with sand [2014],tuffaceous siltstone,tuffaceous siltstone with sand,siltstone with sand,,,10R 3/4 (dusky red),consolidated [2014],silt [W22_1],2,fine sand [W22_2],4,discontinuous red/green fine sand intercalated layers,,,,,moderate [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
