Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Principal Name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Groundmass modal percentage [%],Groundmass modal grain size [mm],Groundmass comments,File Data,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Lithology Prefix,Extra Sample ID Data
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,0.0,3.0,0.0,0.03,slight [drilling disturbance],2,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,Top of hemipelagic sediment,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,1.0,0.0,99,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,3.0,13.0,0.03,0.13,slight [drilling disturbance],2,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,Hemipelagic sediment.,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,1.0,0.0,99,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,13.0,20.5,0.13,0.205,slight [drilling disturbance],2,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,Hemipelagic sediment.,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,1.0,0.0,99,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,20.5,29.0,0.205,0.29,slight [drilling disturbance],2,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,Hemipelagic sediment.,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,1.0,0.0,99,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,29.0,32.0,0.29,0.32,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],60,medium sand [T07],6,volcaniclastic-sand [BGS-S81],40,fine sand [T07],4,100,Normally graded tephra,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,97,0,1,1.0,0.0,1,100,well [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,32.0,56.0,0.32,0.56,slight [drilling disturbance],2,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,Hemipelagic sediment.,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,1.0,0.0,99,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,56.0,57.5,0.56,0.575,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,fine medium sand [T07],5,,,,,100,Tephra,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,80,0,15,0.0,5.0,0,100,well [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,57.5,64.0,0.575,0.64,slight [drilling disturbance],,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,Hemipelagic sediment.,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,1.0,0.0,99,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,64.0,64.5,0.64,0.645,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,fine medium sand [T07],5,,,,,100,Tephra,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,80,0,15,0.0,5.0,0,100,well [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,64.5,78.0,0.645,0.78,slight [drilling disturbance],2,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,Hemipelagic sediment.,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,1.0,0.0,99,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,78.0,79.0,0.78,0.79,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,fine medium sand [T07],5,,,,,100,Tephra,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,80,0,15,0.0,5.0,0,100,well [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,79.0,88.0,0.79,0.88,slight [drilling disturbance],2,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,Hemipelagic sediment.,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,1.0,0.0,99,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,88.0,88.5,0.88,0.885,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,fine medium sand [T07],5,,,,,100,Tephra,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,80,0,15,0.0,5.0,0,100,well [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,88.5,89.0,0.885,0.89,slight [drilling disturbance],2,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,Hemipelagic sediment.,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,1.0,0.0,99,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,89.0,94.0,0.89,0.94,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,Tephra,0,0,,0,,0,,0,,0,,0,,0,,0,,,7,0,2,0,90,0,0,1.0,0.0,0,100,well [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,94.0,116.0,0.94,1.16,slight [drilling disturbance],2,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,Hemipelagic sediment.,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,1.0,0.0,99,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,116.0,117.5,1.16,1.175,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,fine medium sand [T07],5,,,,,100,Tephra,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,80,0,15,0.0,5.0,0,100,well [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,117.5,124.5,1.175,1.245,slight [drilling disturbance],2,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,Hemipelagic sediment.,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,1.0,0.0,99,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,124.5,125.0,1.245,1.25,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,fine medium sand [T07],5,,,,,100,Tephra,0,0,,0,,0,,0,,0,,0,,0,,0,,,30,0,0,0,68,0,2,0.0,0.0,0,100,well [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,125.0,129.0,1.25,1.29,slight [drilling disturbance],2,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,Hemipelagic sediment.,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,1.0,0.0,99,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,129.0,130.0,1.29,1.3,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,fine medium sand [T07],5,,,,,100,Tephra,0,0,,0,,0,,0,,0,,0,,0,,0,,,30,0,0,0,68,0,2,0.0,0.0,0,100,well [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,130.0,134.0,1.3,1.34,slight [drilling disturbance],2,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,Hemipelagic sediment.,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,1.0,0.0,99,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,134.0,138.0,1.34,1.38,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,Tephra,0,0,,0,,0,,0,,0,,0,,0,,0,,,30,0,0,0,68,0,2,0.0,0.0,0,100,well [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-1-A,340,U1395,B,1,1-1,H,1,A,138.0,150.0,1.38,1.5,slight [drilling disturbance],2,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,Hemipelagic sediment.,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,1.0,0.0,99,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-2-A,340,U1395,B,1,1-2,H,2,A,0.0,25.0,1.5,1.75,slight [drilling disturbance],2,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,Hemipelagic sediment.,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,1.0,0.0,99,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-2-A,340,U1395,B,1,1-2,H,2,A,25.0,29.0,1.75,1.79,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,very coarse sand [T07],8,,,,,100,Tephra layer,0,0,,0,,0,,0,,0,,0,,0,,0,,,10,0,2,0,86,0,0,1.0,1.0,0,100,well [BP01],absent [alteration],0,,,,,,,,,,,,,,
340-U1397B-1H-2-A,340,U1395,B,1,1-2,H,2,A,29.0,46.0,1.79,1.96,slight [drilling disturbance],2,carbonate ooze [Leg178],95,silt-fine mud [T07],2,volcaniclastic-sand [BGS-S81],5,fine sand [T07],4,100,Hemipelagic sediment intercalating very sandy layers (very unclear).,0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,10,0,0,0.0,0.0,90,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
340-U1397B-1H-2-A,340,U1395,B,1,1-2,H,2,A,46.0,46.5,1.96,1.965,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],100,fine medium sand [T07],5,,,,,100,Tephra layer,0,0,,0,,0,,0,,0,,0,,0,,0,,,10,0,2,0,86,0,0,1.0,1.0,0,100,well [BP01],absent [alteration],0,,,,,,,,,,,,,,
340-U1397B-1H-2-A,340,U1395,B,1,1-2,H,2,A,46.5,61.0,1.965,2.11,slight [drilling disturbance],2,carbonate ooze [Leg178],90,silt-fine mud [T07],2,volcaniclastic-sand [BGS-S81],10,fine medium sand [T07],5,100,"Hemipelagic sediment intercalating sand-rich portions (cripto tephra layers).
",0,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,0,0,10,0,0,0.0,0.0,90,100,poor [BP01],moderate [alteration],4,,,,,,,,,,,,,,
