Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology prefix,Principal lithology,Lithology suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,Extra Sample ID Data
327-U1363G-1H-1-A,327,U1363,G,1,1-1,H,1,A,0,150,0,1.5,,clayey sand [S54],,clayey sand,,,,,"Shepard, 1954",,,
327-U1363G-1H-2-A,327,U1363,G,1,1-2,H,2,A,0,33,1.5,1.83,,clayey sand [S54],,clayey sand,,,,,"Shepard, 1954",,,
327-U1363G-1H-2-A,327,U1363,G,1,1-2,H,2,A,34,136,1.84,2.86,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363G-1H-3-A,327,U1363,G,1,1-3,H,3,A,0,139,2.86,4.25,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363G-1H-CC-A,327,U1363,G,1,1-CC,H,CC,A,0,13,4.25,4.38,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363G-2H-1-A,327,U1363,G,2,2-1,H,1,A,0,150,6.5,8,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363G-2H-2-A,327,U1363,G,2,2-2,H,2,A,0,150,8,9.5,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363G-2H-3-A,327,U1363,G,2,2-3,H,3,A,0,55,9.5,10.05,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",,,
327-U1363G-2H-3-A,327,U1363,G,2,2-3,H,3,A,55,150,10.05,11,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363G-2H-4-A,327,U1363,G,2,2-4,H,4,A,0,150,11,12.5,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363G-2H-5-A,327,U1363,G,2,2-5,H,5,A,0,150,12.5,14,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363G-2H-6-A,327,U1363,G,2,2-6,H,6,A,0,100,14,15,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363G-2H-7-A,327,U1363,G,2,2-7,H,7,A,0,92,15,15.92,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363G-2H-CC-A,327,U1363,G,2,2-CC,H,CC,A,0,20,15.92,16.12,,silty clay [S54],,silty clay,,,,,"Shepard, 1954",,,
327-U1363G-3H-1-A,327,U1363,G,3,3-1,H,1,A,0,150,16,17.5,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,
327-U1363G-3H-2-A,327,U1363,G,3,3-2,H,2,A,0,150,17.5,19,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,
327-U1363G-3H-3-A,327,U1363,G,3,3-3,H,3,A,0,150,19,20.5,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,
327-U1363G-3H-4-A,327,U1363,G,3,3-4,H,4,A,0,150,20.5,22,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,
327-U1363G-3H-5-A,327,U1363,G,3,3-5,H,5,A,0,150,22,23.5,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,
327-U1363G-3H-6-A,327,U1363,G,3,3-6,H,6,A,0,119,23.5,24.69,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,
327-U1363G-3H-CC-A,327,U1363,G,3,3-CC,H,CC,A,0,20,24.69,24.89,,clay [S54] ,,clay,,,,,"Shepard, 1954",,,
