Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
354-U1455A-1H-1-A,0,27,0.0,0.27,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light brown,sharp planar,horizontal,,,,,,,,,,,,,,354,U1455,A,1,H,1,A,,,,
354-U1455A-1H-1-A,27,40,0.27,0.4,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light brown,gradational,horizontal,,,,,,mottling [BJ80],,,,slighttly more compacted than above,,,,354,U1455,A,1,H,1,A,,,,
354-U1455A-1H-1-A,40,43,0.4,0.43,,nannofossil rich,calcareous clay [Leg210],with radiolarians [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with radiolarians,calcareous clay with radiolarians,,green,sharp planar,horizontal,,,,,,,,,,greenish clay aggregates,,,,354,U1455,A,1,H,1,A,,,,
354-U1455A-1H-1-A,43,46,0.43,0.46,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,gradational,horizontal,,,,,,,,,,,,,,354,U1455,A,1,H,1,A,,,,
354-U1455A-1H-1-A,46,62,0.46,0.62,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1455,A,1,H,1,A,,,,
354-U1455A-1H-1-A,62,73,0.62,0.73,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,two sand patches,,,,354,U1455,A,1,H,1,A,,,,
354-U1455A-1H-CC-A,0,17,0.73,0.9,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,,,,,354,U1455,A,1,H,CC,A,,,,
