dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. color,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Lith. comment,Clast lithology,Clast size,Clast morphology (shape),Clast sorting,Clast color,Clast roundness,Clast roundness rank,Clast lithology comment,Matrix sorting,Clast/matrix texture,Matrix comment,Bioturbation intensity,Bioturbation intensity rank,General comment,File Data,Ship File Links,Shore File Links
,344-U1413B-1H-1-A,344,U1413,B,1,1-1,H,1,A,0,9,0.0,0.09,,,,silty-muddy [Leg339],clay [USGS],,5Y 3/1 (very dark gray),silty-muddy   clay ,silty-muddy  clay ,clay [W22_2],1.0,very fine silt [W22_2],2.0,"Matrix componenets: Nannoss. forams and feldspar dominate.  Then common sedimentary magmatic lithics, glauconite and hornblende. Common to rare spicules, pyroxene, glass and calcite ",,,,,,,,,,,,,,,,,
,344-U1413B-1H-1-A,344,U1413,B,1,1-1,H,1,A,9,11,0.09,0.11,,,,,tephra [FS84],,N 8 (white),tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,
,344-U1413B-1H-1-A,344,U1413,B,1,1-1,H,1,A,11,141,0.11,1.41,,,,silty-muddy [Leg339],clay [USGS],,5Y 3/1 (very dark gray),silty-muddy   clay ,silty-muddy  clay ,clay [W22_2],1.0,very fine silt [W22_2],2.0,,,,,,,,,,,,,,,,,,
,344-U1413B-1H-1-A,344,U1413,B,1,1-1,H,1,A,141,150,1.41,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,
,344-U1413B-1H-2-A,344,U1413,B,1,1-2,H,2,A,0,142,1.5,2.92,,,,silty-muddy [Leg339],clay [USGS],,5Y 3/1 (very dark gray),silty-muddy   clay ,silty-muddy  clay ,clay [W22_2],1.0,very fine silt [W22_2],2.0,"Matrix componenets: Nannoss. forams and feldspar dominate.  Then common sedimentary magmatic lithics, glauconite and hornblende. Common to rare spicules, pyroxene, glass and calcite ",,,,,,,,,,,,,,,,,
,344-U1413B-1H-2-A,344,U1413,B,1,1-2,H,2,A,142,150,2.92,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,IW,,,
,344-U1413B-1H-3-A,344,U1413,B,1,1-3,H,3,A,0,36,3.0,3.36,,,,silty-muddy [Leg339],clay [USGS],,5Y 3/1 (very dark gray),silty-muddy   clay ,silty-muddy  clay ,clay [W22_2],1.0,very fine silt [W22_2],2.0,"Matrix componenets: Nannoss. forams and feldspar dominate.  Then common sedimentary magmatic lithics, glauconite and hornblende. Common to rare spicules, pyroxene, glass and calcite ",,,,,,,,,,,,,,,,,
,344-U1413B-1H-3-A,344,U1413,B,1,1-3,H,3,A,36,48,3.36,3.48,,,,silty,clay [USGS],,5GY 4/1 (dark greenish gray),silty  clay ,silty clay ,clay [W22_2],1.0,very fine silt [W22_2],2.0,"Mildly calcareous, contains several sand layers intercalated.  Sand layers contains abundant biogenic material.  Shell fragments are common but dispersed.  ",calcareous biosiliceous ooze [Leg339],cobble [W22_2],,,,,,,,,,common [B06],4.0,,,,
,344-U1413B-1H-3-A,344,U1413,B,1,1-3,H,3,A,48,49,3.48,3.49,,,,,sand [USGS],,N 3 (very dark gray),sand ,sand ,sand [W22_1],3.0,sand [W22_1],3.0,Dominated by biogenic forams and shells and felsdpars.  Some glauconite.  All other minerals are rare.,,,,,,,,,,,,common [B06],4.0,,,,
,344-U1413B-1H-3-A,344,U1413,B,1,1-3,H,3,A,49,54,3.49,3.54,,,,silty,clay [USGS],,5GY 4/1 (dark greenish gray),silty  clay ,silty clay ,clay [W22_2],1.0,very fine silt [W22_2],2.0,"Mildly calcareous, contains several sand layers intercalated.  Sand layers contains abundant biogenic material.  Shell fragments are common but dispersed.  ",calcareous biosiliceous ooze [Leg339],cobble [W22_2],,,,,,,,,,common [B06],4.0,,,,
