Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
355-U1457A-1H-1-A,0,67,0.0,0.67,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,,gray,GLEY 1 4/10Y (dark greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,erosive,sharp,horizontal,thickly bedded,,,,,,,,,,,,,355,U1457,A,1,H,1,A
355-U1457A-1H-1-A,67,94,0.67,0.94,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,,light gray,GLEY 1 6/10Y (greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,,,,medium bedded,,,,,slight,2.0,,,,,,,355,U1457,A,1,H,1,A
355-U1457A-1H-2-A,0,64,0.94,1.58,,calcareous rich,clay,with silt,calcareous rich clay with silt,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,gradational,gradational,sub-horizontal,thickly bedded,,,,,slight,2.0,,,,,,,355,U1457,A,1,H,2,A
355-U1457A-1H-2-A,64,128,1.58,2.22,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 5/10Y (greenish gray),60.0,clay,1.0,silt,2.0,,nannofossil rich,clay,with silt,nannofossil rich clay,nannofossil rich clay with silt,clay with silt,light green,GLEY 1 5/5GY (greenish gray),40.0,clay,1.0,silt,2.0,,100.0,,,,thickly bedded,,,,,slight,2.0,,,,,,,355,U1457,A,1,H,2,A
355-U1457A-1H-3-A,0,20,2.22,2.42,,calcareous rich,clay,with silt,calcareous rich clay with silt,,,light green,GLEY 1 6/5GY (greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,gradational,gradational,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1457,A,1,H,3,A
355-U1457A-1H-3-A,20,150,2.42,3.72,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,,light gray,GLEY 1 5/10Y (greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,,,,medium bedded,,,,,slight,2.0,,,,,,,355,U1457,A,1,H,3,A
355-U1457A-1H-4-A,0,51,3.72,4.23,,calcareous rich,clay,with silt,calcareous rich clay with silt,,,light gray,GLEY 1 6/10Y (greenish gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,gradational,gradational,sub-horizontal,thickly bedded,,,,,,,,,,,,,355,U1457,A,1,H,4,A
355-U1457A-1H-4-A,51,150,4.23,5.22,,nannofossil rich,clay,with silt,nannofossil rich clay with silt,,,gray,GLEY 1 5/N (gray),,clay,1.0,silt,2.0,,,,,,,,,,,,,,,,,,,,medium bedded,,,,,slight,2.0,,,,,,,355,U1457,A,1,H,4,A
355-U1457A-1H-5-A,0,44,5.22,5.66,,,clay,with nannofossils,clay with nannofossils,,,gray,GLEY 1 5/N (gray),80.0,clay,1.0,silt,2.0,,silty,sand,,silty sand,silty sand,sand,dark gray,GLEY 1 3/N (very dark gray),20.0,very fine sand,3.0,fine sand,4.0,,100.0,erosive,scoured,sub-horizontal,thinly bedded,,,,,,,,,,,,,355,U1457,A,1,H,5,A
355-U1457A-1H-5-A,44,109,5.66,6.31,,,clay,with nannofossils,clay with nannofossils,,,gray,GLEY 1 5/N (gray),60.0,clay,1.0,silt,2.0,,silty,sand,,silty sand,silty sand,sand,dark gray,GLEY 1 3/N (very dark gray),40.0,very fine sand,3.0,fine sand,4.0,,100.0,erosive,scoured,sub-horizontal,thickly bedded,,,,,,,,,,,,,355,U1457,A,1,H,5,A
