Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
353-U1443D-1F-1-A,0,36,0.0,0.36,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,brown,10YR 6/4 (light yellowish brown),gradational,scoured,,,non-graded,,,,,,,,,,,,353,U1443,D,1,F,1,A
353-U1443D-1F-1-A,36,138,0.36,1.38,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,brown,10YR 5/2 (grayish brown),gradational,,,,non-graded,,,,mottling,,,,Green band at 99cm. Color gradation from brownish color at the top of the section to a lighter gray hue (GLEY 1 7/5GY) before the ash layer.,,,,353,U1443,D,1,F,1,A
353-U1443D-1F-1-A,138,150,1.38,1.5,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,gray,10YR 6/1 (gray),,,,,,vitric,abundant,5,,,,,Toba?,,,,353,U1443,D,1,F,1,A
353-U1443D-1F-2-A,0,13,1.5,1.63,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,gray,10YR 6/1 (gray),irregular,bioturbated,,,,vitric,abundant,5,,,,,Toba?,,,,353,U1443,D,1,F,2,A
353-U1443D-1F-2-A,13,101,1.63,2.51,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),,,,,non-graded,,,,mottling,,,,Green band at 44 cm and dark gray band at 73 cm. Dark green patch on the right hand side at 39 cm. Color gradation to lighter gray colors (GLEY 1 8/10Y) towards bottom of section.,,,,353,U1443,D,1,F,2,A
353-U1443D-1F-3-A,0,79,2.51,3.3,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),,,,,non-graded,,,,mottling,,,,Color gradation to a darker gray color (5Y 5/1) towards bottom of core potentially related to glacial-interglacial cycles.,,,,353,U1443,D,1,F,3,A
353-U1443D-1F-CC-A,0,19,3.3,3.49,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 6/1 (gray),,,,,non-graded,,,,mottling,,,,,,,,353,U1443,D,1,F,CC,A
353-U1443D-2F-1-A,0,150,3.4,4.9,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),,,,,non-graded,,,,mottling,,,,Color gradation to a lighter gray color (GLEY 1 7/10Y) towards bottom of core potentially related to glacial-interglacial cycles. Green bands at 139-140 and 145-147 cm.,,,,353,U1443,D,2,F,1,A
353-U1443D-2F-2-A,0,150,4.9,6.4,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,GLEY 1 6/N (gray),,,,,non-graded,,,,mottling,,,,"Color gradation to a lighter gray color (GLEY 1 7/10Y) towards bottom of core potentially related to glacial-interglacial cycles. Green bands at 18, 129, and 139 cm. Mottling more pronounced in lighter gray layer. 1 cm diameter nodule at 36 cm.",,,,353,U1443,D,2,F,2,A
353-U1443D-2F-3-A,0,78,6.4,7.18,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/10Y (light greenish grey),,,,,non-graded,,,,mottling,,,,Color gradation to a darker gray color (5Y 5/1) towards bottom of core potentially related to glacial-interglacial cycles. Mottling more pronounced in darker sediment.,,,,353,U1443,D,2,F,3,A
353-U1443D-2F-CC-A,0,21,7.18,7.39,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),,,,,non-graded,,,,mottling,,,,,,,,353,U1443,D,2,F,CC,A
