Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
346-U1424B-1H-1-A,0,47,0,0.47,,clay ,,clay ,,,,,5YR 4/6 (yellowish red),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,Mudline,,,,,,,,,,,,,,,,,,
346-U1424B-1H-1-A,47,144,0.47,1.44,,clay ,,clay ,,,,lamination,7.5YR 3/4 (dark brown),none ,0,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-1H-1-A,144,146,1.44,1.46,,tephra ,,tephra ,vitric,,,,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-1H-1-A,146,150,1.46,1.5,,clay ,,clay ,,,,lamination,7.5YR 3/4 (dark brown),none ,0,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-1H-2-A,0,92,1.5,2.42,,clay ,,clay ,,,,color banding,10YR 7/1 (light gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-1H-2-A,92,98,2.42,2.48,,tephra ,,tephra ,vitric,,,,N 5 (gray),none ,0,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-1H-2-A,98,104,2.48,2.54,,clay ,,clay ,,,,color banding,10YR 7/1 (light gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-1H-CC-A,0,13,2.54,2.67,,clay ,,clay ,,,,,10G 6/1 (greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-2H-1-A,0,1.5,2.7,2.715,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-2H-1-A,1.5,1.9,2.715,2.719,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-2H-1-A,1.9,150,2.719,4.2,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-2H-2-A,0,150,4.2,5.7,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-2H-3-A,0,116,5.7,6.86,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-2H-3-A,116,122,6.86,6.92,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-2H-3-A,122,150,6.92,7.2,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-2H-4-A,0,17.5,7.2,7.375,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-2H-4-A,17.5,20,7.375,7.4,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-2H-4-A,20,150,7.4,8.7,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-2H-4-A,112,116,8.32,8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,microfault,,,,,,,,,,,,,,,,,,,
346-U1424B-2H-5-A,0,130,8.7,10,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-2H-5-A,130,134,10,10.04,,tephra ,,tephra ,scoria,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-2H-5-A,134,151,10.04,10.21,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-2H-6-A,0,101,10.21,11.22,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-2H-7-A,0,63,11.22,11.85,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-2H-CC-A,0,12,11.85,11.97,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-3H-1-A,0,150,12.2,13.7,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-3H-2-A,0,86,13.7,14.56,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,foraminifer rich,clay ,,foraminifer rich  clay ,foraminifer rich clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-3H-2-A,86,90,14.56,14.6,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-3H-2-A,90,150,14.6,15.2,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,foraminifer rich,clay ,,foraminifer rich  clay ,foraminifer rich clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-3H-3-A,0,109,15.2,16.29,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-3H-3-A,109,110,16.29,16.3,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-3H-3-A,110,127.5,16.3,16.475,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-3H-3-A,127.5,128,16.475,16.48,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-3H-3-A,128,150,16.48,16.7,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-3H-4-A,0,150,16.7,18.2,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-3H-5-A,0,37,18.2,18.57,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-3H-5-A,37,39,18.57,18.59,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-3H-5-A,39,131,18.59,19.51,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-3H-5-A,55,59,18.75,18.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fold,,,,,,,,,,,,,,,,,,,
346-U1424B-3H-6-A,0,53,19.51,20.04,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-3H-CC-A,0,15,20.04,20.19,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-4H-1-A,0,49,21.7,22.19,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-4H-1-A,49,51.5,22.19,22.215,,tephra ,,tephra ,vitric,,,,N 6 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-4H-1-A,51.5,150,22.215,23.2,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-4H-2-A,0,11,23.2,23.31,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-4H-2-A,11,11.5,23.31,23.315,,tephra ,,tephra ,vitric,,,,N 6 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-4H-2-A,11.5,47,23.315,23.67,,clay [Leg210],,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight [DB86],1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay [Leg210],,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-4H-2-A,47,48.5,23.67,23.685,,tephra ,,tephra ,vitric,,,,N 6 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-4H-2-A,48.5,103.5,23.685,24.235,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-4H-2-A,103.5,103.7,24.235,24.237,,tephra [FS84],,tephra ,vitric,,,,N 6 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1424B-4H-2-A,103.7,150,24.237,24.7,,clay ,,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight ,1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay ,,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-4H-3-A,0,85,24.7,25.55,,clay [Leg210],,clay ,,,,color banding,10BG 7/1 (light greenish gray),slight [DB86],1,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,clay [Leg210],,clay ,clay ,clay ,7.5YR 3/2 (dark brown),,,,,,,,,,,
346-U1424B-4H-3-A,85,87,25.55,25.57,,tephra ,,tephra ,vitric,,,,N 6 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
