Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
366-U1497A-1F-1-A,0,45.0,0.0,0.45,I,,,,curviplanar,sharp,,muddy,sand,with fine sand,muddy sand with fine sand,10YR 5/4 (yellowish brown),massive,unconsolidated,fine sand,4,fine sand,4,,poor,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,1,F,1,A,,,
366-U1497A-1F-1-A,45,62.0,0.45,0.62,IIA,,,,,,,serpentinite,mud,,serpentinite mud,GLEY 1 7/5G (light greenish grey),massive,unconsolidated,clay,1,clay,1,,poor,,,,lithic,2,granule,8,pebble,9,subangular,,,,,,,,"Dominant clasts mostly UM , none bigger than 1 cm in size. Highly weathered. Includes rare grey mafic clasts, also less than 1 cm.",serpentine clay matrix,,,,,,,366,U1497,A,1,F,1,A,,,
366-U1497A-1F-CC-A,0,24.0,0.62,0.86,IIA,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 1 8/10GY (light greenish gray),massive,,clay,1,clay,1,"Matrix dominantly pale green but with pale orange stain in places; not from uppermost sand layer, but oxidation of the serpentine mud.",poor,,,,ultramafic rock,3,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1497,A,1,F,CC,A,,,
366-U1497A-2F-1-A,0,5.0,0.9,0.95,IIA,,,,curviplanar,sharp,,muddy,sand,with fine sand,muddy sand with fine sand,10YR 5/4 (yellowish brown),massive,unconsolidated,fine sand,4,fine sand,4,,poor,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,2,F,1,A,,,
366-U1497A-2F-1-A,5,95.0,0.95,1.85,IIA,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,GLEY 2 5/10B (bluish gray),massive,unconsolidated,silt,2,pebble,9,bluish gray serpentinite mud matrix with smeared parts of brownish and greenish delithified serpentinite clasts,poor,,,,ultramafic rock,2,granule,8,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1497,A,2,F,1,A,,,
366-U1497A-2F-1-A,95,151.0,1.85,2.41,IIA,,,,,,,,,,,,,,,,,,"MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,2,F,1,A,,,
366-U1497A-2F-2-A,0,70.0,2.41,3.11,IIA,,,,,,,"matrix-supported, monomict",breccia-conglomerate,,"matrix-supported, monomict breccia-conglomerate",GLEY 2 6/10BG (greenish gray),massive,unconsolidated,silt,2,cobble,10,,poor,,,,ultramafic rock,10,granule,8,cobble,10,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1497,A,2,F,2,A,,,
366-U1497A-2F-2-A,70,100.0,3.11,3.41,,,,,,,,,,,,,,,,,,,"BEKI, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,A,2,F,2,A,,,
366-U1497A-2F-3-A,0,25.0,3.41,3.66,IIB,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,GLEY 2 4/10B (dark bluish gray),massive,unconsolidated,medium sand,5,pebble,9,,poor,,,,ultramafic rock,5,very coarse sand,7,pebble,9,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1497,A,2,F,3,A,,,
366-U1497A-2F-3-A,25,80.0,3.66,4.21,IIB,,,,,,,"matrix-supported, monomict",breccia,,"matrix-supported, monomict breccia",GLEY 2 5/10B (bluish gray),massive,unconsolidated,medium sand,5,pebble,9,,poor,,,,ultramafic rock,10,very coarse sand,7,pebble,9,sub-rounded,,,,,,,,,serpentine clay matrix,,,with white authigenic clay,,,,366,U1497,A,2,F,3,A,,,
