Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLAST,GRAVEL SIZE CLAST.1,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
323-U1341A-1H-1-A,323,U1341,A,1,1-1,H,1,A,0,8,0.0,0.08,diatom ooze,Leg 323,foraminifer- and sponge spicule-bearing,foraminifer- and sponge spicule-bearing diatom ooze,50.0,soft,5Y 4/2,LITHOLOGY,SHAPE,,,,,,,,,,,,,,
323-U1341A-1H-1-A,323,U1341,A,1,1-1,H,1,A,0,8,0.0,0.08,diatom silt,Leg 323,,diatom silt,50.0,soft,5YR 3/1,,,,,,,,,,,,,,,,
323-U1341A-1H-1-A,323,U1341,A,1,1-1,H,1,A,8,93,0.08,0.93,diatom ooze,Leg 323,foraminifer- and sponge spicule-bearing,foraminifer- and sponge spicule-bearing diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-1H-1-A,323,U1341,A,1,1-1,H,1,A,93,120,0.93,1.2,diatom ooze,Leg 323,foraminifer- and sponge spicule-bearing,foraminifer- and sponge spicule-bearing diatom ooze,,soft,5Y 4/3,,,,,,,,,,,,,,,,
323-U1341A-1H-1-A,323,U1341,A,1,1-1,H,1,A,120,130,1.2,1.3,diatom ooze,Leg 323,foraminifer- and sponge spicule-bearing,foraminifer- and sponge spicule-bearing diatom ooze,,soft,5Y 4/2,,,,,,,,,,,,,,,,
323-U1341A-1H-1-A,323,U1341,A,1,1-1,H,1,A,130,132,1.3,1.32,diatom ooze,Leg 323,foraminifer- and sponge spicule-bearing,foraminifer- and sponge spicule-bearing diatom ooze,,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-1H-1-A,323,U1341,A,1,1-1,H,1,A,132,140,1.32,1.4,diatom ooze,Leg 323,foraminifer- and sponge spicule-bearing,foraminifer- and sponge spicule-bearing diatom ooze,50.0,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-1H-1-A,323,U1341,A,1,1-1,H,1,A,132,140,1.32,1.4,foraminifer ooze,Leg 323,diatom-bearing,diatom-bearing foraminifer ooze,50.0,soft,2.5Y 4/3,,,,,,,,,,,,,,,,
323-U1341A-1H-1-A,323,U1341,A,1,1-1,H,1,A,140,150,1.4,1.5,diatom ooze,Leg 323,foraminifer- and sponge spicule-bearing,foraminifer- and sponge spicule-bearing diatom ooze,,soft,5Y 5/4,,,,,,,,,,,,,,,,
323-U1341A-1H-2-A,323,U1341,A,1,1-2,H,2,A,0,12,1.5,1.62,diatom ooze,Leg 323,foraminifer- and sponge spicule-bearing,foraminifer- and sponge spicule-bearing diatom ooze,,soft,5Y 5/4,,,,,,,,,,,,,,,,
