Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology prefix,Principal lithology,Lithology suffix,Lithology name,Grain size max. [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,Extra Sample ID Data
317-U1354B-1H-1-A,317,U1354,B,1,1-1,H,1,A,0,100,0,1,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1354B-1H-1-A,317,U1354,B,1,1-1,H,1,A,100,150,1,1.5,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1354B-1H-2-A,317,U1354,B,1,1-2,H,2,A,0,90,1.5,2.4,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",,,
317-U1354B-1H-2-A,317,U1354,B,1,1-2,H,2,A,90,150,2.4,3,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1354B-1H-3-A,317,U1354,B,1,1-3,H,3,A,0,5,3,3.05,,Sandy Mud [S54-Leg183],,Sandy Mud,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1354B-1H-3-A,317,U1354,B,1,1-3,H,3,A,5,105,3.05,4.05,,Muddy Sand [S54-Leg183],,Muddy Sand,,,,,"Shepard, 1954 - Leg 183 revision",,,
317-U1354B-1H-3-A,317,U1354,B,1,1-3,H,3,A,60,105,3.6,4.05,,Very fine-fine sand [S54-W22],,Very fine-fine sand,,,,,"Shepard, 1954; Wentworth, 1922",,,
317-U1354B-2H-1-A,317,U1354,B,2,2-1,H,1,A,0,3,4.1,4.13,,Shell hash,,Shell hash,,,,,Leg 150,,,
317-U1354B-2H-1-A,317,U1354,B,2,2-1,H,1,A,3,150,4.13,5.6,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,
317-U1354B-2H-2-A,317,U1354,B,2,2-2,H,2,A,0,150,5.6,7.1,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,
317-U1354B-2H-3-A,317,U1354,B,2,2-3,H,3,A,0,150,7.1,8.6,,Mud [S54-Leg210],,Mud,,,,,"Shepard, 1954 - Leg 210 revision",homogeneous silty mud,,
