Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Major prefix modifier before principal,Principal lithology name,Minor suffix modifier after principal,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data
329-U1371E-1H-1-A,329,U1371,E,1,1-1,H,1,A,10,20,0.1,0.2,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1371E-1H-1-A,329,U1371,E,1,1-1,H,1,A,30,40,0.3,0.4,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1371E-1H-1-A,329,U1371,E,1,1-1,H,1,A,50,60,0.5,0.6,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1371E-1H-1-A,329,U1371,E,1,1-1,H,1,A,80,90,0.8,0.9,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1371E-1H-1-A,329,U1371,E,1,1-1,H,1,A,100,110,1,1.1,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1371E-1H-1-A,329,U1371,E,1,1-1,H,1,A,130,140,1.3,1.4,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1371E-1H-2-A,329,U1371,E,1,1-2,H,2,A,0,10,1.5,1.6,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1371E-1H-2-A,329,U1371,E,1,1-2,H,2,A,30,40,1.8,1.9,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1371E-1H-2-A,329,U1371,E,1,1-2,H,2,A,50,60,2,2.1,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1371E-1H-2-A,329,U1371,E,1,1-2,H,2,A,80,90,2.3,2.4,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1371E-1H-2-A,329,U1371,E,1,1-2,H,2,A,100,110,2.5,2.6,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1371E-1H-2-A,329,U1371,E,1,1-2,H,2,A,130,140,2.8,2.9,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1371E-1H-3-A,329,U1371,E,1,1-3,H,3,A,0,10,3,3.1,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
329-U1371E-1H-3-A,329,U1371,E,1,1-3,H,3,A,30,40,3.3,3.4,clay-bearing diatom,ooze [MMK88],,clay-bearing diatom ooze,"Mazullo, Meyer & Kidd, 1988",,,,,
