Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Lithology Suffix
329-U1367E-1H-1-A,329,U1367,E,1,1-1,H,1,A,0,150,0,1.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1367E-1H-2-A,329,U1367,E,1,1-2,H,2,A,0,150,1.5,3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1367E-1H-3-A,329,U1367,E,1,1-3,H,3,A,0,100,3,4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1367E-1H-3-A,329,U1367,E,1,1-3,H,3,A,100,150,4,4.5,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",50,,,,,,,,
329-U1367E-1H-3-A,329,U1367,E,1,1-3,H,3,A,100,150,4,4.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",50,,,,,,,,
329-U1367E-1H-4-A,329,U1367,E,1,1-4,H,4,A,0,150,4.5,6,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1367E-1H-5-A,329,U1367,E,1,1-5,H,5,A,0,50,6,6.5,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1367E-1H-5-A,329,U1367,E,1,1-5,H,5,A,50,60,6.5,6.6,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",50,,,,,,,,
329-U1367E-1H-5-A,329,U1367,E,1,1-5,H,5,A,50,60,6.5,6.6,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",50,,,,,,,,
329-U1367E-1H-5-A,329,U1367,E,1,1-5,H,5,A,60,64,6.6,6.64,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-1H-CC-A,329,U1367,E,1,1-CC,H,CC,A,0,10,6.64,6.74,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-2H-1-A,329,U1367,E,2,2-1,H,1,A,0,5,6.8,6.85,nannofossil-bearing,clay [S54] ,,nannofossil-bearing clay,"Shepard, 1954",,,,,,,,,
329-U1367E-2H-1-A,329,U1367,E,2,2-1,H,1,A,5,150,6.85,8.3,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-2H-2-A,329,U1367,E,2,2-2,H,2,A,0,95,8.3,9.25,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-2H-2-A,329,U1367,E,2,2-2,H,2,A,95,101,9.25,9.31,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",50,,,,,,,,
329-U1367E-2H-2-A,329,U1367,E,2,2-2,H,2,A,95,101,9.25,9.31,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",50,,,,,,,,
329-U1367E-2H-2-A,329,U1367,E,2,2-2,H,2,A,101,120,9.31,9.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-2H-3-A,329,U1367,E,2,2-3,H,3,A,0,21,9.5,9.71,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-2H-3-A,329,U1367,E,2,2-3,H,3,A,21,32,9.71,9.82,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-2H-3-A,329,U1367,E,2,2-3,H,3,A,21,32,9.71,9.82,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-2H-3-A,329,U1367,E,2,2-3,H,3,A,32,150,9.82,11,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-2H-4-A,329,U1367,E,2,2-4,H,4,A,0,150,11,12.5,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
329-U1367E-2H-5-A,329,U1367,E,2,2-5,H,5,A,0,112,12.5,13.62,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
