Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
354-U1454B-1H-1-A,0,22,0.0,0.22,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,yellow,sharp planar,horizontal,,,,,,,,,,,,,,354,U1454,B,1,H,1,A
354-U1454B-1H-1-A,22,150,0.22,1.5,,,clay [Leg210],,clay,clay,clay,,light gray,,,,,,,,mottling [BJ80],,,,27cm indurated layer,,,,354,U1454,B,1,H,1,A
354-U1454B-1H-2-A,0,150,1.5,3.0,,,clay [Leg210],,clay,clay,clay,,light gray,,,,,,,,mottling [BJ80],,,,black color banding 120-150cm,,,,354,U1454,B,1,H,2,A
354-U1454B-1H-3-A,0,73,3.0,3.73,,,clay [Leg210],,clay,clay,clay,,light gray,sharp planar,horizontal,,,,,,mottling [BJ80],,,,,,,,354,U1454,B,1,H,3,A
354-U1454B-1H-3-A,0,73,3.0,3.73,,,,,,,,,,,,,,,,,color banding,,,,,,,,354,U1454,B,1,H,3,A
354-U1454B-1H-3-A,73,134,3.73,4.34,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,medium bed [B01],clay [Leg210],thin bed [B01],,,cross-bedding,,,,,,,,354,U1454,B,1,H,3,A
354-U1454B-1H-3-A,134,150,4.34,4.5,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,,354,U1454,B,1,H,3,A
354-U1454B-1H-4-A,0,8,4.5,4.58,,,silt [Leg210],,silt,silt,silt,,gray,,,,,,,,parallel lamination,,,,,,,,354,U1454,B,1,H,4,A
354-U1454B-1H-4-A,8,34,4.58,4.84,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,,,,,,color banding,,,,,,,,354,U1454,B,1,H,4,A
354-U1454B-1H-4-A,34,54,4.84,5.04,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,medium bed [B01],clay [Leg210],thin bed [B01],,,parallel lamination,,,,,,,,354,U1454,B,1,H,4,A
354-U1454B-1H-4-A,54,87,5.04,5.37,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,medium bed [B01],silt [Leg210],very thin bed [B01],,,color banding,,,,,,,,354,U1454,B,1,H,4,A
354-U1454B-1H-4-A,87,116,5.37,5.66,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,,,,,,,cross-bedding,,,,107 wood-rich layer,,,,354,U1454,B,1,H,4,A
354-U1454B-1H-4-A,116,139,5.66,5.89,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,,,,,,,,,,,,,,354,U1454,B,1,H,4,A
354-U1454B-1H-4-A,139,150,5.89,6.0,,,silt [Leg210],,silt,silt,silt,,gray,,,,,,,,cross-bedding,,,,,,,,354,U1454,B,1,H,4,A
354-U1454B-1H-5-A,0,70,6.0,6.7,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,,thick bed [B01],clay [Leg210],thin bed [B01],,,cross-bedding,,,,,,,,354,U1454,B,1,H,5,A
354-U1454B-1H-5-A,70,95,6.7,6.95,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,,354,U1454,B,1,H,5,A
354-U1454B-1H-CC-A,0,15,6.95,7.1,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,,354,U1454,B,1,H,CC,A
354-U1454B-2H-1-A,0,35,7.1,7.45,,,silt [Leg210],,silt,silt,silt,,dark gray,sharp planar,horizontal,,,,,,cross-bedding,,,,,,,,354,U1454,B,2,H,1,A
