Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
341-U1417C-2H-1-A,341,U1417,C,2,2-1,H,1,A,0.0,150.0,1.0,2.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,- slight colour banding,,,,,,,,,
341-U1417C-2H-2-A,341,U1417,C,2,2-2,H,2,A,0.0,150.0,2.5,4.0,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,- subtle colour changes between different intervals (dark grey to slightly greenish grey),,,,,,,,,
341-U1417C-2H-3-A,341,U1417,C,2,2-3,H,3,A,0.0,150.0,4.0,5.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,present [A79],1,,,,,,,,,,"- slight colour variations to more greenish
- black mottles in varying amounts
- some holes up to 1 cm -> bioturbation?
- enhanced bioturbation between ~51-105
- 134-136: 2 cm sub-rounded clast of altered meta sediments",,,,,,,,,
341-U1417C-2H-4-A,341,U1417,C,2,2-4,H,4,A,0.0,150.0,5.5,7.0,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,"- slight colour variations to more greenish
- black mottles in varying amounts",,,,,,,,,
341-U1417C-2H-5-A,341,U1417,C,2,2-5,H,5,A,0.0,150.0,7.0,8.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,- silty layer at 23 cm (thin),,,,,,,,,
341-U1417C-2H-6-A,341,U1417,C,2,2-6,H,6,A,0.0,100.0,8.5,9.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,present [A79],1,,,,,,,,,,"- slight colour variations to more brownish
- black mottles in varying amounts
- 91: unspecified clast",,,,,,,,,
341-U1417C-2H-7-A,341,U1417,C,2,2-7,H,7,A,0.0,64.0,9.5,10.14,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,- slightly lighter grey (but still N 4) and slight bioturbation,,,,,,,,,
341-U1417C-2H-CC-A,341,U1417,C,2,2-CC,H,CC,A,0.0,38.0,10.14,10.52,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,- muddy/silty lense at 21 cm; 0.5 cm diameter,,,,,,,,,
341-U1417C-2H-CC-A,341,U1417,C,2,2-CC,H,CC,A,38.0,41.0,10.52,10.55,,,,,,,,,,,,,,,,,,,,,,Void,,,,,,,,,
341-U1417C-2H-CC-A,341,U1417,C,2,2-CC,H,CC,A,41.0,47.0,10.55,10.61,,,,,,,,,,,,,,,,,,,,,,Sample (PAL),,,,,,,,,
