Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ lith. Abundance (%),MAJ lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1410B-1H-1-A,342,U1410,B,1,1-1,H,1,A,0.0,23.0,0.0,0.23,clayey [Leg339],silt [Leg339],with foraminifers [Leg339],clayey  silt  with foraminifers ,10YR 5/3 (brown),,,,heavy_339 [DB91],5,,Foraminifera particularly concentrated in a fine layer at 23 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   silt ,silt   with foraminifers ,,,,,,
342-U1410B-1H-1-A,342,U1410,B,1,1-1,H,1,A,23.0,150.0,0.23,1.5,muddy [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],muddy  foraminiferal ooze  with nannofossils ,5YR 4/1 (dark gray),,,,heavy_339 [DB91],5,,Predominately dark grey with rare inclusions of redder clay (41-47 cm) and lateral variation from lighter to darker grey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,muddy   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410B-1H-2-A,342,U1410,B,1,1-2,H,2,A,0.0,43.0,1.5,1.93,nannofossil [Leg339],foraminiferal ooze [Leg339],with diatoms [Leg339],nannofossil  foraminiferal ooze  with diatoms ,N 6 (gray),,,,heavy_339 [DB91],5,,"Top 5 cm grade from the dark gray muddy foraminiferal ooze with nannofossils of the previous section to the lighter grey clayey foraminiferal ooze with nannofossils of the current section. Heavy bioturbation with rare inclusions of darker grey clay-rich sediments, lighter grey foraminifer rich inclusions. Color varies throughout, through various shades of grey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with diatoms ,,,,,,
342-U1410B-1H-2-A,342,U1410,B,1,1-2,H,2,A,43.0,124.0,1.93,2.74,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,N 7 (light gray),,,,heavy_339 [DB91],5,,"Lighter relatively foram rich interval in Section 2, color between N 6 and N 7.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410B-1H-2-A,342,U1410,B,1,1-2,H,2,A,124.0,150.0,2.74,3.0,nannofossil [Leg339],clay [Leg339],with foraminifers [Leg339],nannofossil  clay  with foraminifers ,N 7 (light gray),,,,heavy_339 [DB91],5,,Interval contains less foraminifera than preceding one. A relatively reddish-brown clay band occurs from 126-130 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay ,clay   with foraminifers ,,,,,,
342-U1410B-1H-3-A,342,U1410,B,1,1-3,H,3,A,0.0,13.0,3.0,3.13,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,N 7 (light gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410B-1H-3-A,342,U1410,B,1,1-3,H,3,A,13.0,19.0,3.13,3.19,,sand [Leg339],,sand ,10Y 4/2 (grayish green),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand ,sand ,,,,,,
342-U1410B-1H-3-A,342,U1410,B,1,1-3,H,3,A,19.0,40.0,3.19,3.4,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,N 7 (light gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410B-1H-3-A,342,U1410,B,1,1-3,H,3,A,40.0,66.0,3.4,3.66,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,5YR 5/3 (reddish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,
342-U1410B-1H-CC-A,342,U1410,B,1,1-CC,H,CC,A,0.0,9.0,3.66,3.82,silty [Leg339],clay [Leg339],with nannofossils [Leg339],silty  clay  with nannofossils ,5YR 5/3 (reddish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay   with nannofossils ,,,,,,
342-U1410B-2H-1-A,342,U1410,B,2,2-1,H,1,A,0.0,61.0,3.8,4.41,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,N 6 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410B-2H-1-A,342,U1410,B,2,2-1,H,1,A,61.0,150.0,4.41,5.3,diatomaceous [Leg339],nannofossil ooze [Leg339],,diatomaceous  nannofossil ooze ,10YR 5/1 (gray),,,,moderate_339 [DB91],4,,"Interval varies between redder to greener (10YR 5/1) lithologies, with particularly reddish inclusions at 61-121 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,diatomaceous   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1410B-2H-2-A,342,U1410,B,2,2-2,H,2,A,0.0,73.0,5.3,6.03,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,5Y 6/1 (gray),,,,moderate_339 [DB91],4,,Interval has a mottled and somewhat layered appearence sue to the inclusion or redder (5Y 6/1) to greener (10Y 5/1 to 10Y 5/2) intervals. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
342-U1410B-2H-2-A,342,U1410,B,2,2-2,H,2,A,73.0,150.0,6.03,6.8,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,N 6 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-2H-3-A,342,U1410,B,2,2-3,H,3,A,0.0,30.0,6.8,7.1,foraminiferal [Leg339],silt [Leg339],,foraminiferal  silt ,N 7 (light gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   silt ,silt ,,,,,,
342-U1410B-2H-3-A,342,U1410,B,2,2-3,H,3,A,30.0,47.0,7.1,7.27,nannofossil [Leg339],foraminiferal ooze [Leg339],with clay [Leg339],nannofossil  foraminiferal ooze  with clay ,10YR 5/2 (grayish brown),,,,moderate_339 [DB91],4,,Interval varies between redder (10YR 5/2) to greener (10Y 6/1) sediment and darkens down the interval. Dark green horizon (10GY 4/1) of nannofossil foraminiferal ooze with clay at 42 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze   with clay ,,,,,,
