Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data
371-U1509A-2R-1-A,0,35,0.1,0.45,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal nannofossil ooze,,,10YR 7/3 (very pale brown),,,,,,silt [W22_1],2,,,,,,planar boundary or contact,,diffuse,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,
371-U1509A-2R-1-A,35,41,0.45,0.51,,,,,nannofossil-rich [2014b],foraminiferal ooze [Leg339],,nannofossil-rich foraminiferal ooze,,,10YR 7/2 (light gray),,,,,,fine sand [W22_2],4,,,,,,sharp inclined boundary or contact,planar,,,,,,,,nannofossil-rich foraminiferal ooze,foraminiferal ooze,,,
371-U1509A-2R-1-A,41,99,0.51,1.09,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal nannofossil ooze,volcanic ash,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,"A few blebs of gray color (Gley 1 6/N), varying from few mm to few cm in thickness, occur sporadically.",,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,
371-U1509A-2R-CC-A,0,6,1.09,1.15,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],with volcanic ash [2014],foraminiferal nannofossil ooze with volcanic ash,,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,"A very thin bed of gray color (Gley 1 6/N), occurs at 4-6 cm.",,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze with volcanic ash,,,
371-U1509A-3R-1-A,0,10,9.8,9.9,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,,sharp inclined boundary or contact,planar,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,
371-U1509A-3R-1-A,10,50,9.9,10.3,,,,,sandy,nannofossil ooze [Leg339],with volcanic ash [2014],sandy nannofossil ooze with volcanic ash,,,GLEY 1 7/N (light gray),,,,,,fine sand [W22_2],4,,,,,,,,,,,,,,,sandy nannofossil ooze,nannofossil ooze with volcanic ash,,,
371-U1509A-3R-CC-A,0,17,10.3,10.47,,,,,sandy,nannofossil ooze [Leg339],with volcanic ash [2014],sandy nannofossil ooze with volcanic ash,,,GLEY 1 7/N (light gray),,,,,,fine sand [W22_2],4,,,,,,,,,,,,,,,sandy nannofossil ooze,nannofossil ooze with volcanic ash,,,
371-U1509A-4R-1-A,0,141,19.4,20.81,,,,,,nannofossil ooze [Leg339],,nannofossil ooze,foraminifers,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,Pyrite blebs occur sporadically.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
371-U1509A-4R-2-A,0,146,20.9,22.36,,,,,,nannofossil ooze [Leg339],,nannofossil ooze,foraminifers,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,Pyrite blebs occur sporadically.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
371-U1509A-5R-1-A,0,150,29.1,30.6,,,,,,nannofossil ooze [Leg339],,nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,Rare pyrite blebs occur through this core.,,,,,,,,,,nannofossil ooze,nannofossil ooze,,,
