Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
356-U1461C-1H-1-A,0,150,0,1.5,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,neritic,beige,foraminifera (small benthic),,,,absent [B06],0,,,"Beige, fine to medium sand sized packstone with benthic foraminifera and other skeletal fragments",,,,356,U1461,C,1,H,1,A,
356-U1461C-1H-2-A,0,150,1.5,3,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,neritic,beige,foraminifera (small benthic),,,,absent [B06],0,,,"Beige, fine to medium sand sized packstone with benthic foraminifera and other skeletal fragments",,,,356,U1461,C,1,H,2,A,
356-U1461C-1H-3-A,0,150,3,4.5,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,neritic,beige,foraminifera (small benthic),,,,absent [B06],0,,,"Beige, fine to medium sand sized packstone with benthic foraminifera and other skeletal fragments",,,,356,U1461,C,1,H,3,A,
356-U1461C-1H-4-A,0,100,4.5,5.5,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,neritic,beige,foraminifera (small benthic),,,,absent [B06],0,,,"Beige, fine to medium sand sized packstone with benthic foraminifera and other skeletal fragments",,,,356,U1461,C,1,H,4,A,
356-U1461C-1H-4-A,100,150,5.5,6,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,neritic,light brown,foraminifera (small benthic),,,,absent [B06],0,,,Beige is grading to light brown in this interval. Fine to medium sand sized packstone with benthic foraminifera and other skeletal fragments,,,,356,U1461,C,1,H,4,A,
356-U1461C-1H-4-A,100,150,5.5,6,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,C,1,H,4,A,
356-U1461C-1H-5-A,0,150,6,7.5,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,neritic,light brown,foraminifera (small benthic),,,,absent [B06],0,,,"Light brown, fine to medium sand sized packstone with benthic foraminifera and other skeletal fragments",,,,356,U1461,C,1,H,5,A,
356-U1461C-1H-6-A,0,72,7.5,8.22,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,neritic,brown,foraminifera (small benthic),,,,absent [B06],0,,,"Brown, fine to medium sand sized packstone with benthic foraminifera and other skeletal fragments",,,,356,U1461,C,1,H,6,A,
356-U1461C-1H-6-A,0,72,7.5,8.22,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1461,C,1,H,6,A,
356-U1461C-1H-6-A,0,72,7.5,8.22,,,,,,,,,sponge spicules,,,,,,,,,,,,356,U1461,C,1,H,6,A,
356-U1461C-1H-CC-A,0,7,8.22,8.29,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,neritic,brown,foraminifera (small benthic),,,,absent [B06],0,,,,,,,356,U1461,C,1,H,CC,A,
356-U1461C-1H-CC-A,7,17,8.29,8.39,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,C,1,H,CC,A,
356-U1461C-2H-1-A,0,86,8.4,9.26,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,neritic,brown,foraminifera (small benthic),,,,absent [B06],0,gradational,horizontal,,,,,356,U1461,C,2,H,1,A,
356-U1461C-2H-1-A,0,86,8.4,9.26,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1461,C,2,H,1,A,
356-U1461C-2H-1-A,86,145,9.26,9.85,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,greenish gray,,,,,,,,,void,,,,356,U1461,C,2,H,1,A,
356-U1461C-2H-1-A,145,150,9.85,9.9,,,,,,,,,,,,,,,,,void,,,,356,U1461,C,2,H,1,A,
356-U1461C-2H-2-A,0,126,9.9,11.16,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,greenish gray,,,,,slight [B06],2,,,greenish gray fine sand sized grains in wackestone.,,,,356,U1461,C,2,H,2,A,
356-U1461C-2H-2-A,126,150,11.16,11.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,light greenish gray,,,,,common [B06],4,,,Transitional interval between greenish gray wackestone (above) and white mudstone (below) in this interval,,,,356,U1461,C,2,H,2,A,
356-U1461C-2H-3-A,0,99,11.4,12.39,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,neritic,cream,,,,,common [B06],4,bioturbated,horizontal,Mudstone with common bioturbation. to a depth of 35 cm in this core section the bioturbation traces are filled with greenish wackestone from the interval above. below 74 cm the bioturbation is filled with sediment from the underlying interval.,,,,356,U1461,C,2,H,3,A,
356-U1461C-2H-3-A,99,150,12.39,12.9,unlithified [Leg194],,packstone [E&K72; D62],3,with non-skeletal grains,packstone with non-skeletal grains,neritic,creamy gray,,,,,moderate [B06],3,,,Packstone with non-skeletal grains and common bioturbation and one cemented borrow tube. Many black grains from fine sand to pebble size often angular.,,,,356,U1461,C,2,H,3,A,
356-U1461C-2H-4-A,0,150,12.9,14.4,unlithified [Leg194],,packstone [E&K72; D62],3,with non-skeletal carbonate,packstone with non-skeletal carbonate,neritic,creamy gray,gastropod,,,,moderate [B06],3,,,"Abundant macrofossils and black grains, some cemented tubes, likely burrows.",,,,356,U1461,C,2,H,4,A,
356-U1461C-2H-4-A,0,150,12.9,14.4,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,C,2,H,4,A,
356-U1461C-2H-5-A,0,150,14.4,15.9,unlithified [Leg194],,packstone [E&K72; D62],3,with non-skeletal grains,packstone with non-skeletal grains,neritic,creamy gray,bivalve,,,,moderate [B06],3,,,"Abundant macrofossils and black grains, some cemented tubes, likely burrows.",,,,356,U1461,C,2,H,5,A,
356-U1461C-2H-6-A,0,110,15.9,17,unlithified [Leg194],,packstone [E&K72; D62],3,with non-skeletal grains,packstone with non-skeletal grains,neritic,creamy gray,,,,,moderate [B06],3,,,Black grains are now concentrated in the bioturbation traces. The amount of black grains are decreasing with depth in core section.,,,,356,U1461,C,2,H,6,A,
356-U1461C-2H-7-A,0,57,17,17.57,unlithified [Leg194],,packstone [E&K72; D62],3,with non-skeletal grains,packstone with non-skeletal grains,neritic,creamy gray,,,,,moderate [B06],3,,,Black grains and non skeletal-grains are concentrated in bioturbation traces.,,,,356,U1461,C,2,H,7,A,
356-U1461C-2H-CC-A,0,8,17.57,17.65,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,C,2,H,CC,A,
356-U1461C-3H-1-A,0,35,17.9,18.25,unlithified [Leg194],skeletal,floatstone [E&K72; D62],5,,skeletal floatstone,neritic,creamy gray,gastropod,,,,absent [B06],0,,,,,,,356,U1461,C,3,H,1,A,
356-U1461C-3H-1-A,35,44,18.25,18.34,,,,,,,,,,,,,,,,,void,,,,356,U1461,C,3,H,1,A,
356-U1461C-3H-1-A,44,150,18.34,19.4,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,,,,,moderate [B06],3,,,Packstone occurs in bioturbation traces,,,,356,U1461,C,3,H,1,A,
356-U1461C-3H-2-A,0,150,19.4,20.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,moderate [B06],3,,,,,,,356,U1461,C,3,H,2,A,
356-U1461C-3H-3-A,0,150,20.9,22.4,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,moderate [B06],3,,,,,,,356,U1461,C,3,H,3,A,
356-U1461C-3H-4-A,0,150,22.4,23.9,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,moderate [B06],3,,,,,,,356,U1461,C,3,H,4,A,
356-U1461C-3H-5-A,0,65,23.9,24.55,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,creamy gray,,,,,moderate [B06],3,,,,,,,356,U1461,C,3,H,5,A,
356-U1461C-3H-5-A,65,150,24.55,25.4,unlithified [Leg194],,packstone [E&K72; D62],3,with non-skeletal grains,packstone with non-skeletal grains,neritic,creamy gray,echinoderm,,,,moderate [B06],3,,,Increase in black grains in this interval compared to the interval above. Peloids occur again in this interval but in low abundances.,,,,356,U1461,C,3,H,5,A,
356-U1461C-3H-5-A,65,150,24.55,25.4,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1461,C,3,H,5,A,
356-U1461C-3H-6-A,0,85,25.4,26.25,unlithified [Leg194],,packstone [E&K72; D62],3,with non-skeletal grains,packstone with non-skeletal grains,neritic,creamy gray,bivalve,,,,moderate [B06],3,,,,,,,356,U1461,C,3,H,6,A,
356-U1461C-3H-6-A,85,150,26.25,26.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,bivalve,,,,moderate [B06],3,,,high number of small gastropods,,,,356,U1461,C,3,H,6,A,
356-U1461C-3H-6-A,85,150,26.25,26.9,,,,,,,,,gastropod,,,,,,,,,,,,356,U1461,C,3,H,6,A,
356-U1461C-3H-7-A,0,56,26.9,27.46,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,pteropod,,,,moderate [B06],3,,,,,,,356,U1461,C,3,H,7,A,
356-U1461C-3H-CC-A,0,4,27.46,27.5,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,C,3,H,CC,A,
356-U1461C-4H-1-A,0,116,27.4,28.56,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,bivalve,,,,slight [B06],2,,,very homogeneous creamy mudstone,,,,356,U1461,C,4,H,1,A,
356-U1461C-4H-2-A,0,150,28.84,30.34,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,pteropod,,,,slight [B06],2,,,pteropods in creamy white mudstone indicating hemipelagic deposition.,,,,356,U1461,C,4,H,2,A,
356-U1461C-4H-3-A,0,150,30.34,31.84,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,,,,,slight [B06],2,,,coarser grained sediment with wackestone texture in bioturbation traces,,,,356,U1461,C,4,H,3,A,
356-U1461C-4H-4-A,0,150,31.84,33.34,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,bivalve,,,,,,,,,,,,356,U1461,C,4,H,4,A,
356-U1461C-4H-5-A,0,90,33.34,34.24,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,cream,,,,,slight [B06],2,gradational,horizontal,,,,,356,U1461,C,4,H,5,A,
356-U1461C-4H-5-A,90,150,34.24,34.84,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,,,,,slight [B06],2,,,The main difference to the interval above is a change in color and a slight change in texture towards wackestone with about 20% grains.,,,,356,U1461,C,4,H,5,A,
356-U1461C-4H-6-A,0,140,34.84,36.24,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,scaphopod,,,,slight [B06],2,,,,,,,356,U1461,C,4,H,6,A,
356-U1461C-4H-7-A,0,57,36.24,36.81,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,scaphopod,,,,slight [B06],2,,,,,,,356,U1461,C,4,H,7,A,
356-U1461C-4H-7-A,0,57,36.24,36.81,,,,,,,,,bivalve,,,,,,,,,,,,356,U1461,C,4,H,7,A,
356-U1461C-4H-CC-A,0,14,36.81,36.95,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,,,,,slight [B06],2,,,,,,,356,U1461,C,4,H,CC,A,
356-U1461C-4H-CC-A,14,25,36.95,37.06,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,C,4,H,CC,A,
356-U1461C-5H-1-A,0,123,36.9,38.13,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,gray,,,,,,,,,medium sand sized grains likely represent flow-in,,,,356,U1461,C,5,H,1,A,
356-U1461C-5H-2-A,0,73,38.13,38.86,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,gray,,,,,,,,,medium sand sized grains likely represent flow-in,,,,356,U1461,C,5,H,2,A,
356-U1461C-5H-3-A,0,48,38.86,39.34,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,gray,,,,,,,,,Gray flow-in material mixed with creamy gray wackestone,,,,356,U1461,C,5,H,3,A,
356-U1461C-5H-3-A,48,150,39.34,40.36,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,creamy gray,,,,,moderate [B06],3,,,Gray flow-in material mixed with creamy gray wackestone,,,,356,U1461,C,5,H,3,A,
356-U1461C-5H-4-A,0,93,40.36,41.29,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,gray,,,,,,,,,Gray flow-in material mixed with creamy gray wackestone,,,,356,U1461,C,5,H,4,A,
356-U1461C-5H-CC-A,0,10,41.29,41.39,,,,,,,,,,,,,,,,,PAL,,,,356,U1461,C,5,H,CC,A,
356-U1461C-6H-1-A,0,26,46.4,46.66,unlithified [Leg194],,floatstone [E&K72; D62],5,,floatstone,neritic,gray,bivalve,,,,absent [B06],0,,,fall-in,,,,356,U1461,C,6,H,1,A,
356-U1461C-6H-1-A,0,26,46.4,46.66,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1461,C,6,H,1,A,
356-U1461C-6H-1-A,26,150,46.66,47.9,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,absent [B06],0,,,Color change to greenish gray. Silt- to fine sand sized wackestone.,,,,356,U1461,C,6,H,1,A,
