Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data,Extra Sample ID Data
342-U1407A-1H-1-A,342,U1407,A,1,1-1,H,1,A,0,43,0,0.43,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,2.5Y 4/3 (olive brown),nannofossil ooze [Leg339],,,moderate_339 [DB91],4,,"muddy sand (mostly forams, minor lithics); the sand-sized material is in patches and discontinuous layers within the mud",,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1407A-1H-1-A,342,U1407,A,1,1-1,H,1,A,43,118,0.43,1.18,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,2.5Y 5/1 (gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1407A-1H-1-A,342,U1407,A,1,1-1,H,1,A,83,90,0.83,0.9,,,,,,,,,,,,granite cobble (likely dropstone),,,,,,,,,,,,,,,,,,,,cobble [W22_2],,,,,,,,,,,,,,,,
342-U1407A-1H-1-A,342,U1407,A,1,1-1,H,1,A,110,114,1.1,1.14,,,,,,,nodule,manganese,,,,"small nodule in process of disaggregating; i.e., not quite disseminated, but not a discrete nodule either",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1407A-1H-1-A,342,U1407,A,1,1-1,H,1,A,118,129,1.18,1.29,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,10YR 5/2 (grayish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1407A-1H-1-A,342,U1407,A,1,1-1,H,1,A,129,150,1.29,1.5,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,10YR 5/4 (yellowish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1407A-1H-2-A,342,U1407,A,1,1-2,H,2,A,0,44,1.5,1.94,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,5YR 5/3 (reddish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1407A-1H-2-A,342,U1407,A,1,1-2,H,2,A,44,71,1.94,2.21,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,10YR 6/3 (pale brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,
342-U1407A-1H-2-A,342,U1407,A,1,1-2,H,2,A,71,71.5,2.21,2.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pebble [W22_2],,,,,,,,,,,,
342-U1407A-1H-2-A,342,U1407,A,1,1-2,H,2,A,71,80,2.21,2.3,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,10YR 6/2 (light brownish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,,
