Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
359-U1467A-1H-1-A,0,70,0.0,0.7,foraminifer rich,mudstone,1,foraminifer rich mudstone,unlithified,1,10YR 6/1 (gray),fine sand,4,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,common,4,,gradational,horizontal,"MUDSTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A) pteropods, gastropods and bivalve fragments, benthic foraminifera (F). Strong reaction with HCl.",,,,359,U1467,A,1,H,1,A
359-U1467A-1H-1-A,70,145,0.7,1.45,foraminifer rich,mudstone,1,foraminifer rich mudstone,unlithified,1,10YR 4/1 (dark gray),medium sand,5,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,common,4,,,,"MUDSTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A) pteropods, gastropods and bivalve fragments, benthic foraminifera (F). Strong reaction with HCl.",,,,359,U1467,A,1,H,1,A
359-U1467A-1H-1-A,70,150,0.7,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,"MUDSTONE. Thick layered, fine- to medium-grained poorly sorted (carbonate ooze). Planktic foraminifera (A) pteropods, gastropods and bivalve fragments, benthic foraminifera (F). Strong reaction with HCl.",,,,359,U1467,A,1,H,1,A
359-U1467A-1H-2-A,0,89,1.5,2.39,foraminifer rich,mudstone,1,foraminifer rich mudstone,unlithified,1,10YR 4/1 (dark gray),medium sand,5,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,common,4,,,,"MUDSTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A) pteropods, gastropods and bivalve fragments, benthic foraminifera (F). Strong reaction with HCl.",,,,359,U1467,A,1,H,2,A
359-U1467A-1H-2-A,89,120,2.39,2.7,foraminifer rich,mudstone,1,foraminifer rich mudstone,unlithified,1,10YR 6/1 (gray),fine sand,4,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,common,4,,gradational,horizontal,"MUDSTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A) pteropods, gastropods and bivalve fragments, benthic foraminifera (F). Strong reaction with HCl.",,,,359,U1467,A,1,H,2,A
359-U1467A-1H-3-A,0,61,2.7,3.31,foraminifer rich,mudstone,1,foraminifer rich mudstone,unlithified,1,10YR 7/1 (light gray),fine sand,4,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,common,4,,gradational,horizontal,"MUDSTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A) pteropods, gastropods and bivalve fragments, benthic foraminifera (F). Strong reaction with HCl.",,,,359,U1467,A,1,H,3,A
359-U1467A-1H-CC-A,0,14,3.31,3.45,foraminifer rich,mudstone,1,foraminifer rich mudstone,unlithified,1,10YR 6/1 (gray),fine sand,4,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,common,4,,gradational,horizontal,"MUDSTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A) pteropods, gastropods and bivalve fragments, benthic foraminifera (F). Strong reaction with HCl.",,,,359,U1467,A,1,H,CC,A
359-U1467A-2H-1-A,0,150,3.5,5.0,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,10YR 7/2 (light gray),fine sand,4,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,common,4,,,,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted (carbonate ooze). Planktic foraminifera (A) pteropods, gastropods and bivalve fragments, benthic foraminifera (F). Strong reaction with HCl.",,,,359,U1467,A,2,H,1,A
359-U1467A-2H-2-A,0,40,5.0,5.4,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,10YR 7/2 (light gray),fine sand,4,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,common,4,,wavy,inclined,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), pterapod fragments (C), benthic foraminifera (F). 10YR 5/2 mottle. Distinct inclined contact at H2-2, 28-40 cm (represented a color change).",,,,359,U1467,A,2,H,2,A
359-U1467A-2H-2-A,40,150,5.4,6.5,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,10YR 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,common,4,,bioturbated,horizontal,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), pterapod fragments (C), benthic foraminifera (F). 10YR 7/2 mottle.",,,,359,U1467,A,2,H,2,A
359-U1467A-2H-3-A,0,150,6.5,8.0,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,10YR 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,common,4,Thalassinoides,,,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), pterapod fragments (C), benthic foraminifera (F). 10YR 5/1 mottle.",,,,359,U1467,A,2,H,3,A
359-U1467A-2H-4-A,0,74,8.0,8.74,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,10YR 7/1 (light gray),fine sand,4,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,common,4,,,,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), pterapod fragments (C), benthic foraminifera (F). 10YR 5/1 mottle.",,,,359,U1467,A,2,H,4,A
359-U1467A-2H-4-A,74,145,8.74,9.45,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,10YR 6/1 (gray),fine sand,4,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,common,4,,gradational,horizontal,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), pterapod fragments (C), benthic foraminifera (F). 10YR 7/1 mottle.",,,,359,U1467,A,2,H,4,A
359-U1467A-2H-5-A,0,72,9.5,10.22,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,10YR 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,common,4,,gradational,horizontal,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), pterapod fragments (C), benthic foraminifera (F). 2.5YR 5/2 mottle.",,,,359,U1467,A,2,H,5,A
359-U1467A-2H-5-A,72,152,10.22,11.02,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,common,4,,,,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), pterapod fragments (C), benthic foraminifera (F). 2.5YR 4/2 mottle.",,,,359,U1467,A,2,H,5,A
359-U1467A-2H-6-A,0,62,11.02,11.64,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,moderate,3,,gradational,horizontal,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), pterapod fragments (C), benthic foraminifera (F). 2.5YR 4/2 mottle.",,,,359,U1467,A,2,H,6,A
359-U1467A-2H-6-A,62,141,11.64,12.43,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,moderate,3,,,,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), pterapod fragments (C), benthic foraminifera (F). 2.5YR 6/2 mottle.",,,,359,U1467,A,2,H,6,A
359-U1467A-2H-CC-A,0,11,12.43,12.54,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,gastropod,fragments,pteropod,,,,,,,,moderate,3,,,,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), pterapod fragments (C), benthic foraminifera (F). 2.5YR 6/2 mottle.",,,,359,U1467,A,2,H,CC,A
359-U1467A-2H-CC-A,0,16,12.43,12.59,,,,,,,,,,,,,,,,,,,,,,complete,6,,,,,,,,359,U1467,A,2,H,CC,A
359-U1467A-3H-1-A,0,12,13.0,13.12,foraminifer rich,packstone,3,foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,pteropod,,pteropod,,,,,,,,,,,,,,,Fall-in. Dense layer of large pteropods (up to 1cm),,,,359,U1467,A,3,H,1,A
359-U1467A-3H-1-A,12,58,13.12,13.58,foraminifer rich,wackestone,2,foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,pteropod,,gastropod,fragments,,,,,,,moderate,3,,gradational,horizontal,"WACKESTONE. Thick layered, fine- to medium-grained poorly sorted. Planktic foraminifera (A), pterapod fragments (C), benthic foraminifera (F).",,,,359,U1467,A,3,H,1,A
