Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
369-U1513D-2R-1-A,0,8,95.0,95.08,II,,,,silicified,limestone [USGS],,silicified limestone,,,10YR 7/2 (light gray),,,,,,,,,,,,,uncertain boundary or contact,,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,2,R,1,A
369-U1513D-2R-1-A,8,45,95.08,95.45,II,,,,clayey,calcareous chalk,,clayey calcareous chalk,,,10YR 8/1 (white),,,,,,,,,,low,2,"Chondrites, planolites and zoophycos recognized",uncertain boundary or contact,irregular-straight,,,,,,,,clayey calcareous chalk,calcareous chalk,,,,369,U1513,D,2,R,1,A
369-U1513D-2R-1-A,45,49,95.45,95.49,II,,,,silicified,limestone [USGS],,silicified limestone,,,10YR 7/2 (light gray),,,,,,,,,,,,,uncertain boundary or contact,irregular-straight,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,2,R,1,A
369-U1513D-2R-1-A,49,120,95.49,96.2,II,,,,,nannofossil chalk,with clay,nannofossil chalk with clay,,,10YR 8/2 (very pale orange),,,,,,,,,,low,2,,sharp boundary or contact,linear,sharp,,,,,,,nannofossil chalk,nannofossil chalk with clay,,,,369,U1513,D,2,R,1,A
369-U1513D-2R-1-A,120,132,96.2,96.32,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 6/N (gray),,,,,,,,,,moderate,2,,,,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,2,R,1,A
369-U1513D-2R-CC-A,0,15,96.32,96.47,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/N (light gray),,,,,,,,,,moderate,2,,,,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,2,R,CC,A
369-U1513D-3R-CC-A,0,11,104.6,104.71,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/N (light gray),,,,,,,,,,,,,,,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,3,R,CC,A
369-U1513D-4R-CC-A,0,22,114.2,114.42,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/N (light gray),,,,,,,,,,,,,uncertain boundary or contact,irregular-straight,,,,,,,,silicified limestone,limestone,,,,369,U1513,D,4,R,CC,A
369-U1513D-5R-1-A,0,9,123.8,123.89,II,,,,silicified,limestone [USGS],,silicified limestone,,,GLEY 1 7/N (light gray),,,,,,,,,,low,2,,irregular boundary or contact,curved,sharp,,,,,,,silicified limestone,limestone,,,,369,U1513,D,5,R,1,A
369-U1513D-5R-1-A,9,18,123.89,123.98,II,,,,,calcareous chalk,,calcareous chalk,,,10YR 8/2 (very pale orange),,,,,,,,,,,,,,,,,,,,,,calcareous chalk,calcareous chalk,,,,369,U1513,D,5,R,1,A
